datetime,symbol,Open,High,Low,Close,Volume,Standard Deviation(12M),Retorno(12M)
2003-08-04 10:00:00,BMFBOVESPA:ALPA4,0.009744,0.009744,0.009744,0.009744,87536.0,0.0,0.0
2003-08-05 10:00:00,BMFBOVESPA:ALPA4,0.009744,0.009744,0.009744,0.009744,121422.0,0.0,0.0
2003-08-08 10:00:00,BMFBOVESPA:ALPA4,0.009744,0.009744,0.009744,0.009744,6793.0,0.0,0.0
2003-08-11 10:00:00,BMFBOVESPA:ALPA4,0.009744,0.009744,0.009744,0.009744,19251.0,0.0,0.0
2003-08-12 10:00:00,BMFBOVESPA:ALPA4,0.009744,0.009744,0.009744,0.009744,1049725.0,0.0,0.0
2003-08-13 10:00:00,BMFBOVESPA:ALPA4,0.009918,0.009918,0.009918,0.009918,41933.0,7.103520254071239e-05,1.7857142857142916
2003-08-14 10:00:00,BMFBOVESPA:ALPA4,0.009918,0.009918,0.009744,0.009744,52805.0,6.576581830360574e-05,0.0
2003-08-15 10:00:00,BMFBOVESPA:ALPA4,0.010092,0.010266,0.010092,0.010266,729685.0,0.000186013824371,5.3571428571428745
2003-08-18 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.010266,0.010266,0.010266,52805.0,0.0002264972406012,5.3571428571428745
2003-08-19 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.010266,0.010266,0.010266,6793.0,0.0002460731598529,5.3571428571428745
2003-08-20 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.010266,0.010266,0.010266,6793.0,0.0002559418968153,5.3571428571428745
2003-08-21 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.010266,0.010266,0.010266,19251.0,0.0002605602355764,5.3571428571428745
2003-08-22 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.01044,0.010266,0.01044,52805.0,0.0002807048819832,7.142857142857148
2003-08-25 10:00:00,BMFBOVESPA:ALPA4,0.01044,0.01044,0.01044,0.01044,6793.0,0.0002929802903771,7.142857142857148
2003-08-26 10:00:00,BMFBOVESPA:ALPA4,0.010266,0.01044,0.010266,0.01044,143030.0,0.0003004185651482,7.142857142857148
2003-08-27 10:00:00,BMFBOVESPA:ALPA4,0.010092,0.010092,0.010092,0.010092,52805.0,0.0002902898551448,3.571428571428583
2003-08-28 10:00:00,BMFBOVESPA:ALPA4,0.010092,0.010092,0.010092,0.010092,19251.0,0.0002811214412062,3.571428571428583
