datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2003-12-04 09:00:00,BMFBOVESPA:GOAU4,0.203169,0.203649,0.197405,0.199807,3406094.0,-2.1177680889629125,-2.1177680889629125,-2.1177680889629125,-2.1177680889629125,1.185779488287367,1.185779488287367,1.185779488287367,1.185779488287367,-2.901517309130972,-5.521198759689944,-10.472214627113528,-21.7073561502212,0.0,0.0,0.0,0.0
2003-12-05 09:00:00,BMFBOVESPA:GOAU4,0.199807,0.201728,0.198846,0.198846,2256804.0,-2.588546514476074,-2.588546514476074,-2.588546514476074,-2.588546514476074,1.3431152053693576,1.3431152053693576,1.3431152053693576,1.3431152053693576,-2.908285798808964,-5.213308075818925,-9.572085815904376,-19.501061895822147,-2.822894847630178,-2.822894847630178,-2.822894847630178,-2.822894847630178
2003-12-08 09:00:00,BMFBOVESPA:GOAU4,0.198846,0.200767,0.198366,0.200287,1998640.0,-1.882623818155104,-1.882623818155104,-1.882623818155104,-1.882623818155104,1.1918778066793565,1.1918778066793565,1.1918778066793565,1.1918778066793565,-2.6806698671227487,-5.26940624760737,-10.167453055581666,-21.36751570995234,-3.292187831231564,-3.292187831231564,-3.292187831231564,-3.292187831231564
2003-12-09 09:00:00,BMFBOVESPA:GOAU4,0.202208,0.202208,0.199807,0.201248,3664251.0,-1.4118453926419416,-1.4118453926419416,-1.4118453926419416,-1.4118453926419416,1.0611352959549254,1.0611352959549254,1.0611352959549254,1.0611352959549254,-2.562390973500729,-5.460236802198104,-10.946260071957765,-23.538855020756305,-4.110112398123613,-4.110112398123613,-4.110112398123613,-4.110112398123613
2003-12-10 09:00:00,BMFBOVESPA:GOAU4,0.199327,0.201248,0.194523,0.199807,6245953.0,-2.1177680889629125,-2.1177680889629125,-2.1177680889629125,-2.1177680889629125,1.0171960916461362,1.0171960916461362,1.0171960916461362,1.0171960916461362,-3.3619114722189614,-6.374660550456121,-12.08148311857359,-25.23113725547219,-3.9830472405718713,-3.9830472405718713,-3.9830472405718713,-3.9830472405718713
2003-12-11 09:00:00,BMFBOVESPA:GOAU4,0.198366,0.203169,0.198366,0.201728,4963444.0,-1.1767011218341328,-1.1767011218341328,-1.1767011218341328,-1.1767011218341328,0.9390285742533704,0.9390285742533704,0.9390285742533704,0.9390285742533704,-2.634012582426885,-5.886388494411329,-12.050782352885136,-26.30919932709376,-4.672258502991787,-4.672258502991787,-4.672258502991787,-4.672258502991787
2003-12-12 09:00:00,BMFBOVESPA:GOAU4,0.202208,0.202208,0.197405,0.200287,3172904.0,-1.882623818155104,-1.882623818155104,-1.882623818155104,-1.882623818155104,0.8973114761039153,0.8973114761039153,0.8973114761039153,0.8973114761039153,-3.53729858663173,-6.929238148154765,-13.363789246837149,-28.297995842672456,-4.210161329940526,-4.210161329940526,-4.210161329940526,-4.210161329940526
2003-12-15 09:00:00,BMFBOVESPA:GOAU4,0.200287,0.203649,0.196925,0.201728,2165208.0,-1.1767011218341328,-1.1767011218341328,-1.1767011218341328,-1.1767011218341328,0.8459268004549966,0.8459268004549966,0.8459268004549966,0.8459268004549966,-2.911432801860116,-6.50508191145177,-13.305048344974834,-29.16008854610994,-1.7817336825372336,-1.7817336825372336,-1.7817336825372336,-1.7817336825372336
2003-12-16 09:00:00,BMFBOVESPA:GOAU4,0.198366,0.203169,0.197886,0.203169,4363808.0,-0.4707784255131618,-0.4707784255131618,-0.4707784255131618,-0.4707784255131618,0.8512082299221551,0.8512082299221551,0.8512082299221551,0.8512082299221551,-2.057930493426591,-5.624901102539303,-12.357400404324476,-28.127650130369567,-1.2019279470908057,-1.2019279470908057,-1.2019279470908057,-1.2019279470908057
2003-12-17 09:00:00,BMFBOVESPA:GOAU4,0.202689,0.208933,0.202208,0.208933,9602151.0,2.352912359770736,2.352912359770736,2.352912359770736,2.352912359770736,1.3133442993656586,1.3133442993656586,1.3133442993656586,1.3133442993656586,0.8202013906579734,-1.488766643151641,-5.835873169082721,-16.05665442086278,-0.581893864814339,-0.581893864814339,-0.581893864814339,-0.581893864814339
2003-12-18 09:00:00,BMFBOVESPA:GOAU4,0.207972,0.216618,0.207972,0.213255,6562424.0,4.470190564836131,4.470190564836131,4.470190564836131,4.470190564836131,1.9163610855838,1.9163610855838,1.9163610855838,1.9163610855838,1.6688205839542016,0.0910371358553478,-2.876856858438024,-9.88106925579076,-0.08952263330595968,-0.08952263330595968,-0.08952263330595968,-0.08952263330595968
2003-12-19 09:00:00,BMFBOVESPA:GOAU4,0.213255,0.217098,0.213255,0.217098,2140228.0,6.352814382991234,6.352814382991234,6.352814382991234,6.352814382991234,2.5205991705424933,2.5205991705424933,2.5205991705424933,2.5205991705424933,2.0170307862200074,0.8209893426738651,-1.4268422220425194,-6.751692410676019,1.0199929326197272,1.0199929326197272,1.0199929326197272,1.0199929326197272
2003-12-22 09:00:00,BMFBOVESPA:GOAU4,0.218539,0.226224,0.218539,0.226224,4288849.0,10.823494831724885,10.823494831724885,10.823494831724885,10.823494831724885,3.457063502277553,3.457063502277553,3.457063502277553,3.457063502277553,2.764845347783086,1.8953557732534208,0.2626934749840814,-3.619510352635399,1.8024871089923666,1.8024871089923666,1.8024871089923666,1.8024871089923666
2003-12-23 09:00:00,BMFBOVESPA:GOAU4,0.228145,0.239672,0.228145,0.231027,8636107.0,13.176407191495615,13.176407191495615,13.176407191495615,13.176407191495615,4.29164068098847,4.29164068098847,4.29164068098847,4.29164068098847,2.776233714725441,2.07789435372865,0.7677750851975755,-2.3592892819998093,1.9538067611861412,1.9538067611861412,1.9538067611861412,1.9538067611861412
2003-12-26 09:00:00,BMFBOVESPA:GOAU4,0.231027,0.239192,0.224783,0.239192,2581619.0,17.176309214716103,17.176309214716103,17.176309214716103,17.176309214716103,5.176436384003007,5.176436384003007,5.176436384003007,5.176436384003007,3.075727788618318,2.5001758444795987,1.4223673610337513,-1.1698904255541602,2.2479177934849828,2.2479177934849828,2.2479177934849828,2.2479177934849828
2003-12-29 09:00:00,BMFBOVESPA:GOAU4,0.237751,0.244955,0.237751,0.243034,11717463.99999999,19.058443148973687,19.058443148973687,19.058443148973687,19.058443148973687,5.951521404673555,5.951521404673555,5.951521404673555,5.951521404673555,2.991976734599937,2.492868475181037,1.5590721111806791,-0.6954550920728596,2.087106209079151,2.087106209079151,2.087106209079151,2.087106209079151
2003-12-30 09:00:00,BMFBOVESPA:GOAU4,0.244475,0.250719,0.244475,0.249759,4380466.0,22.35291235977073,22.35291235977073,22.35291235977073,22.35291235977073,6.672068065061501,6.672068065061501,6.672068065061501,6.672068065061501,3.163135203549368,2.7192600829005773,1.889559583681002,-0.1213717922804297,2.2085466984675226,2.2085466984675226,2.2085466984675226,2.2085466984675226
2004-01-02 09:00:00,BMFBOVESPA:GOAU4,0.402985,0.402985,0.393025,0.399154,788299.0,95.53911722921669,95.53911722921669,95.53911722921669,95.53911722921669,11.202522004348603,11.202522004348603,11.202522004348603,11.202522004348603,8.417545239494007,8.154756620871161,7.664455974603865,6.466920947921011,4.109061039378334,4.109061039378334,4.109061039378334,4.109061039378334
2004-01-05 09:00:00,BMFBOVESPA:GOAU4,0.404517,0.421372,0.404517,0.421372,5612545.00000001,106.91091043903972,106.4233576642336,106.4233576642336,106.4233576642336,14.911212686165676,14.61024716025056,14.61024716025056,14.61024716025056,7.086810134212829,6.99853558202008,6.62407162110831,5.705908885880645,3.2452971781235385,3.2370196972453447,3.2370196972453447,3.2370196972453447
2004-01-06 09:00:00,BMFBOVESPA:GOAU4,0.427501,0.430565,0.412178,0.419073,4902485.0,109.7388980366053,105.2971145838436,105.2971145838436,105.2971145838436,17.861728962808883,17.218892586928256,17.218892586928256,17.218892586928256,6.074682080699699,5.873568423383144,5.557088879722221,4.778075028659478,2.818392723392023,2.7495980717035944,2.7495980717035944,2.7495980717035944
2004-01-07 09:00:00,BMFBOVESPA:GOAU4,0.419073,0.424436,0.415243,0.417541,2714866.0,109.98209669794716,104.54661245284866,104.54661245284866,104.54661245284866,19.98950240495557,19.06803395042762,19.06803395042762,19.06803395042762,5.440401946042695,5.265258508051444,4.980599625107423,4.277176956678363,2.631087291595414,2.515617624344832,2.515617624344832,2.515617624344832
