,SANTANDER FI PETROBRAS ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.065144362422057,96.98710565937944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0990728061810886,96.89101781216888,-4.160189716007982,-4.160189716007982,-4.160189716007982,-4.160189716007982,2.4780150664079854,2.4780150664079854,2.4780150664079854,2.4780150664079854,-1.960227694748529,-2.435046835185697,-2.9432133739268527,-3.509987539041587,0.3339382585939138,0.0651261404592479,0.0180103032392289,0.0052025517585036,-14.546023512340309,-92.65223921529656,-404.9530420097735,-1671.8338247058732,0.63366512131723,1.2290698836977545,6.656037497506248,3.0976352312187427,-485.7473761177048,-603.408274499924,-729.332708424422,-869.780200464934
2022-01-07,0.7459948016596663,97.6138197683228,-3.4452297133689207,-3.4452297133689207,-3.4452297133689207,-3.4452297133689207,2.041078594666814,2.041078594666814,2.041078594666814,2.041078594666814,-2.029570918710365,-2.611555529648707,-3.2323886935000377,-3.9250608843821753,0.085208879063546,0.0305068552154181,0.0065409749969735,0.0014046761363959,-48.6159870199517,-174.72761622626257,-1008.6507554299836,-5703.348655464377,-0.0268991606982091,1.3398408375769455,6.156573972592249,3.884189078946649,-84.54345185910462,-533.0390090349731,-659.7559371945956,-801.1357753876453
2022-01-10,-0.4081132896076145,97.21544479735464,-3.8392825626587785,-3.8392825626587785,-3.8392825626587785,-3.8392825626587785,1.825892203988796,1.825892203988796,1.825892203988796,1.825892203988796,-2.48457526567964,-3.141319909947693,-3.8396615461745,-4.619075603220173,0.1134498572398294,0.0884440457602051,0.0111292279858834,0.0019631622559425,-39.987415746479854,-64.85130213693853,-629.9455893983192,-4296.096315026945,0.591021904818245,2.588729940610327,8.33353294143411,4.545427713672484,-106.90860837460332,-573.5711533808278,-701.0808083115586,-843.3934133554558
2022-01-11,3.91232473854235,101.01882869384552,-0.0771630255978731,-0.0771630255978731,-0.0771630255978731,-0.0771630255978731,1.9993291561030224,1.9993291561030224,1.9993291561030224,1.9993291561030224,-0.387353462236527,-0.9927639134227966,-1.6344922346390482,-2.350961517855868,0.2231634436549505,0.0966258039802364,0.0106931341852263,-0.0032815095458109,-3.470313318718856,-20.54173683914819,-305.6061883757866,1432.3730715718336,1.4161569372584648,3.491462360939936,9.42492404467038,5.946881464278326,-20.404790144723513,-198.4861837233134,-326.78879801378315,-470.03459075254517
2022-01-12,3.259715252417794,104.3117548605926,3.1800369319052746,3.1800369319052746,3.1800369319052746,3.1800369319052746,2.757494906409104,2.757494906409104,2.757494906409104,2.757494906409104,0.9003653573269248,0.4573234316401744,-0.0108399219583789,-0.5337036309295944,0.8685848116161323,0.167782329135464,0.0271864771804217,-0.0149152070424005,2.8583885574935093,7.516089684934302,-1.0994815322239728,98.67010492289776,1.9230872843805271,3.943661877097643,8.717895303733828,5.422264075547092,71.65797145418738,126.1067033329313,-2.9891029586102125,-147.16850438204008
2022-01-13,2.3414396337992915,106.75415163161009,5.595935210797662,5.595935210797662,5.595935210797662,5.595935210797662,3.5084277689645567,3.5084277689645567,3.5084277689645567,3.5084277689645567,1.3962525348140018,1.0448249814674568,0.6746043597528971,0.2609905110445264,1.322112441926009,0.2582461042709824,0.0497489497071032,-0.0103592775094433,3.7051698556685575,14.194572224182808,47.57488716357133,-88.3909476843501,2.80362821537323,3.876044001192814,7.786141580663248,4.983101945870747,152.71472810987788,366.56929786883035,236.68006688216198,91.56663563848673
2022-01-14,2.3926064077555376,109.30835830409303,8.122430322980575,8.122430322980575,8.122430322980575,8.122430322980575,4.234006666650723,4.234006666650723,4.234006666650723,4.234006666650723,1.753692627906302,1.4598263529651818,1.151175708983305,0.8062355758093787,1.936628191538648,0.3763169324249733,0.1096358657867453,0.0025589866179066,3.8340587575110336,16.424757904932395,44.457035946634086,1333.9682118620935,2.9281913471283154,3.753995320215477,7.241908878033996,4.788142799856308,247.46022090384508,618.0914510606991,487.4085626321686,341.3606802867894
2022-01-17,-0.2363761115589557,109.0499794571249,7.86685472646009,7.86685472646009,7.86685472646009,7.86685472646009,4.597204357316573,4.597204357316573,4.597204357316573,4.597204357316573,1.5595501361344664,1.2864479425504456,1.0004550467579816,0.6807330082097535,2.76309487770186,0.4681644178068909,0.1531873191503987,0.0223260627991775,2.594760946918388,12.632451040722389,30.024001501975352,140.17109866887895,2.5787974180886013,3.465264592956913,6.978149422722962,4.452892471008563,253.43686881757787,591.4064086953849,459.9296300255148,312.9468751511097
2022-01-18,0.3605427404652861,109.44315124153646,8.255760840544578,8.255760840544578,8.255760840544578,8.255760840544578,4.802221520731317,4.802221520731317,4.802221520731317,4.802221520731317,1.5739542132209787,1.3101632441856048,1.0347263423425697,0.7267062971651564,3.782992242836867,1.0787829559302702,0.1803777793997326,0.0273528574272266,1.9980154095445373,5.8322149903394935,27.54765651180012,127.58464554506784,2.076769137946667,2.8602009172213108,7.128069301835805,4.593919632548653,281.6369763473889,629.1694126899271,496.89851092650883,348.9804619497482
2022-01-19,-0.8483767801990338,108.51466095888514,7.337344102345596,7.337344102345596,7.337344102345596,7.337344102345596,4.870171997654741,4.870171997654741,4.870171997654741,4.870171997654741,1.3634138712912167,1.100987823427802,0.8277628576031542,0.5221191044254719,3.639692406252384,1.6040490809738948,0.2068893694072112,0.0558994131163461,1.8243464875685689,3.3427905236923285,19.48552263148344,45.48902573486835,1.6221014179741795,2.496622041888316,6.878008479861001,3.883158656550437,259.4918599803034,536.2000067416924,403.13474897975505,254.2809841813505
2022-01-20,0.6537630331711508,109.22408969780534,8.039075978874441,8.039075978874441,8.039075978874441,8.039075978874441,4.879863818506436,4.879863818506436,4.879863818506436,4.879863818506436,1.5045075450389214,1.2402914508446954,0.9659808313342024,0.6590257439456889,3.316561685459348,2.536480419805758,0.2389628228753822,0.0817692200722027,2.213675676799157,2.3861620725002,19.72631077703996,39.32966317283137,1.499430545540267,1.7661291409643038,7.120695343370871,4.160193690033291,299.6733235357297,605.2453375379882,471.3854908198542,321.5955883344854
2022-01-21,0.3065031982724786,109.55886502601312,8.370219202133734,8.370219202133734,8.370219202133734,8.370219202133734,4.891421299993151,4.891421299993151,4.891421299993151,4.891421299993151,1.568651458621119,1.302753615326926,1.0274662081983703,0.719321697759322,3.0495152959366925,3.165917378468013,0.268073072030371,0.102417340261963,2.516116304511875,2.0127868231788075,18.747761786515124,34.354587465047935,1.6137064457434966,1.5551333719239988,7.28649066462854,4.330297615234631,325.9782269062081,637.231678265321,502.5770095804706,351.8505473967183
2022-01-24,0.241679341723433,109.82364616980765,8.632127634525682,8.632127634525682,8.632127634525682,8.632127634525682,4.892794162818495,4.892794162818495,4.892794162818495,4.892794162818495,1.6217407324541415,1.3536118485895614,1.0767767330963935,0.7668036604661068,2.8403924024649774,3.2643857961136766,0.2746193286380174,0.1153387744895471,2.7935730226818385,2.02884847721912,19.184545168331084,32.528631334611944,2.347318910042332,2.571193495934414,7.913725378158295,4.569162505521823,349.83058572982907,662.2944151500959,526.8446914352803,375.1812473956423
2022-01-25,3.3019198796387927,113.4499349752327,12.219073452564674,12.219073452564674,12.219073452564674,12.219073452564674,4.9867403953977725,4.9867403953977725,4.9867403953977725,4.9867403953977725,2.3104851052661544,2.045145094721947,1.7719305275739428,1.4659173083173336,2.82373004099065,4.227986872953212,0.3499860212211805,0.1725140483882012,4.080343814790955,2.4121663488458034,25.247172755243515,42.37422474284004,2.662403521855736,2.472410152378924,8.104190585221133,4.863264181520078,525.800447657971,1019.8607658299536,883.6157539691467,731.0149057698818
2022-01-26,2.877976486433198,116.71499742769365,15.448711999822686,15.448711999822686,15.448711999822686,15.448711999822686,5.285544480974115,5.285544480974115,5.285544480974115,5.285544480974115,2.790900352414585,2.539500696285,2.2791516291442098,1.9886637231933475,2.8674086377805605,5.013723026437981,0.4288994335591539,0.2567754115675068,5.144515420749921,2.677180972881797,28.08713738500397,40.93526908387263,3.135360733746521,3.164982105357572,8.281690998364702,5.298352795749813,695.2635199708219,1342.26438896791,1204.655731472634,1051.117056663803
2022-01-27,0.3072843412255777,117.07364433865078,15.803467813944753,15.803467813944753,15.803467813944753,15.803467813944753,5.60106845403001,5.60106845403001,5.60106845403001,5.60106845403001,2.6970182372805453,2.458780354732158,2.2106622831091243,1.9348632542587607,2.7408554666144687,5.469685732077688,0.5364534498439353,0.3508655160455496,5.51148499174055,2.517840650242938,23.08135175575562,30.887337286471,3.0522240560595293,2.8006984420126706,7.627380063920436,5.032831207380121,733.8961565747151,1377.1797080279005,1238.2070776436474,1083.7301536290593
2022-01-28,-3.168613179290458,113.36403341466064,12.1341038707167,12.1341038707167,12.1341038707167,12.1341038707167,5.798507374958841,5.798507374958841,5.798507374958841,5.798507374958841,1.9723730756880888,1.7412809112690104,1.4992584018232853,1.2312315012557329,2.504669793785277,5.330665506762543,0.608128487351082,0.3827387553742592,4.566198647791934,1.894103127097256,14.295434403687874,18.65320624072124,1.6640170959043892,1.1706909255706963,6.061806805424539,4.195468681559209,571.7378192786906,1009.6830205868407,869.3460899941325,713.9304940313012
2022-01-31,-1.518795919473559,111.64226510100816,10.431015676790045,10.431015676790045,10.431015676790045,10.431015676790045,5.815549358794404,5.815549358794404,5.815549358794404,5.815549358794404,1.673742415564131,1.442363954902579,1.1987041569313908,0.9298478870356472,2.3462563142449206,4.99397575240367,0.6465625869894561,0.3894671320579006,4.148622455493963,1.6796514818968689,10.781822721425447,13.884551065075666,0.7734240642740097,1.1987806603970823,5.741200169623578,4.453610640214007,499.932715231333,838.8138773081854,697.1123191226535,540.7576283226489
2022-02-01,2.7654820344609643,114.7297118852418,18.29377844120303,13.484965575804416,13.484965575804416,13.484965575804416,5.718423087468179,5.710653267644112,5.710653267644112,5.710653267644112,3.077158532497598,2.0026579428906497,1.7521322910561448,1.476692334714186,2.6276275781485383,4.815020705979967,0.7257190818092324,0.4425037707566543,6.6967231362492745,2.375168420633892,13.78745611638022,19.05718880569283,2.3424935706067407,1.8275504295635696,6.813969118882574,4.247285573620347,927.2493601875316,1143.6485125541924,1000.5819993264538,843.2877906540579
