,ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-19,0.1167855424291763,96.95941993487224,-1.368153379783837,-1.368153379783837,-1.368153379783837,-1.368153379783837,1.5081320976846968,1.5081320976846968,1.5081320976846968,1.5081320976846968,-1.3695334965178372,-2.216979149137856,-3.09929746837674,-4.086304939585174,0.5180584016781238,0.3045986408107907,0.0321010512507657,0.0067442246202722,-3.986881437039575,-10.976731234954553,-145.60738076203629,-913.772596154604,-1.4672462734531342,0.5728161735301324,6.905934680468619,4.5928339844771005,-1.3880276121645108,-334.34974147125087,-467.4149992331882,-616.2687640315927
2022-01-20,2.2959622986674866,99.1855716615836,0.8963966330958639,0.8963966330958639,0.8963966330958639,0.8963966330958639,1.6595877253028226,1.6595877253028226,1.6595877253028226,1.6595877253028226,0.1199771394371247,-0.6569257857096785,-1.463510726519052,-2.366083698116784,0.713722874373249,0.7783017548983088,0.0503047747977136,0.0212196870534382,0.2789774505989412,-1.4007754235902263,-48.28218488894671,-185.0509601081737,-1.0746432587482904,-0.1568019208276323,8.059193121739332,5.859554347144157,0.12187830885400829,-10.140332756797596,-242.8824437580035,-392.6723462433723
2022-01-21,0.5796058624922384,99.76045704968055,1.481198063024689,1.481198063024689,1.481198063024689,1.481198063024689,1.8358904166931933,1.8358904166931933,1.8358904166931933,1.8358904166931933,0.4269939048255444,-0.2814461864159207,-1.0149031915861448,-1.8359024234206944,0.8339837972275426,1.2176006195968898,0.0708187542970051,0.0352909368841165,0.9399631269355956,-0.4243627574917791,-26.31013580795413,-95.50655105047213,-0.93467744225766,-0.3740146566889853,8.336688277184827,6.246313154818744,0.46037009011679936,-1.7342666019230877,-186.32510433043393,-337.0515665141862
2022-01-24,-1.2870843896218176,98.47645577997876,0.1750494043543271,0.1750494043543271,0.1750494043543271,0.1750494043543271,1.8619143023386704,1.8619143023386704,1.8619143023386704,1.8619143023386704,-0.2804826409887839,-0.9850797517193028,-1.7125553586507445,-2.527111881736367,0.787363344921964,1.225014558848109,0.0735893723881933,0.0390823757935821,-0.663270196895562,-1.497234514824907,-43.33005177701634,-120.39354467769093,-0.8350926184818273,0.3293750238628995,8.737413382861284,5.597456342284345,-0.30140702032239375,-6.388474408048151,-318.8631315818552,-470.52657562149324
2022-01-25,2.824170885062305,101.25759917275816,3.0041639837288647,3.0041639837288647,3.0041639837288647,3.0041639837288647,2.082768760429309,2.082768760429309,2.082768760429309,2.082768760429309,1.1076025252483117,0.4723031227244664,-0.1818502064848875,-0.9145328311647872,0.9142651871485914,1.7477666407294803,0.110904736261196,0.068801640108519,2.5232065827142462,0.5628315397146808,-3.4151104985483207,-27.684811119802703,-0.8551532516503099,-0.1959876559383037,9.07980433484562,5.577550234327019,1.3117994512905422,3.1547193792556594,-37.87519291443431,-190.47604111369907
2022-01-26,-0.294042374580783,100.95985892370707,2.7012880940340054,2.7012880940340054,2.7012880940340054,2.7012880940340054,2.238646873070244,2.238646873070244,2.238646873070244,2.238646873070244,0.8951854233787669,0.3016196935805124,-0.3130759922404032,-0.998930812202502,0.9388324939531968,1.9674526054189083,0.1376765823959175,0.0969209635898283,2.1345703965001914,0.3431950442062373,-5.090673946618283,-23.07295817460632,-1.6583371175919466,-0.6391787375642144,9.386899520701904,4.093763385518255,1.001959082233626,1.186273336322722,-70.08665910623426,-223.62533391506503
2022-01-27,1.2921701997628876,102.26443213444188,4.02836353355775,4.02836353355775,4.02836353355775,4.02836353355775,2.441183177156742,2.441183177156742,2.441183177156742,2.441183177156742,1.3645348368607095,0.8179201047164191,0.2486361948292665,-0.3841591048438545,0.9613918895786576,2.219658305822938,0.1851654999047708,0.1397225621948019,3.4648508319001645,0.8995496264690745,3.27796752830106,-6.711891976250203,-1.34302676879117,-0.7798210579860582,9.560439064541864,3.5077843499442185,1.5797883213086645,2.4317187866049546,60.69664960494716,-93.78027440964107
2022-01-28,0.9992002348885975,103.28625858053672,5.067815186335838,5.067815186335838,5.067815186335838,5.067815186335838,2.679484991334922,2.679484991334922,2.679484991334922,2.679484991334922,1.6311086478560075,1.1310164196806065,0.6072705093786709,0.0272501081992526,1.0074781629385368,2.4888706933018923,0.2512680994636452,0.1770303792545232,4.338090195840209,1.2176371916963824,6.475840821154018,0.4124504293535512,-1.051641150078011,-0.9001380299623808,8.685292752160567,4.020604843378303,2.0421792354612966,2.8186705414123114,162.71722155604618,7.301625593215011
2022-01-31,2.1751315870077947,105.53287061596052,7.353178422232793,7.353178422232793,7.353178422232793,7.353178422232793,3.0345667360971853,3.0345667360971853,3.0345667360971853,3.0345667360971853,2.193359038010151,1.7499372992384028,1.282979178001705,0.7677336606100019,1.146042102353365,2.745740740571766,0.3296038435477212,0.2093270287465045,5.807722389427087,1.934014176960786,11.812016191205611,11.1296617671412,-0.4064368153048081,0.3342243784164011,10.590208081876924,6.164277224204761,3.176672093665939,5.074389583005545,389.3285936669284,232.97390286692377
2022-02-01,-0.1796188664744624,105.3433136700022,11.237788698411176,7.1603518600265055,7.1603518600265055,7.1603518600265055,3.400112700710292,3.3143396446973514,3.3143396446973514,3.3143396446973514,3.1000456693803624,1.5423498970428555,1.1106907173428138,0.6361038447389369,1.5126990763931627,2.8523314074336,0.4044724178548702,0.2643093302882116,6.968011561410213,1.792173026052203,9.101254164647369,7.976503093794482,-0.366362571018972,-0.0141722585773969,10.627811331176162,4.141206523262173,5.138477228769952,5.011415171908277,368.1206277486628,210.82641907626672
2022-02-02,-0.7741619121788501,104.52778585854192,11.216860505051397,6.330757230969308,6.330757230969308,6.330757230969308,3.541062736633671,3.4826987271250403,3.4826987271250403,3.4826987271250403,2.9707399281727547,1.2279767104551766,0.8143912903402813,0.3589209315172293,2.0012505618278507,2.851141127858566,0.4520778953053572,0.2754366473083217,5.256501439916764,1.4999864035680197,6.27387346230243,4.538297585122479,0.4456221879280826,-0.5666244020768088,10.130802286400383,5.390218532182627,5.254917910109094,3.9746362308576564,283.62795102498166,125.00134713335882
2022-02-03,1.1000351532718833,105.67762824792266,11.356876406550548,7.5004329392501745,7.5004329392501745,7.5004329392501745,3.583614441637209,3.629679991087617,3.629679991087617,3.629679991087617,2.973014635685847,1.497436830499273,1.0978968676679215,0.6571742197254465,2.5357337065592884,2.9002495990004538,0.5089658357421939,0.2888876727461668,4.20159978000966,1.874051289742121,7.829630228600553,8.256953622565819,1.3764430944291564,0.2924731987919045,11.1640384540475,6.312129208715253,5.322136473033141,5.170230327497416,398.5014292852025,238.53321159960706
2022-02-04,-1.1393018978671954,104.47364102367304,11.467933575599195,6.275678466557852,6.275678466557852,6.275678466557852,3.6051075354200086,3.741769307617783,3.741769307617783,3.741769307617783,2.9845825051868227,1.1222842287194523,0.7320907389310954,0.3009831055196011,2.8892781598893267,2.8620243401812973,0.552530344481557,0.295636702981941,3.724023885586665,1.467258199900541,4.957763287903968,3.809436835769079,0.7249612978238051,-0.2641006167657913,10.849553955419385,6.131103911333408,5.374888929379651,4.025339609391249,273.93146573235964,112.62093463447282
2022-02-07,-0.4137476123838968,104.04138382836707,8.781504935168428,5.835965384357688,5.835965384357688,5.835965384357688,3.412416861340021,3.788841080119592,3.788841080119592,3.788841080119592,2.3642649178965502,0.9893476548906768,0.6014113883607259,0.1721150917607054,3.547689667173473,2.74895885404493,0.5842538751555955,0.2961315494524643,2.2741158972150792,1.3636002706457788,3.9001062229429584,2.2021183875114025,0.4498841647015352,-0.0904382449879978,11.030317771122371,5.946195821269573,4.030446462537874,3.6644509440819197,227.86521742728763,65.21167301715138
2022-02-08,0.3039748397588804,104.35764345814228,7.515452713141927,6.157680090542056,6.157680090542056,6.157680090542056,3.299656613683676,3.811859783366193,3.811859783366193,3.811859783366193,2.059714382473957,1.0648502824853536,0.6766810395258079,0.2464520509894986,3.705487030261687,2.649022314264738,0.6295696286945225,0.2969275181908403,1.8341314188730573,1.5322860608815525,4.097105583195835,3.163872002901362,0.676470355999382,0.0782207597775803,10.856923138050025,6.426686753212313,3.3952416312690117,4.049892028546859,257.94132407348565,93.94406616949844
2022-02-09,0.59461495725186,104.97816961517997,8.941881902072907,6.788909534632006,6.788909534632006,6.788909534632006,3.255846481188596,3.8401709985784303,3.8401709985784303,3.8401709985784303,2.523867160604978,1.2184750162931517,0.8306100969340572,0.4000519995932033,3.682573430203375,2.527519701529146,0.6785270462346408,0.3007094852350997,2.231408054608529,1.8512822737763268,4.700895598890488,5.108811534694523,1.1541141462270932,0.7418130435930482,11.333389009406368,6.476039589162307,4.105115221011605,4.761040100173918,318.96848053725853,153.62680867611294
2022-02-10,0.0503232397633057,105.03099803117456,7.566848883933456,6.842649173617758,6.842649173617758,6.842649173617758,3.131269461371285,3.8786342828983447,3.8786342828983447,3.8786342828983447,2.1834068977594843,1.217375372020633,0.8308239677370488,0.4010675782304804,3.9005703129178366,2.448880083135218,0.748836210039354,0.310530862867427,1.7527783868065612,1.928127835083804,4.303293939470681,5.009468122812242,0.7276800742331466,0.0759306603012395,9.770420034026486,6.134123560931737,3.416804067170048,4.895907439607453,322.2462324318546,155.55944586837552
2022-02-11,-1.656996024395141,103.29063856941544,6.883942838196449,5.072270724452439,5.072270724452439,5.072270724452439,3.046593618088095,3.9159934578838302,3.9159934578838302,3.9159934578838302,2.0181468601383443,0.7508276034158023,0.3654545210709554,-0.0636386428993357,3.6016352313679265,2.3187655175488784,0.7816705351734997,0.3122770571923213,1.7071338293541665,1.2680178141009026,1.8308449011069337,-0.7980365624776741,0.0548854607670421,-1.1892150556647398,7.828813042795289,4.703834157338234,3.0735621689872525,2.4953145279719804,143.111751366793,-24.920850926240412
2022-02-14,0.4956392839741141,103.8025875508332,7.18279259051435,5.593050174726477,5.593050174726477,5.593050174726477,2.7781937106286283,3.881564632025692,3.881564632025692,3.881564632025692,2.3187248700894165,0.8887845815457088,0.4974608291257635,0.0610926750719137,3.666452788557775,2.242726148754993,0.8339158653876007,0.3146021750739628,1.7569752625383055,1.5382505791590786,2.315493013501132,0.7537620068241034,0.1901286508367409,-1.5325657703893925,6.014866467333634,5.254717107705182,3.2202267361188808,2.3165260577046682,193.092636015274,23.713516683497815
