,RPS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES SELECTION,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.8503527831610143,96.49590787205852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.7341004441803634,97.20428476036317,-2.137176791422547,-2.137176791422547,-2.137176791422547,-2.137176791422547,1.5156690593239743,1.5156690593239743,1.5156690593239743,1.5156690593239743,-1.8701053631429625,-2.646402125674348,-3.477219599646294,-4.403856527256039,0.1715510937611298,0.0334566655383181,0.0092522708618917,0.0026726600548202,-16.52254599168197,-119.88851117933152,-569.6238510878644,-2497.432873300059,2.53083101309798,3.321792712146314,18.73608393962646,6.452689859848961,-283.44608365916133,-401.10698204138055,-527.0314159658785,-667.4789080063904
2022-01-07,1.573340720274219,98.73363935434926,-0.5974611438720306,-0.5974611438720306,-0.5974611438720306,-0.5974611438720306,1.3309491468003272,1.3309491468003272,1.3309491468003272,1.3309491468003272,-0.9727983913989005,-1.8653015607855457,-2.8173809731677304,-3.8796292080678727,0.1427796121792745,0.0270612695458601,0.007611554014026,0.0021667060679886,-9.068137735347056,-91.7407631835454,-492.644576329516,-2383.151670024645,1.6337254171348483,4.820591597058995,19.090692803208388,9.667718705954716,-129.47451890410971,-248.26215208528407,-374.97908024490664,-516.3589184379564
2022-01-10,-0.6674155888605648,98.07467565384896,-1.2608891839210208,-1.2608891839210208,-1.2608891839210208,-1.2608891839210208,1.161998745025513,1.161998745025513,1.161998745025513,1.161998745025513,-1.6851767159585818,-2.717144203973472,-3.814474605375336,-5.039197141893846,0.1171922903815879,0.0405864239593416,0.0078094162711005,0.0019439867077163,-16.70906185649339,-77.79246967491983,-567.5731130866218,-3012.130037501955,2.990802964045169,6.4663878864762205,23.260719046088223,11.384992161564458,-195.81732290900874,-315.7318155070521,-443.2414704377828,-585.55407548168
2022-01-11,2.4326964694596054,100.46053482591412,1.1411336788775646,1.1411336788775646,1.1411336788775646,1.1411336788775646,1.4339471592037722,1.4339471592037722,1.4339471592037722,1.4339471592037722,0.3095299787440943,-0.534583947419197,-1.4293352879198633,-2.42829673373982,0.2124096763574257,0.0505435355887498,0.0076574476122714,-0.0026889718286208,2.089592344943948,-15.166432736223577,-267.65984952712347,1294.937033548615,3.738045883072026,6.861549591015316,18.93590758854406,10.126723365156158,44.3849633708498,-76.65651327576963,-204.95912756623937,-348.2049203050014
2022-01-12,2.1255432753225056,102.59586696825934,3.290932244373871,3.290932244373871,3.290932244373871,3.290932244373871,2.0129730730879656,2.0129730730879656,2.0129730730879656,2.0129730730879656,1.288466415115064,0.6815602077047533,0.0402411159719246,-0.6760099027376999,0.6873567512478636,0.1040787818665802,0.0198583010801771,-0.0112498860707095,3.7733654241355152,13.18196006133742,4.07911444969249,120.96031220216466,3.9928770637130575,6.65014886724239,15.859143903107867,7.809820822284545,259.36481992048044,137.19623457979094,8.10042828824944,-136.07897313518043
2022-01-13,-0.3380129375462171,102.24907966451892,2.941795530075785,2.941795530075785,2.941795530075785,2.941795530075785,2.184253503299174,2.184253503299174,2.184253503299174,2.184253503299174,1.0275874487629428,0.4631116747385505,-0.1315502122195294,-0.7959118855531915,0.853886887328344,0.1416715333042175,0.0286028260270555,-0.0086778049519725,2.6285817456799045,7.140130937908844,-10.045825948403216,200.33560721387812,4.731813024312583,6.352681832398972,15.861995456967104,7.262323267830501,224.45114849067184,101.15532979664266,-28.7339011900257,-173.84733243370096
2022-01-14,1.4993048864465397,103.78210511227566,4.485206900654012,4.485206900654012,4.485206900654012,4.485206900654012,2.457602461267479,2.457602461267479,2.457602461267479,2.457602461267479,1.5413082120414907,1.0350295169254304,0.5032800151726841,-0.090989744266183,1.1374682124867035,0.1987989185686833,0.0570711254429823,-0.0021456323340427,3.3301351316041496,12.795296406009392,21.672293903347445,104.21944892923104,5.490909979240613,6.3897873642859855,16.574872138370058,7.433010227558562,378.7922855484945,254.36910882804273,123.68622039951225,-22.361661945866995
2022-01-17,-0.2598573136089577,103.51241972192408,4.213694448883213,4.213694448883213,4.213694448883213,4.213694448883213,2.574473641880523,2.574473641880523,2.574473641880523,2.574473641880523,1.365875473149372,0.8782004105994635,0.3675065874774955,-0.2034169305704176,1.53385337896054,0.2434121542928125,0.0765078020056925,0.007306272342936,2.2925335967230085,9.288376810704444,12.366529920803035,-71.67697855830775,5.004748978842345,6.055525932375972,16.639205249747373,7.246262596825167,351.6410403714146,226.09038093769715,94.61360226782709,-52.36915260657806
2022-01-18,0.1790168743432074,103.69772442026728,4.400254547323176,4.400254547323176,4.400254547323176,4.400254547323176,2.6367606817536524,2.6367606817536524,2.6367606817536524,2.6367606817536524,1.404363516104671,0.9239320999195166,0.4222904352863511,-0.1386935402422264,1.9930161632956376,0.5294421478063505,0.0886400500331077,0.0098869616085796,1.8579731415880256,4.601424053169511,12.56180265723895,-36.98827690466362,2.6002047843532963,4.5160544009913925,18.24258521215972,7.758744483710271,370.2970502154109,243.61878336778685,111.34788160436857,-36.57016737239207
