,BB ACOES SETOR FINANCEIRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.836029998981625,98.35013977775584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,1.2827577470347462,99.61173381497451,-0.5768240689966907,-0.5768240689966907,-0.5768240689966907,-0.5768240689966907,0.9443590484650016,0.9443590484650016,0.9443590484650016,0.9443590484650016,-1.3491776419538128,-2.595111575381674,-3.928549679555936,-5.415775245603093,0.0463016444597741,0.009029954858357,0.0024971881350365,0.0007213510150651,-27.517556428750083,-271.3985990439222,-1485.6555600199915,-7090.07993449137,12.405635685655984,10.749653975322076,131.8104955878347,17.03308924534285,-127.41081141657573,-245.0717097987949,-370.9961437232929,-511.44363576380476
2022-01-07,1.6865862821357824,101.29177165289548,1.1000335775193288,1.1000335775193288,1.1000335775193288,1.1000335775193288,1.2091192355374412,1.2091192355374412,1.2091192355374412,1.2091192355374412,0.3330933133085458,-0.6493377794229701,-1.6973479709347952,-2.8666275096083145,0.1450462918235858,0.0195563307288715,0.0066279002570117,0.00213941775842,2.7766965103810515,-40.146938111574215,-309.6449858138056,-1620.1111023533708,5.418740520335128,16.255105075045634,139.08102533426188,23.235175295074907,40.27495323502623,-78.51267994614813,-205.22960810577064,-346.6094462988204
2022-01-10,-0.2325392482410371,101.05622852856382,0.8649363194667444,0.8649363194667444,0.8649363194667444,0.8649363194667444,1.1753508159651294,1.1753508159651294,1.1753508159651294,1.1753508159651294,0.1426401990115706,-0.8776040631202983,-1.9624687111788213,-3.1732783104135693,0.0829940075020101,-0.0088515548393088,0.0030104969321375,0.0013333235008775,2.020052764576014,116.532368652568,-766.1822127659001,-2797.307066870417,7.687215707485967,8.274527086320676,25.06567204356681,25.624176968464656,16.765227429767794,-103.14926516827553,-230.65892009900634,-372.9715251429036
2022-01-11,1.23352165742443,102.30277899363998,2.109127153714721,2.109127153714721,2.109127153714721,2.109127153714721,1.3605757324453902,1.3605757324453902,1.3605757324453902,1.3605757324453902,1.037680648623741,0.1480464021781638,-0.7949559697652846,-1.8477881592774663,0.174480360895574,0.0040909587548958,0.0033818391177255,-0.0029672218093429,8.091702133689639,49.23744142822349,-319.8253267448986,847.2759671342544,7.733726205085389,8.205649500282826,21.9793674784419,14.269060578751692,141.18431085456544,20.142834207946002,-108.15978008252375,-251.4055728212858
2022-01-12,0.3493861088911032,102.66021069245332,2.4658822598997534,2.4658822598997534,2.4658822598997534,2.4658822598997534,1.477802858755886,1.477802858755886,1.477802858755886,1.477802858755886,1.1967754726226556,0.3700847904599532,-0.5034810273800736,-1.4791145536598225,0.4094678148577418,0.0318563301612844,0.0095190755454565,-0.0070592767272485,4.319260636749037,17.168090566454037,-78.16365129560926,309.6407465355022,3.282978372436652,8.782690309282843,23.374874956757218,11.791023230778276,176.85982147306868,54.69123613237918,-74.40457015916233,-218.58397158259223
2022-01-13,0.6618126057587714,103.33962890791447,3.144014385297695,3.144014385297695,3.144014385297695,3.144014385297695,1.616802937457118,1.616802937457118,1.616802937457118,1.616802937457118,1.5133138884425872,0.7507236194766804,-0.0526472056094991,-0.9501804045032824,0.5532000751381363,0.06299604010219,0.0171046609993548,-0.0052580746688574,4.422866969997554,19.267435718489565,-4.976430499356745,292.17053120490084,5.057716779165899,9.597641544033882,25.547893105533696,11.388711118190496,244.67303401286284,121.37721531883365,-8.512015667834705,-153.62544691150995
2022-01-14,1.9416314753188504,105.34610366926826,5.146691033510059,5.146691033510059,5.146691033510059,5.146691033510059,2.0014667374151776,2.0014667374151776,2.0014667374151776,2.0014667374151776,2.223073161878894,1.6014131842509878,0.948477584645157,0.2187733151952691,0.8479224156869174,0.1173559295226373,0.0458324386927206,0.0008900923215877,5.247422294805649,27.31157457636782,41.41927401198221,491.93494065461954,6.397202998076588,8.657677210301364,27.36167243676562,10.80111482149489,444.9406988340993,320.5175221136475,189.834633685117,43.78675133973777
2022-01-17,0.2190702567850699,105.5768856490896,5.377036159558187,5.377036159558187,5.377036159558187,5.377036159558187,2.2325192526587383,2.2325192526587383,2.2325192526587383,2.2325192526587383,2.096175479255526,1.5338033550993857,0.9448866928430912,0.286514969063503,1.2682391997560214,0.1579193658417206,0.0695313406322593,0.0112543207471901,3.6899601552210273,21.683506020939813,30.338516619576662,56.83596540190102,6.268072186132982,7.656993348308708,28.49924840970727,10.43562345501992,467.975211438912,342.4245520051945,210.94777333532448,63.96501846091933
2022-01-18,-0.1434584743595701,105.42542665966106,5.225863871158336,5.225863871158336,5.225863871158336,5.225863871158336,2.339618155433393,2.339618155433393,2.339618155433393,2.339618155433393,1.9356063789607545,1.3941579098871415,0.8288053909034775,0.1965738080135756,1.749641577676763,0.4345907824277881,0.0824999732363803,0.013554127432215,2.588290015377024,7.5054448676785075,23.50410629010677,33.93118829753264,3.389828758337208,5.681581920872304,30.657022993776334,10.543861691538526,452.8579825989269,326.17971575130287,193.90881398788463,45.990765011123976
2022-01-19,0.4024715294102421,105.84973398672548,5.649368014815741,5.649368014815741,5.649368014815741,5.649368014815741,2.4250284456406503,2.4250284456406503,2.4250284456406503,2.4250284456406503,2.0420725284888026,1.5150436632987434,0.9663273874086936,0.3525046297169589,1.8061659217556985,0.7611148524683495,0.1002009966337505,0.0317530177534273,2.741765808997747,4.827161062449311,23.386707527801,26.92133897073082,2.760617692725593,5.26945856727573,31.69466621254869,9.256954276619402,495.2083969646674,367.4023979887068,234.3371402267695,85.483375428365
2022-01-20,2.116028515618873,108.0895445415913,7.884938768580346,7.884938768580346,7.884938768580346,7.884938768580346,2.676890866537939,2.676890866537939,2.676890866537939,2.676890866537939,2.685075739642377,2.203420482626609,1.703363314097894,1.143796600498194,1.9433781273127544,1.6434226109503105,0.1330574038079805,0.0575506029713612,3.698536390007721,3.5890440631549305,34.268801039322284,53.20219971586408,3.655835812033106,3.8923029905096937,30.0960907208616,10.704751412303994,718.765472341128,589.8316165085787,455.9717697904447,306.18186730507585
2022-01-21,0.2195105143030229,108.32681245672234,8.121757552526757,8.121757552526757,8.121757552526757,8.121757552526757,2.882408758218326,2.882408758218326,2.882408758218326,2.882408758218326,2.5757878670709093,2.124561658920128,1.6574014468200124,1.134483030915256,1.9544567599537896,2.3049969538696966,0.163780486667727,0.0782569730649028,3.798740222594248,2.656773633806902,29.168972100380863,41.78597377703556,3.7930121011599742,2.935638599813881,29.23350577578145,10.96982944199239,742.4473507357691,612.3855133046234,477.7308446197729,327.0043824360206
2022-01-24,-0.7125372519798945,107.5549435640858,7.35134975246963,7.35134975246963,7.35134975246963,7.35134975246963,2.9710501637118094,2.9710501637118094,2.9710501637118094,2.9710501637118094,2.239634250734921,1.7980734000030485,1.3421749255538833,0.8317040964442158,1.847735049465061,2.384477937827754,0.1705929873785433,0.0877381126033052,3.6012012161738154,2.2403924082063806,23.37533971105256,28.163753682197207,4.716724130770386,4.334638529648694,27.39550402125008,10.974372748599844,665.4065707300563,534.2166269444906,398.76690322967505,247.103459190037
2022-01-25,3.074686465292276,110.86192085660348,10.652067173617368,10.652067173617368,10.652067173617368,10.652067173617368,3.2231356616180524,3.2231356616180524,3.2231356616180524,3.2231356616180524,3.0885399106815385,2.6780136753595616,2.2553041584029883,1.7818495346449013,1.9311773790533824,3.1924647339074457,0.2312789076360529,0.1346932829167142,5.154774096063564,2.7037421236561343,31.43023864581332,42.63867250383012,5.281298237996221,3.8235007138599433,24.597936628237512,11.580720687262511,995.4783128448302,863.1601379352232,726.915126074416,574.3142778751512
2022-01-26,1.1782397564249258,112.16814008287233,11.955813820362954,11.955813820362954,11.955813820362954,11.955813820362954,3.5420619106742124,3.5420619106742124,3.5420619106742124,3.5420619106742124,3.1785242774175244,2.803380053944143,2.4148813179943724,1.981408728635804,1.972314442464074,3.7083055416915967,0.2865958313976812,0.1931133417832828,5.7082833917335485,2.677704304184647,29.845720691580908,36.34276286852516,4.971404197452203,3.998478310787241,19.667618959531943,11.725713494304657,1125.8529775193888,992.9745710219368,855.3659135266606,701.8272387178298
2022-01-27,2.016944598346781,114.43050932533986,14.213900559747929,14.213900559747929,14.213900559747929,14.213900559747929,3.931379643345341,3.931379643345341,3.931379643345341,3.931379643345341,3.438135652316988,3.098716209385446,2.7452203809693514,2.352287268350549,1.988320121444819,4.232743218708142,0.3802872297342273,0.2772888983147043,6.798008212458752,2.878093282918369,28.379873628105383,33.35053923290578,6.299608978728012,4.286017780728628,16.278522877456005,12.32158870273695,1351.6616514578861,1218.2229826082182,1079.2503522239651,924.7734282093768
2022-01-28,0.8066622051169814,115.35357699519024,15.135220928553313,15.135220928553313,15.135220928553313,15.135220928553313,4.300518576860024,4.300518576860024,4.300518576860024,4.300518576860024,3.3572548578376207,3.0456669421640634,2.719341341926397,2.357953306541357,2.0183058803746987,4.661290934237005,0.4963267861321326,0.3414207230109892,7.153492948602935,2.8099398747031845,23.5622543141659,29.70066347678386,6.29753730519362,3.9343663640400255,14.836908881696546,13.00215249027462,1443.7936883384245,1309.794726370502,1169.4577957777938,1014.0421998149625
2022-01-31,1.1748211373180606,116.7087752003822,16.48785384051981,16.48785384051981,16.48785384051981,16.48785384051981,4.646203919432282,4.646203919432282,4.646203919432282,4.646203919432282,3.3985959439507742,3.1089847082253432,2.804001197723621,2.467479827781017,2.1398834323005183,4.880924751255082,0.6048042047159531,0.3830859997298824,7.379172882503616,2.9594754422504126,21.540791636980927,29.92647722714984,6.124097687738962,5.775877489504143,14.112034222087836,12.2413723484264,1579.0569795350746,1444.497693681162,1302.79613549563,1146.4414446956255
2022-02-01,-0.0611205089277366,116.6374422030164,18.59407873398535,16.41665587141349,16.41665587141349,16.41665587141349,4.886298653899866,4.932355021910661,4.932355021910661,4.932355021910661,3.662648551891613,2.9130456662840047,2.6229884571167728,2.30408560447608,2.4523691803631915,4.910326578820212,0.7134116176657365,0.4604500406752343,7.29775713710682,2.926114015129966,18.134706484322187,24.68143598268316,4.922125798890436,5.323005170020372,13.08285129798534,10.19025097538947,1789.6794688816283,1436.8175421150997,1293.7510288873611,1136.456820214965
2022-02-02,-1.880201846684415,114.4444228607898,14.890503836994256,14.227787757870908,14.227787757870908,14.227787757870908,4.841356391681171,5.112389666015436,5.112389666015436,5.112389666015436,2.931661840928129,2.381215879193955,2.099470255270446,1.7891914732243672,2.7839519613253105,4.744209687788868,0.7685887500997757,0.4663930863424811,5.098227264334136,2.566012940928172,13.964958550015275,19.612306155667035,3.640843848147422,3.377484925533583,12.033657354734164,10.808117005128167,1419.3219791825188,1217.3703453343037,1073.3310037151416,914.7043998235189
2022-02-03,0.2645322472794698,114.74716526446949,13.283797283833351,14.529957091844448,14.529957091844448,14.529957091844448,4.6950808168182645,5.173239347594006,5.173239347594006,5.173239347594006,2.679625666050036,2.409465291794841,2.129137607091192,1.819915073708904,3.011590105833148,4.653087873078975,0.8271199170984285,0.4736059651251131,4.177546949884428,2.678810500504723,13.31673705076014,19.879091400597563,3.5013839955361017,4.56849997820409,12.388010418106608,11.122587475398324,1258.105906092539,1246.4740654175146,1101.4538445446299,941.4856268590345
2022-02-04,0.2515842967322657,115.03585111322032,13.833509114883618,14.818096478941731,14.818096478941731,14.818096478941731,4.590355348269113,5.225300937485641,5.225300937485641,5.225300937485641,2.859324697763394,2.43847136198839,2.1590589335771586,1.8503484247896824,3.1332736501451057,4.549430430753337,0.8886680419585289,0.4810762532185458,4.189010563507057,2.8007344848484528,12.695103387361325,20.097910246125352,2.777084727924317,4.488241529737387,12.774245175932188,11.054357314256382,1312.5316418816162,1274.1746693829823,1128.1732669707476,966.8627358728606
2022-02-07,-0.818816956887003,114.09391805780598,11.525727042956518,13.877946435397275,13.877946435397275,13.877946435397275,4.388960130699345,5.277028212088946,5.277028212088946,5.277028212088946,2.463471814807792,2.234299612308124,1.9557661643099256,1.6475367255558953,3.663848434598688,4.333443648424087,0.9307023509588168,0.4781148226241397,2.9510171534912955,2.7208066020881843,11.089080429076027,18.184120988957066,2.613177530060917,4.606328833811757,12.612807036372033,10.40784180375201,1081.207957829296,1179.0462088409363,1032.0633225312463,869.4097781211102
2022-02-08,0.4798633874294911,114.6414129978492,11.670736134848626,14.424405006697322,14.424405006697322,14.424405006697322,4.161291947509587,5.270459790708332,5.270459790708332,5.270459790708332,2.631786893176413,2.338654571465912,2.057911185663829,1.746748090950329,3.754497628136393,4.148931536441653,0.9939666743388862,0.4767471796041961,2.9169371486784783,2.970833520631813,10.91197364751105,19.310372397993778,4.02224110834153,5.163331187408379,12.670446517750571,10.606185185530324,1095.163360613628,1232.5784883267315,1084.6138156890124,920.616557785025
2022-02-09,-1.8785397826892591,112.48782844724752,8.852556987102183,12.274897037541049,12.274897037541049,12.274897037541049,3.9166205045480544,5.317086436782481,5.317086436782481,5.317086436782481,2.0752582716232166,1.9117876009406376,1.6316590695733588,1.320696150638382,3.532838520202579,3.88247225670332,1.0358951835121055,0.4719612236869593,2.300699296724825,2.6182131515349947,8.375048408727585,14.87888249549897,1.5262352321478552,4.7817549623808535,11.358680091567363,9.399934343739178,812.7999098872446,1016.5139922970383,867.5672308281628,702.2255589670173
