,CHARLES RIVER FUNDO DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-21,-1.1354999970180302,100.48826219429408,1.812268056382949,1.812268056382949,1.812268056382949,1.812268056382949,1.796681344996763,1.796681344996763,1.796681344996763,1.796681344996763,0.6205797228978805,-0.1033206937972127,-0.8527839698523946,-1.6916999111988211,0.9999129979532132,1.21624843835446,0.0863878614329595,0.041409520440823,1.115081025545438,-0.1526286548402327,-17.736068754695523,-73.39968295762263,-0.9295119560453392,-0.2542463928645073,11.668391668980426,8.068630655861245,1.5986846842892057,-0.989330356610394,-153.21810499460793,-303.9445671783602
2022-01-24,-1.8841088638328896,98.59495393917972,-0.1059859105366978,-0.1059859105366978,-0.1059859105366978,-0.1059859105366978,1.7645728502341709,1.7645728502341709,1.7645728502341709,1.7645728502341709,-0.4552206249796742,-1.1986863524964264,-1.966292652779469,-2.8257836282838884,0.8374045669131969,1.0732286111830147,0.0810828079734757,0.0371017829473208,-0.9592376104022718,-1.9708470045630635,-42.791643721127606,-134.39518737376554,-1.0060522023305392,0.2119528466193557,10.284847936441366,5.714525849447435,-0.8709495391817504,-11.698238143857763,-346.9666630709577,-498.63010711059576
2022-01-25,2.178284526325891,100.74263256457502,2.0699899410998963,2.0699899410998963,2.0699899410998963,2.0699899410998963,1.7519435474298997,1.7519435474298997,1.7519435474298997,1.7519435474298997,0.7835331783062238,0.0282681179467295,-0.7494111175553421,-1.6204485914689857,0.7974644229224438,1.2760574833867373,0.0989181014526958,0.0501451744375479,1.721338101705297,0.0388102789094736,-13.27285858191661,-56.61431006290828,-1.2046067525833202,-0.4559138812118494,8.890191255408814,4.558231379020986,1.1590233175875115,0.11747559400833936,-131.29259717733115,-283.8934453765959
2022-01-26,0.5350639644444266,101.28167008826073,2.616129675786783,2.616129675786783,2.616129675786783,2.616129675786783,1.7950790257474691,1.7950790257474691,1.7950790257474691,1.7950790257474691,1.0689477193455097,0.3287106345624508,-0.4378776633425735,-1.2932086688669535,0.7624591372657855,1.3899821544861204,0.1157131650468921,0.0676658912687439,2.5166537284854207,0.4245101735578352,-6.792874509923162,-34.30697082194756,-1.559192500909187,-0.5642544009288599,9.32462282275438,3.427806242133278,1.223095632022112,0.9100074652130365,-78.60250093095651,-232.14117573978726
2022-01-27,1.190964923348692,102.48789925279364,3.8382517859233953,3.8382517859233953,3.8382517859233953,3.8382517859233953,1.911204886157712,1.911204886157712,1.911204886157712,1.911204886157712,1.6434489904789502,0.9452576567495076,0.2181109683395391,-0.5901588573260323,0.7566126719426842,1.5703566245418947,0.1496840237804647,0.0981039348386705,4.151354923371237,1.1504272494693142,2.7848980665197827,-11.497138148287249,-1.2632163363815712,-0.6997235473202665,8.994631073004305,2.7866396762254726,1.7909786374261905,1.9912004529493619,41.68547484151173,-112.7914491730765
2022-01-28,-0.3610507094718662,102.11786596541862,3.4633430411471364,3.4633430411471364,3.4633430411471364,3.4633430411471364,1.985525656023984,1.985525656023984,1.985525656023984,1.985525656023984,1.3931116868653837,0.7182326614477232,0.0114327761532012,-0.771310048102472,0.7330478007734971,1.640550252524459,0.1826461590064015,0.1156092029515981,3.773367839122334,0.869262842820221,0.124284411428355,-13.24683373085552,-1.4271265908593995,-1.097695557298599,6.185965913998877,2.4719186962206967,1.4013781883127936,1.0122654564258629,2.270007037176036,-153.14558892565512
2022-01-31,1.2673090384432983,103.4120149106638,4.77454333898321,4.77454333898321,4.77454333898321,4.77454333898321,2.111358939800628,2.111358939800628,2.111358939800628,2.111358939800628,1.9311066521920484,1.29379537689265,0.6226562564221509,-0.1178842923808344,0.7816243612025018,1.7366284302264507,0.2233739775322595,0.1318052989720279,5.216392293020937,1.5729711593624085,5.885425276226904,-1.8883615190096967,-1.1897302753818133,-0.3440423495479527,6.903495515330333,3.824659447358517,1.9529174083792948,1.9343962147260547,131.46508534197005,-24.88960545803458
2022-02-01,0.136724941194144,103.55340492723806,7.7852182541098545,4.917796271749846,4.917796271749846,4.917796271749846,2.278102527170549,2.230132131443103,2.230132131443103,2.230132131443103,3.1113324024727502,1.2866124751230057,0.645096615095639,-0.0602167896783288,0.9993445508993788,1.7721629568041437,0.2658615711238282,0.1626029640430174,7.092583036112889,1.619103824775673,5.411277316720209,-0.8258852986127923,-1.409721795148141,-0.5276957572475807,6.832016037421736,2.236603647034837,3.1471893555794725,1.9539456118711345,143.8650689209968,-13.429139751399255
2022-02-02,-0.8155450957084809,102.70888021191485,6.449704186588432,4.0621443297301925,4.0621443297301925,4.0621443297301925,2.2294490181880056,2.2849275748196267,2.2849275748196267,2.2849275748196267,2.580198109259601,0.8788287415896934,0.2484396508959428,-0.4457906855038659,1.2381846669238776,1.7268635995209696,0.2878660671435654,0.1661400696166496,4.645849924559774,1.1628365006705548,1.971981674129008,-6.130967877019892,-1.2115886052124605,-0.9206225763748916,5.983927912616945,3.048747711580734,2.4547822639966164,1.1853210111257704,56.76666090107014,-101.85994299055272
2022-02-03,-1.5088545050982003,101.15915264570144,4.625164894084784,2.491997976909252,2.491997976909252,2.491997976909252,2.119686158150312,2.284383523416029,2.284383523416029,2.284383523416029,1.8504752017627104,0.1868256949261069,-0.4480073766065741,-1.1482760313479707,1.4336273408222735,1.6264458850846242,0.2950843835296027,0.1631857542136294,2.736015531712076,0.2624013151336681,-3.4682305354401395,-16.074337242152282,-1.4835618843414842,-0.8814417681498815,4.767639210601384,2.742356688734809,1.563089741941292,0.2284484608492598,-102.34206694888974,-262.3102846344852
2022-02-04,-0.2385842336386612,100.91780285660631,5.110588412621426,2.2474682289950763,2.2474682289950763,2.2474682289950763,1.958241462503172,2.2501247758922127,2.2501247758922127,2.2501247758922127,2.2481373215979685,0.0760484243880726,-0.5728107143427682,-1.2897066519643805,1.521247652113931,1.519840584459171,0.3027434164837789,0.1608398995681467,2.8939375587113547,0.112589731865898,-4.257385991111185,-18.04279223631628,-1.865196192949152,-1.0280010709725205,4.580875476225782,2.9121649256632964,1.6092359886103742,0.08183881957968903,-128.88955802391794,-290.20008912180475
2022-02-07,0.1490421542423847,101.0682129239979,3.927282711843167,2.39986005830189,2.39986005830189,2.39986005830189,1.659826023020733,2.211925000289934,2.211925000289934,2.211925000289934,1.9361277643611607,0.1412234643005676,-0.5232786607281916,-1.2586270309885574,1.7697257390498664,1.4150284564085,0.3092453362326183,0.1569117668915159,1.8158945062894043,0.2207557804927987,-3.742831390389249,-17.74238255700129,-1.5016832130027682,-0.778669106020901,4.663890356195163,2.922739084845828,1.1193510260498183,0.14306927347900736,-115.74531517829216,-278.3988595884284
2022-02-08,0.6736009686946653,101.74900938529636,3.0984454528585488,3.0896265075966127,3.0896265075966127,3.0896265075966127,1.4525772562441748,2.181064485356677,2.181064485356677,2.181064485356677,1.6380147175774322,0.4543682182805997,-0.2240375493210954,-0.975951392332336,1.7141353854267132,1.3434049623953452,0.3264683597187114,0.1554957013335593,1.3880717616443667,0.7376825394478238,-1.4967464002686324,-13.68920750216944,-1.2489051492208385,-0.5924941395101758,4.510238420144355,3.412858759310684,0.8066926432731915,0.44789286319286004,-48.864034221058624,-212.86129212504585
2022-02-09,0.4216233349581655,102.17800695195352,3.077745830375595,3.524276428873834,3.524276428873834,3.524276428873834,1.372449922660725,2.1688427897803875,2.1688427897803875,2.1688427897803875,1.7145892926889508,0.6522000215822007,-0.0345568156155639,-0.796906547187799,1.5729310065942506,1.271326331164124,0.346559601185872,0.1558352970132983,1.4960528670873103,1.1126327518190602,-0.2162638118497511,-11.090972662307378,-1.4913597861838048,-0.2126800735543885,4.499044647134957,3.4018571607963937,0.7724765449521308,0.6493218467652038,-7.49483003855862,-172.8365018997042
2022-02-10,1.0085776852725823,103.2085515293272,3.4642332386697845,4.568399179775364,4.568399179775364,4.568399179775364,1.3513763969353598,2.183456326673662,2.183456326673662,2.183456326673662,2.023285075600446,1.1209309887876509,0.4342712601541633,-0.3291366657438296,1.6180761281144636,1.2440492140356874,0.3877196571582558,0.1622362884333021,1.6897966961691666,1.9673690008559013,2.445613249083008,-4.429684271617751,-1.1499602359631036,-0.4395986237565068,4.099032399536878,3.4947323381411994,0.8828520702705763,1.1259676918791974,94.82123304761515,-71.86555351586392
2022-02-11,0.1671652878542318,103.3810804015814,3.6192323094317898,4.743201245268819,4.743201245268819,4.743201245268819,1.3697402553760891,2.215795032918149,2.215795032918149,2.215795032918149,2.105335522102732,1.178433232767208,0.4973600978935938,-0.2609799100797,1.499212474969091,1.2217723992929292,0.4206105024501808,0.1684383777461023,1.9235184230686195,2.1371955245530225,2.6201153515296296,-3.433172393275475,-1.5990737769281411,-0.8635333851982282,4.195007990493553,3.223577164791801,0.9090454460415615,1.1518779905809147,110.20480344843095,-57.82779884460245
