,ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES - BDR NIVEL I,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.510956773660546,94.81586715373922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0922354328878105,94.72841332822364,-4.59903150604079,-4.59903150604079,-4.59903150604079,-4.59903150604079,2.7569906458582745,2.7569906458582745,2.7569906458582745,2.7569906458582745,-1.9210495179467928,-2.347822450814653,-2.8045684108115423,-3.313991582963036,0.3691640711567153,0.0719960367880358,0.0199101381631326,0.0057513481553734,-14.34677956230875,-89.90667853133424,-388.35335098751887,-1588.60906136345,0.4402134610949221,0.9978634411980004,5.727311833469544,2.715574129703633,-529.6315551209856,-647.2924535032048,-773.2168874277028,-913.6643794682146
2022-01-07,2.2399601869373065,96.85029207249326,-2.4620877938235,-2.4620877938235,-2.4620877938235,-2.4620877938235,2.2213686054492587,2.2213686054492587,2.2213686054492587,2.2213686054492587,-1.4222636581980517,-1.9570134196278983,-2.527458720100644,-3.1639124713881595,0.2079085562042383,0.046805799317524,0.0121137200891351,0.0032125833518071,-15.195968346242411,-92.8784089619576,-463.4759108753186,-2187.714703301819,0.3148043247321623,1.7649675241266731,7.287634461328749,4.317773835119836,-315.93718389925664,-434.72481708043097,-561.4417452400536,-702.8215834331033
2022-01-10,-1.9012135313952072,95.00896121441524,-4.316491778927707,-4.316491778927707,-4.316491778927707,-4.316491778927707,2.070831288075148,2.070831288075148,2.070831288075148,2.070831288075148,-2.421141622192271,-3.00020614226481,-3.6159475387995896,-4.303172064831248,0.2173619311251292,0.1216984264551957,0.0174310853579833,0.0036444035770197,-23.066485461110865,-51.05177553273087,-429.5783736699483,-2445.1582162892046,0.4336943666101797,2.4745568449250586,8.664157312187982,4.17798121539163,-501.37758240967736,-621.2920750077207,-748.8017299384514,-891.1143349823486
2022-01-11,4.6460729113356525,99.42314682473958,0.12903377714715,0.12903377714715,0.12903377714715,0.12903377714715,2.224981354247219,2.224981354247219,2.224981354247219,2.224981354247219,-0.2553955191297202,-0.7994067146193632,-1.3760525100798764,-2.019859220933085,0.3311749329592395,0.1286740280050488,0.01632762044885,-0.0022763927887723,-1.7158613514141057,-13.82303066177676,-187.51606745050543,1974.2414959960429,1.5778615031106251,3.646849688671668,9.74039014383603,5.770086778487731,-56.825026802191644,-177.8665034488111,-306.16911773928086,-449.4149104780429
2022-01-12,4.465104727547642,103.86249445388763,4.5998999979783015,4.5998999979783015,4.5998999979783015,4.5998999979783015,3.2555962103085685,3.2555962103085685,3.2555962103085685,3.2555962103085685,1.1987407837777713,0.8234836036832217,0.4269485362114922,-0.0159178148639208,1.1487945776770312,0.2187194634746553,0.0370314917639128,-0.0172633035559994,3.3971399488154663,12.257391531654886,37.53486479422503,3.001857528558879,2.410248733065958,3.915617403925,8.052057786356874,5.099505644231474,390.2615952809235,268.09300994023397,138.99720364869248,-5.182197774737407
2022-01-13,-0.0374049705481382,103.8236447184266,4.560774436190687,4.560774436190687,4.560774436190687,4.560774436190687,3.663740014927523,3.663740014927523,3.663740014927523,3.663740014927523,1.0545208926616614,0.7179909582458094,0.3634646259802873,-0.0326154196900545,1.4810125526572204,0.2901982402884033,0.0538631636989635,-0.0128950700134882,2.6086817320283866,9.06460425627346,24.72264536218228,9.266674635897074,2.584849310668426,3.5858359052195907,7.469048692866324,4.607484491569646,386.349039102162,263.05322040813286,133.16398942146446,-11.949441822210805
2022-01-14,2.1910422619753955,106.09846465213052,6.851745193536388,6.851745193536388,6.851745193536388,6.851745193536388,4.120904825005868,4.120904825005868,4.120904825005868,4.120904825005868,1.493473256412457,1.1915415642135854,0.8744197330187958,0.5200124158219681,1.97817927724272,0.3913067778154544,0.1034821418873359,-0.0016654852271842,3.111174613529317,12.548286049567317,34.8214719096231,-1286.6650742058505,2.9222787883012264,3.7414877470664503,7.403617429857474,4.697264990059698,615.4461148367321,491.0229381162804,360.34004968774985,214.29216734237065
2022-01-17,-1.2134891532849743,104.81097129177502,5.555110855517123,5.555110855517123,5.555110855517123,5.555110855517123,4.267297612776179,4.267297612776179,4.267297612776179,4.267297612776179,1.1383848166117705,0.8441689666138185,0.5360658282804809,0.1916259316247084,2.5925724337967866,0.4670277653195767,0.1312231579117918,0.0123831283179712,1.8737477676694403,7.713289195013694,17.432536037959657,66.03540394404169,2.3370887648152707,3.411724827821307,7.157542626558106,4.325192006601596,485.78268103480565,360.23202160108815,228.7552429312181,81.77248805681296
2022-01-18,0.3135589075422551,105.13961542834194,5.886088307970704,5.886088307970704,5.886088307970704,5.886088307970704,4.309143497940856,4.309143497940856,4.309143497940856,4.309143497940856,1.2041381924925756,0.9101626799384964,0.603208637153371,0.2599430925098846,3.280166029441244,0.9186304059698202,0.1486906428922772,0.0161934345367625,1.5818724467692626,4.269422793800108,17.481346008937184,69.171989696236,1.6914938872282934,2.724536987213261,7.71393449530424,4.661954306369784,518.8804262801638,392.2021594325397,259.9312576691214,112.01320869236078
