,PLURAL DIVIDENDOS FUNDO DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.4779385985352669,98.6049292236552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.1541435469381458,98.7569223590164,-1.3260731985744614,-1.3260731985744614,-1.3260731985744614,-1.3260731985744614,0.8239281171503928,0.8239281171503928,0.8239281171503928,0.8239281171503928,-2.4557448661194328,-3.883792968047994,-5.412135444816667,-7.116744003707196,0.1064438414902247,0.020759156501275,0.0057408392535179,0.0016583292883498,-19.00868303338473,-154.14721823447795,-776.7523823416869,-3535.89937077621,4.862023113621573,5.524260850810528,48.9803264250253,9.794464100855368,-202.3357243743528,-319.9966227565719,-445.92105668107,-586.3685487215818
2022-01-07,1.0951766007254449,99.83848506428896,-0.2454194412282779,-0.2454194412282779,-0.2454194412282779,-0.2454194412282779,0.7497807497144987,0.7497807497144987,0.7497807497144987,0.7497807497144987,-1.257305534659708,-2.841603787534382,-4.531656889162742,-6.41727262745536,0.0991721353404098,0.0180080740529344,0.0051771309641237,0.0014988271720799,-9.50572943863214,-118.3124753899994,-656.2996229670285,-3210.2083358009177,2.0907758940268284,6.92585683641597,25.34264695614656,13.8083721212571,-94.27034863973445,-213.0579818209088,-339.77490998053133,-481.15474817358114
2022-01-10,-0.1553434503020145,99.68339251686082,-0.4003816485025885,-0.4003816485025885,-0.4003816485025885,-0.4003816485025885,0.6703415848639422,0.6703415848639422,0.6703415848639422,0.6703415848639422,-1.6374721760614712,-3.426328712872956,-5.328488116524023,-7.451474490296167,0.0706566573127935,0.0145181518836878,0.0041316758256154,0.0011686526235234,-15.53520553360377,-158.20268571736892,-864.5177694761112,-4274.181325447008,4.063157967256683,7.554878711470137,24.852466910135124,17.275355256161724,-109.76656936716549,-229.68106196520884,-357.1907168959396,-499.5033219398369
2022-01-11,1.1732548917265273,100.85293279580384,0.7681757459472998,0.7681757459472998,0.7681757459472998,0.7681757459472998,0.8367652870676024,0.8367652870676024,0.8367652870676024,0.8367652870676024,0.0847211301351533,-1.3618192380821108,-2.895135883423592,-4.607035205164806,0.1276834988417998,0.0212205620575842,0.0041052528258087,-0.0016078782991475,0.5552142713920165,-53.699004889491,-590.1096257367382,2397.573956949485,3.755351191726845,7.687108888303598,24.780706738043943,14.24692199654689,7.089170077823326,-113.95230656879612,-242.25492085926587,-385.5007135980279
2022-01-12,1.2054751925019591,102.06868988156792,1.9829111065014648,1.9829111065014648,1.9829111065014648,1.9829111065014648,1.1750046284030504,1.1750046284030504,1.1750046284030504,1.1750046284030504,1.0941463805803855,0.054417834942834,-1.0442655503898324,-2.271319452461556,0.4028464540286525,0.0526372858712654,0.0112063910403964,-0.0065649467499828,3.19135752214157,1.2147512332205692,-109.49259673045545,406.52437420474166,2.5241592788664606,8.60655747415976,25.998611409867983,10.87691905454338,128.56270613323983,6.3941207925503285,-122.70168549899118,-266.88108692242105
2022-01-13,0.3705640707966529,102.44691977380188,2.36082313341466,2.36082313341466,2.36082313341466,2.36082313341466,1.3773219630816549,1.3773219630816549,1.3773219630816549,1.3773219630816549,1.2078069854658742,0.3126218218011343,-0.6304345910658391,-1.6840258001902098,0.543825052434621,0.0826888412472549,0.0184657336391492,-0.0048443969308989,3.058960010757477,5.207243139588633,-47.02284921517957,478.7893630689241,3.811233026440008,8.996627703359955,27.660624416650847,10.328607584261402,166.35390882455937,43.05809013053017,-86.83114085613819,-231.94457209981346
2022-01-14,0.841731086667119,103.30924734487088,3.222426002296946,3.222426002296946,3.222426002296946,3.222426002296946,1.6062470642879405,1.6062470642879405,1.6062470642879405,1.6062470642879405,1.5720756870284405,0.7974552722318576,-0.0161361816237359,-0.9253853599879822,0.7439797435348597,0.1220630567040879,0.0383787960979258,-0.0004021732351886,3.394100416135271,10.493840024247598,-0.6753389109916277,3695.913570973181,4.486181754367236,8.909882222617513,25.20773085367931,10.415476816229006,252.51419571278797,128.09101899233616,-2.591869436194294,-148.63975178157352
2022-01-17,0.0417805035792584,103.3524104686555,3.265552851687428,3.265552851687428,3.265552851687428,3.265552851687428,1.7282002464367243,1.7282002464367243,1.7282002464367243,1.7282002464367243,1.486094456827978,0.7596123278467847,-0.0011604989188311,-0.8516565868430191,1.0390637700582377,0.1534222216841452,0.0537254018203001,0.0067002835130362,2.471714326421385,8.556532409521541,-0.0373300980460195,-219.66729025688807,4.265636172619576,8.493952752934744,21.70697035092838,10.408818051713864,256.8268806518362,131.2762212181187,-0.20055745175135975,-147.1833123261565
2022-01-18,0.5987234123094876,103.97120554731757,3.8838278934613264,3.8838278934613264,3.8838278934613264,3.8838278934613264,1.8572664431135408,1.8572664431135408,1.8572664431135408,1.8572664431135408,1.7157171283137516,1.0336487728695036,0.3214682332713297,-0.4749605695276337,1.4739491559150557,0.4031896054751693,0.0658961390281032,0.0090601317491395,2.161908933903485,4.761435200080447,9.060502951883226,-97.3637417214768,2.121153048836797,6.246476280506105,24.372067360469654,11.03102944444429,318.654384829226,191.97611798160193,59.70521621818365,-88.21283275857698
