,SPX FALCON SELECAO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.32736644703222,96.94450290661077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.3873797136547341,96.56895956884712,-2.7057304152087505,-2.7057304152087505,-2.7057304152087505,-2.7057304152087505,1.5059412919937154,1.5059412919937154,1.5059412919937154,1.5059412919937154,-2.2597258461998653,-3.041037169607751,-3.8772213860441487,-4.809844010758645,0.2171888699216389,0.0423571498164354,0.0117136545658008,0.0033836684119272,-15.66845695916929,-108.11925410578556,-498.46678939057625,-2140.677460686697,1.715880487565833,2.4598027714165265,12.769320800194071,5.0928108510651695,-340.3014460377817,-457.9623444200008,-583.8867783444989,-724.3342703850107
2022-01-07,1.0624231441223264,97.5949305453447,-1.6720535772351472,-1.6720535772351472,-1.6720535772351472,-1.6720535772351472,1.216673121774059,1.216673121774059,1.216673121774059,1.216673121774059,-1.947390453525782,-2.9237219846108724,-3.965225457415908,-5.12724535958076,0.1034408467818823,0.0253655182851381,0.0063162316917412,0.0016145147874126,-22.90524194373865,-140.23817350107777,-763.8071988588249,-3863.812004930539,0.7589608448389574,3.020537534043649,11.394071281090724,6.875107474776871,-236.93376224042137,-355.72139542159573,-482.4383235812183,-623.8181617742681
2022-01-10,-0.3757469190640017,97.2282206006579,-2.041517806497593,-2.041517806497593,-2.041517806497593,-2.041517806497593,1.070706690201876,1.070706690201876,1.070706690201876,1.070706690201876,-2.557938487477157,-3.677894995598294,-4.868787479016787,-6.197933979605711,0.099345163395542,0.0515085350797355,0.0079146923004755,0.0016809213997651,-27.56854745673064,-76.45231555413349,-658.6539474997924,-3947.9355657681217,1.837441832900089,4.8282875117416175,15.136241885187284,8.226178604206984,-273.88018516666597,-393.79467776470926,-521.30433269544,-663.6169377393373
2022-01-11,1.2764356699222157,98.46927628963536,-0.7911407980653296,-0.7911407980653296,-0.7911407980653296,-0.7911407980653296,1.0245147183207797,1.0245147183207797,1.0245147183207797,1.0245147183207797,-1.4528096245156763,-2.6342614326947844,-3.886587163073386,-5.284769055213966,0.119482230086995,0.0509415761804924,0.0071759544130565,0.000332216981728,-12.45729044520406,-52.97911474388352,-554.8900569045376,-16297.55243645505,1.555701037579616,4.9073782791152185,17.301064997933864,9.833737275848524,-148.8424843234396,-269.88396097005904,-398.1865752605288,-541.4323679992908
2022-01-12,1.8682174256079431,100.30889646814836,1.0622963972920667,1.0622963972920667,1.0622963972920667,1.0622963972920667,1.3515067140804276,1.3515067140804276,1.3515067140804276,1.3515067140804276,0.270078090119853,-0.6338655164334719,-1.5890646652544158,-2.6558695869120217,0.405252864765714,0.0821468141646074,0.0142911273416852,-0.0050388014926215,0.9007027065287305,-10.428566341809384,-150.2772673458008,712.3570126129666,1.315050870733487,6.039122275193862,18.55780055471518,8.73245048717354,36.50123521230002,-85.66735012838949,-214.763156419931,-358.9425578433609
2022-01-13,-0.1880516992874836,100.12026388380347,0.8722470315779938,0.8722470315779938,0.8722470315779938,0.8722470315779938,1.450715869310464,1.450715869310464,1.450715869310464,1.450715869310464,0.1206045857153878,-0.7292918089013789,-1.6246375739436103,-2.6249260130067933,0.5075190974124626,0.1045518990099734,0.0193870479718285,-0.003708971749899,0.3447416802657462,-10.11933030915527,-121.5702108863022,1026.7055344755588,1.8217589422655145,6.237179497070809,19.59099483160469,8.378091702808078,17.496298640892725,-105.79952005313646,-235.68875103980483,-380.8021822834801
2022-01-14,1.1799011736380205,101.30158405241797,2.0624398581786365,2.0624398581786365,2.0624398581786365,2.0624398581786365,1.6634419678178252,1.6634419678178252,1.6634419678178252,1.6634419678178252,0.8206813579438784,0.0726950793262029,-0.712922278879361,-1.5909083172920575,0.7008397172563449,0.1430751409234663,0.0384462392094791,0.0004784923886001,1.9478859137063425,0.8451785895478283,-30.84579565815796,-5530.670340810291,2.492019879818973,6.806590391638696,18.954191263926017,8.754770106534092,136.515581300957,12.0924045805052,-118.59048384802526,-264.6383661934045
2022-01-17,-0.4758549391888023,100.81953546122804,1.5767706970568969,1.5767706970568969,1.5767706970568969,1.5767706970568969,1.7172738196762791,1.7172738196762791,1.7172738196762791,1.7172738196762791,0.5121411866941645,-0.2189632999356079,-0.9845766643474324,-1.8404841683825928,0.9331870667304828,0.1715128153932112,0.0492377514938201,0.0057594522759381,0.9424548230926544,-2.192372281845405,-34.3392555072353,-548.7701132790957,1.82574255318388,6.676025600053274,15.316272012528444,8.474563164055493,87.94866518878304,-37.601994244934424,-169.0787729148045,-316.0615277892096
2022-01-18,-0.4955182845142958,100.31995622865529,1.0734392254338234,1.0734392254338234,1.0734392254338234,1.0734392254338234,1.6949575046718866,1.6949575046718866,1.6949575046718866,1.6949575046718866,0.2219260242383326,-0.525457119577693,-1.3058359868875469,-2.1785307215286664,1.0973764365343277,0.2956484757948376,0.0526507590459656,0.0064983957018307,0.3427767972243954,-3.012454185048889,-42.03807401738238,-568.2197830109104,-0.3001462993564159,3.149708702294772,14.229598703451426,9.170456913576931,2.3997736943859436,-89.06274882114838,-221.33365058456667,-369.2516995613273
