,ITAU ACOES PETROBRAS I - FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.111740267280584,97.09258905956618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.1099188860282485,96.98586596725592,-4.217139574210678,-4.217139574210678,-4.217139574210678,-4.217139574210678,2.510802015281299,2.510802015281299,2.510802015281299,2.510802015281299,-1.9573122808845425,-2.4259310635129965,-2.927461782216,-3.486834807989109,0.3385096213859038,0.0660176681821715,0.0182568507011668,0.0052737707665692,-14.51782551780784,-92.26367381522964,-402.6037711957166,-1660.0554423694366,0.6063116991949196,1.1965934595657537,6.522100676561352,3.0441096591035697,-491.4423619379744,-609.1032603201936,-735.0276942446916,-875.4751862852036
2022-01-07,0.8048459919110629,97.7664528222136,-3.4462350611359627,-3.4462350611359627,-3.4462350611359627,-3.4462350611359627,2.06307200262176,2.06307200262176,2.06307200262176,2.06307200262176,-2.008421955724002,-2.58420231157304,-3.198417074793084,-3.883705024090944,0.090273094158807,0.0313728549278281,0.0067978862164264,0.00148079704164,-45.89982369515125,-169.9365725682734,-970.6789007100824,-5410.844887135721,-0.0271547879185842,1.332045575475247,6.132477689547751,3.8588901840162175,-83.57395273724545,-533.1395438116773,-659.8564719712998,-801.2363101643496
2022-01-10,-0.3683847596057443,97.40629611000944,-3.8019244159962766,-3.8019244159962766,-3.8019244159962766,-3.8019244159962766,1.837118382883106,1.837118382883106,1.837118382883106,1.837118382883106,-2.449057449473916,-3.1017888886414555,-3.7958631307739727,-4.57051438008844,0.1156317127345037,0.0874107421683735,0.0111742484215121,0.0019990383910892,-38.90981422627333,-65.19053889474382,-624.0643373408586,-4200.307520015702,0.6051668034462315,2.587898221883717,8.33029318208215,4.551794802069914,-104.78692147127792,-569.8353387145777,-697.3449936453085,-839.6575986892057
2022-01-11,4.118568536875578,101.41804117453216,0.1600592580863073,0.1600592580863073,0.1600592580863073,0.1600592580863073,2.0671299443784674,2.0671299443784674,2.0671299443784674,2.0671299443784674,-0.259889219129032,-0.8454425220347837,-1.4661224877011272,-2.159091950643296,0.2379093938383908,0.0972879728667533,0.0108285993393158,-0.0037920518953248,-2.258106661596095,-17.96357249567262,-279.8760579727149,1176.9679706503575,1.5044156384249008,3.507985591742949,9.24655516884253,5.876148063199539,-13.988850041712638,-174.76395535489536,-303.0665696453651,-446.31236238412714
2022-01-12,3.2986845443877977,104.7635024239773,3.464023652482452,3.464023652482452,3.464023652482452,3.464023652482452,2.8627167065048003,2.8627167065048003,2.8627167065048003,2.8627167065048003,0.9664734205192812,0.5397159105529885,0.0887603339910327,-0.4148850357929162,0.9145593496223542,0.1720937376084685,0.0281561506010707,-0.0159505691279973,3.0252160326783013,8.977977789184006,9.024518109425545,74.4611877928864,2.0069546015830797,3.895815631404533,8.453743996930974,5.325769658273524,78.91960129464717,154.50537539064905,25.409569099107543,-118.76983232432234
2022-01-13,2.406483363146239,107.28461868045962,5.953868168521127,5.953868168521127,5.953868168521127,5.953868168521127,3.637845232021178,3.637845232021178,3.637845232021178,3.637845232021178,1.44497189629794,1.1060464862536914,0.7489965770289875,0.3500971682076544,1.3864682881151844,0.2664407417108923,0.0516883211329961,-0.0111496615405189,3.7913482539857095,15.101391441019544,52.71468615771514,-114.22762112374036,2.828762759488671,3.820159255827224,7.540379734106773,4.892661772693804,161.95471979866554,402.36259364117683,272.4733626545085,127.35993141083321
2022-01-14,2.084110837315256,109.52054904515144,8.162064217576011,8.162064217576011,8.162064217576011,8.162064217576011,4.319125768469142,4.319125768469142,4.319125768469142,4.319125768469142,1.7283081282101074,1.440233218169801,1.137665301804519,0.7995230707734834,1.992196856318927,0.3838347813393267,0.1109613835458265,0.0017436206662343,3.747009312222267,16.20631768568985,44.28314936148737,1980.4999816395264,2.891772924300869,3.690486509162212,7.040147717029428,4.699456277846603,245.86855362359512,622.0548405202427,491.3719520917122,345.32406974633295
2022-01-17,-0.3299922560738078,109.15913971449292,7.805137781648431,7.805137781648431,7.805137781648431,7.805137781648431,4.649307022095055,4.649307022095055,4.649307022095055,4.649307022095055,1.5287985290497006,1.258756867277185,0.9759689635206712,0.6598299041385005,2.806934349096633,0.4751214427476652,0.1532233855175516,0.0211559790796808,2.532247944725502,12.317581602500614,29.614143690381475,145.00637361878708,2.544584416353552,3.423208040298163,6.817691965070059,4.38252406302451,248.31371487093043,585.2347142142189,453.75793554434887,306.7751806699437
2022-01-18,0.335827875914596,109.52572653476274,8.167177485987335,8.167177485987335,8.167177485987335,8.167177485987335,4.829003500514702,4.829003500514702,4.829003500514702,4.829003500514702,1.5468809330997764,1.284552966607058,1.010643656437123,0.7043319112478832,3.796928788344616,1.073770308887653,0.1794855598822036,0.0261127309854089,1.9673514719971847,5.77694384078099,27.1910551350808,130.25145730030115,2.0437991384830974,2.8250821467057583,7.019787469411745,4.54677048891948,275.0776950510774,620.3110772342027,488.04017547078445,340.1221264940238
