,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.089318345418569,97.11585159853196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.1034266079949941,97.01540796739816,-4.188515510158762,-4.188515510158762,-4.188515510158762,-4.188515510158762,2.4946064589547987,2.4946064589547987,2.4946064589547987,2.4946064589547987,-1.95854521974376,-2.430206382809605,-2.9349931537749083,-3.4979977573120817,0.3362119689335177,0.0655695696714747,0.0181329313348142,0.0052379747608737,-14.53190251027007,-92.45765329137735,-403.7765733076948,-1665.935442068566,0.6199680864048097,1.212816346208682,6.588859452974532,3.0708529170996406,-488.57995553278283,-606.240853915002,-732.1652878395,-872.6127798800119
2022-01-07,0.80974565670906,97.80098601975271,-3.4126861758738274,-3.4126861758738274,-3.4126861758738274,-3.4126861758738274,2.048594228595015,2.048594228595015,2.048594228595015,2.048594228595015,-2.006239285298402,-2.5860887817144995,-3.2046443081865656,-3.89477530738406,0.0905181050052992,0.0312585814594981,0.0067885767314284,0.0014832657102771,-45.40495208999663,-169.48454809822653,-967.0680754122526,-5379.22110724907,-0.0166399310503449,1.3531015501643056,6.193163706374838,3.8967701161052872,-136.04841399593784,-529.7846552854637,-656.5015834450862,-797.8814216381361
2022-01-10,-0.3616055967399001,97.4473321806385,-3.761951308402582,-3.761951308402582,-3.761951308402582,-3.761951308402582,1.8227900481578545,1.8227900481578545,1.8227900481578545,1.8227900481578545,-2.4463790320109737,-3.104241371775398,-3.803771496265568,-4.584512016479189,0.1151386777457976,0.0865099803398225,0.0110920023655806,0.0019899766466662,-38.72925624017255,-65.4072542535003,-625.0879327590608,-4199.347210078142,0.6241862619447884,2.6214045585516645,8.416680732951107,4.6021182418258055,-170.44511978756947,-565.8380279552082,-693.347682885939,-835.6602879298363
2022-01-11,4.116437842191134,101.458691038728,0.1996281465246701,0.1996281465246701,0.1996281465246701,0.1996281465246701,2.061308577066757,2.061308577066757,2.061308577066757,2.061308577066757,-0.2414271711577317,-0.8286341424636073,-1.4510669781773384,-2.145993464839519,0.2384514599075397,0.0965831898402801,0.0107636556630627,-0.0038427207894449,-2.0870322993089,-17.684968449843417,-277.888563295437,1151.1517432006588,1.5293445235687644,3.5387915207130085,9.297797177855903,5.907510702969991,-21.26710322258282,-170.80706651105908,-299.10968080152884,-442.35547354029086
2022-01-12,3.2998610372726,104.80668685324176,3.5060766352238466,3.5060766352238466,3.5060766352238466,3.5060766352238466,2.862871374439168,2.862871374439168,2.862871374439168,2.862871374439168,0.9811102989581634,0.5543758447613795,0.1034446312805391,-0.4001735288321359,0.91744358420229,0.1716960240028428,0.028159610444079,-0.0160387976325702,3.061542571576217,9.24370116236126,10.51678872904081,71.42962750370711,2.033428463976544,3.9136851180571735,8.473913276980756,5.337557744099557,131.4890164046999,158.7106736647885,29.614867373246987,-114.5645340501829
2022-01-13,2.4097469200148103,107.33226276165732,6.000311128969323,6.000311128969323,6.000311128969323,6.000311128969323,3.641082032150833,3.641082032150833,3.641082032150833,3.641082032150833,1.4564426280359557,1.117818511343927,0.7610860075449364,0.362541206954561,1.3906772040849915,0.2663334790265818,0.0517665834351949,-0.0112186409915955,3.813269584216296,15.281852329401463,53.53215149812693,-117.66507864414636,2.8474904983241824,3.8303969204269257,7.547329201891132,4.899431933961874,268.1433593007518,407.0068896859965,277.1176586993281,132.00422745565285
2022-01-14,2.0870151840936213,109.5723033829244,8.212553717417425,8.212553717417425,8.212553717417425,8.212553717417425,4.324231134520652,4.324231134520652,4.324231134520652,4.324231134520652,1.737943564638211,1.4502087677464066,1.1479980755720696,0.8102550692386007,1.9979396217990733,0.3840103073881998,0.1111960974731462,0.0017115774860947,3.761509902627151,16.330389534842322,44.64373420980345,2047.076586231098,2.904756089493973,3.697224214176441,7.0430170581897125,4.703851417193671,406.240991348824,627.103790504384,496.4209020758536,350.3730197304743
2022-01-17,-0.3235318318900781,109.21780210254546,7.862451660040421,7.862451660040421,7.862451660040421,7.862451660040421,4.656062934766059,4.656062934766059,4.656062934766059,4.656062934766059,1.5388897691588792,1.269239935828124,0.9868623552156404,0.6711820112561353,2.815565382705654,0.4755173684848155,0.153628243092986,0.0211995673644715,2.5448414939616475,12.427855241890896,29.90916996332728,147.41176701222432,2.557437359442212,3.42948410547346,6.819447257977521,4.387007777378355,410.810740714744,590.9661020534179,459.48932338354786,312.5065685091427
2022-01-18,0.3422201079550824,109.59156738280696,8.231578658554405,8.231578658554405,8.231578658554405,8.231578658554405,4.837341940017373,4.837341940017373,4.837341940017373,4.837341940017373,1.5575278131688743,1.2956520383768009,1.0222148834194582,0.7164311476179958,3.810206920871504,1.0765740324545934,0.1800283007900102,0.0261834120252824,1.9773977555166555,5.821719413591227,27.466808860472803,132.35946614447892,2.0595470555452104,2.8338582616529115,7.01875853130576,4.550279984913976,455.34102323862083,626.7511944909097,494.4802927274915,346.56224375073083
2022-01-19,-0.9290348851846096,108.57342349060008,7.226069536030407,7.226069536030407,7.226069536030407,7.226069536030407,4.888456126667953,4.888456126667953,4.888456126667953,4.888456126667953,1.335551618279831,1.074107113789463,0.8019040821696691,0.4974035181033092,3.631143939668864,1.5814892092020287,0.205253970307064,0.0535896940443366,1.797996884545624,3.3201146555726995,19.098646021891096,45.37318823814562,1.578023658679712,2.451894951610801,6.77106105504773,3.830107499746712,413.83090715393706,525.0725501101734,392.0072923482361,243.15352754983158
2022-01-20,0.6349117453040343,109.2627689086206,7.906860445542549,7.906860445542549,7.906860445542549,7.906860445542549,4.880609614061977,4.880609614061977,4.880609614061977,4.880609614061977,1.4771876815554563,1.2130119616595934,0.938743258970368,0.6318350767346995,3.284746321685756,2.477805852783572,0.2359187775347837,0.0784635652407744,2.1948655068965794,2.3893065856621427,19.420409951010093,39.30155787020578,1.4450475762874482,1.7145761630924266,7.026563528928194,4.105055193549986,477.30342659488485,592.023784204799,458.16393748666496,308.37403500129614
2022-01-21,0.3409198671598279,109.635267395239,8.274736370829812,8.274736370829812,8.274736370829812,8.274736370829812,4.879200124569335,4.879200124569335,4.879200124569335,4.879200124569335,1.5530111764640055,1.286447325606124,1.0104703924059597,0.7015540570731141,3.010505082026283,3.086715395799589,0.2639994126833427,0.0985603124524591,2.517003665232341,2.033499414909072,18.675372094158696,34.7302332702564,1.568569640802114,1.5110783833597323,7.215042270933181,4.285983572142629,522.1425304337292,627.6833951349288,493.02872645007835,342.30226426632606
2022-01-24,0.1671754018915283,109.81855059412186,8.455745096504758,8.455745096504758,8.455745096504758,8.455745096504758,4.870400988354311,4.870400988354311,4.870400988354311,4.870400988354311,1.5929819885235454,1.323620299210374,1.0455123486767497,0.7341140790018651,2.7961117384851795,3.174771220157762,0.2698591594686444,0.1108704203576627,2.7747321198039505,2.030559421903696,18.86934053436692,32.24872715735479,2.27427295054969,2.492662714393606,7.856648735033774,4.510159787407424,554.7965897062414,644.6561613480035,509.20643763318793,357.54299359354985
2022-01-25,3.3095191006830893,113.45301650212764,12.045108696261742,12.045108696261742,12.045108696261742,12.045108696261742,4.949506129172919,4.949506129172919,4.949506129172919,4.949506129172919,2.292718577356109,2.0253824604661643,1.750112548064673,1.441797245049249,2.77438653129399,4.114736025004406,0.3433755270045442,0.1666498376723931,4.090210402585823,2.4362784978377494,25.22658751761857,42.82142965794232,2.599548916696692,2.392849125685856,8.094250648910382,4.812363722117454,839.9480508826064,1002.4642901996607,866.2192783388533,713.6184301395887
2022-01-26,2.924492319970562,116.7709412565073,15.321859294986586,15.321859294986586,15.321859294986586,15.321859294986586,5.238885300522509,5.238885300522509,5.238885300522509,5.238885300522509,2.791543317117272,2.537904615609149,2.275236796786028,1.9821617130587368,2.819889703116564,4.8977861041268325,0.4212126053684557,0.2498957302968694,5.18622243758482,2.7146532948100943,28.298546762301854,41.55460299167833,3.1050784120959,3.094579492481749,8.331388171797157,5.270919336529643,1117.9887503811342,1329.5791184843001,1191.9704609890239,1038.431786180193
2022-01-27,0.373406574661117,117.20697162845276,15.752478699615503,15.752478699615503,15.752478699615503,15.752478699615503,5.551492282052378,5.551492282052378,5.551492282052378,5.551492282052378,2.711918505789682,2.4715531011919545,2.2212192750358004,1.9429572939933293,2.700803809763965,5.3650636354353125,0.5280094756312446,0.3435570292793816,5.574338498790172,2.5574362017490726,23.35390221428356,31.39598815540427,3.053654556381056,2.7558515497092566,7.697326737802376,5.0268692703506135,1186.328643667097,1372.0807965949757,1233.1081662107224,1078.6312421961343
2022-01-28,-2.977920982390192,113.71664062750494,12.305461348782911,12.305461348782911,12.305461348782911,12.305461348782911,5.747155272985842,5.747155272985842,5.747155272985842,5.747155272985842,2.0198127164194406,1.7866556924605144,1.5424706584274972,1.2720488782933277,2.4778661111622604,5.25985535179335,0.6017570103843829,0.3771747589731681,4.684747594440826,1.9521806204107253,14.731558128994584,19.38269262312778,1.7414881157069142,1.2137138173669129,6.185523553370168,4.252572003606895,941.2271936801029,1026.8187683934616,886.4818378007534,731.0662418379223
2022-01-31,-1.7275318298085374,111.7521494648758,10.365348757369352,10.365348757369352,10.365348757369352,10.365348757369352,5.774491727406061,5.774491727406061,5.774491727406061,5.774491727406061,1.674271116592844,1.4412475151989992,1.1958552540706155,0.9250873697598,2.3197678605321195,4.92556480666422,0.6393472017199751,0.383690646269697,4.167686291671693,1.6896482292550437,10.800792203717712,13.92243833864784,0.7528087209124152,1.1716934350670962,5.780951694881646,4.444757678622507,805.3979685840171,832.2471853661161,690.5456271805842,534.1909363805796
2022-02-01,2.936457766383316,115.03370413693744,18.449977262698827,13.606180612351164,13.606180612351164,13.606180612351164,5.673909399523278,5.669049140047886,5.669049140047886,5.669049140047886,3.128829166539272,2.0387369868505045,1.7863727725115013,1.5089114120847205,2.6101594200677125,4.763065389175061,0.7195642181195714,0.4377681668594141,6.801382735874892,2.4265256127609884,14.073844661531592,19.54023519904408,2.410786462737243,1.851770741204812,6.920329734773167,4.293855111787376,1517.306878766974,1155.7700162088672,1012.7035029811285,855.4092943087326
2022-02-02,-1.7896771112534848,112.97497226377162,16.450545981043174,11.57299680096262,11.57299680096262,11.57299680096262,5.405342633353564,5.726661942178544,5.726661942178544,5.726661942178544,2.9143873024198137,1.6622096070182124,1.4106855200832562,1.1336888936134948,3.01651147463946,4.463597294319089,0.7501122808987363,0.4333167193424963,5.222344442683405,2.132565253713561,10.769746457908898,14.982696839342085,2.437095876610353,0.9504930066966052,6.331564066830405,4.733674896528012,1379.6671453747042,951.8912496434751,807.8519080243129,649.2253041326901
2022-02-03,-1.0675129810348571,111.76894976953533,14.282027531871227,10.381940576782736,10.381940576782736,10.381940576782736,4.9127044156930575,5.704503946464113,5.704503946464113,5.704503946464113,2.764116901799713,1.457922409584532,1.2037018459143567,0.9232774318252924,3.3083310412899447,4.225228960191,0.7730652138903914,0.4273082649069417,4.104573919443259,1.968348749256296,8.882202700376778,12.325621070483232,2.156598968714815,1.067470165503103,6.011375601007134,4.704674689420634,1189.2711105406397,831.6724139113433,686.6521930384586,526.6839753528632
2022-02-04,1.7735113501803124,113.75118477967536,16.730937865814884,12.339576821461256,12.339576821461256,12.339576821461256,4.258331114082819,5.580250699968816,5.580250699968816,5.580250699968816,3.762681844246038,1.8392053669572053,1.5775658631746052,1.2884918774864922,3.3780373286005747,4.076712557669644,0.8182157238640282,0.430290563761794,4.743211400918769,2.517525307748476,10.759036713024503,16.709889332429164,2.7000490619718795,1.4692567225408784,6.945803186070565,5.599049798461238,1403.2684265263665,1026.3227036349347,880.3213012227,719.0107701248131
2022-02-07,-1.2007177763311505,112.38535408323852,10.769568316567064,10.990695552710807,10.990695552710807,10.990695552710807,3.404003514326225,5.57955170436031,5.57955170436031,5.57955170436031,2.9541452614786543,1.5956857606974433,1.3322544061769253,1.0407371785777515,3.68631214885584,3.829879665769992,0.8435126224150366,0.4228856262154654,2.727908122220379,2.3246712645560152,8.812413881067593,13.731483262961447,1.3023976681379648,1.3804419764688889,6.748130110384084,5.2612740591985565,1005.5920851903504,890.3211205722897,743.3382342625996,580.6846898524633
2022-02-08,-1.442411291899892,110.7642950455002,5.684377944892716,9.389753227100265,9.389753227100265,9.389753227100265,2.813658084246088,5.563293765122498,5.563293765122498,5.563293765122498,1.7647046185111728,1.310578483088555,1.0446125303909963,0.7498280648786378,3.238754245662587,3.5677353049111264,0.8692900969547809,0.4134565883373012,1.5330818702376012,2.0436306173369223,6.685324493688981,10.089363468674586,-0.2110616426427071,0.9770908923666004,5.901585768351481,5.03762797400046,44.43130582367273,729.1133103670259,581.1486377293065,417.15137982531934
