,MB FUNDO DE INVESTIMENTO EM ACOES INSTITUICOES FINANCEIRAS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,1.136873798905591,102.43155820648856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.9009309473447358,103.35439581421824,2.048047194136901,2.048047194136901,2.048047194136901,2.048047194136901,1.0055011000153138,1.0055011000153138,1.0055011000153138,1.0055011000153138,1.3433731190818812,0.1732013671024235,-1.079153641982899,-2.475944675213722,-0.164396664627233,-0.0320613766048434,-0.0088664107967779,-0.0025611984689918,-8.216487554845896,-5.431899175512452,122.38212270670616,972.0313066891916,5.718426118392288,8.838556447875023,11.024614702009114,16.026247244952728,135.07631489678346,17.415416514564306,-108.50901740993372,-248.9565094504456
2022-01-07,0.5897139242847738,103.9638910776951,2.649838737901438,2.649838737901438,2.649838737901438,2.649838737901438,1.12454384097214,1.12454384097214,1.12454384097214,1.12454384097214,1.7363082003494297,0.6799898172574426,-0.4468397783773433,-1.704059221870364,0.0385929887254116,-0.005753302191791,0.000238331514412,0.000484061665592,50.593508230854106,-132.91121088888676,-2108.369604058946,-3958.7710385256446,5.0943368077554405,11.5449245046947,14.640297670284514,19.602162565421413,195.25546927323717,76.4678360920628,-50.249092067559744,-191.6289302606095
2022-01-10,-0.8556633737101804,103.0743101398593,1.771501664648646,1.771501664648646,1.771501664648646,1.771501664648646,0.9918597630576912,0.9918597630576912,0.9918597630576912,0.9918597630576912,1.0830337709919764,-0.1259525904304555,-1.4115139135115111,-2.8463196223869063,0.011113657038344,-0.02435922128328,-0.0016402722262368,0.00010797802987,96.65743830076332,5.128542700443519,853.5314037598328,-26145.5956331678,7.257000554167803,9.662414769263048,16.8576545702209,23.364446855197052,107.42176194795793,-12.492730650085404,-140.0023855808162,-282.3149906247134
2022-01-11,1.3352226929644218,104.45058171946324,3.1303778498457064,3.1303778498457064,3.1303778498457064,3.1303778498457064,1.082668975845574,1.082668975845574,1.082668975845574,1.082668975845574,2.2473109130852964,1.1293193630634168,-0.055739201954245,-1.3788194410170278,0.1070396449936047,-0.0102180599375684,-0.0007179758090369,-0.0040260860817581,22.73077236777093,-119.65862851470096,84.05172421505719,370.783187882063,7.45912843541208,9.993761398540116,17.88942852383995,15.879303448010283,243.309380467664,122.26790382104456,-6.0347104694252085,-149.28050320818724
2022-01-12,-0.8501547349551997,103.56259015328696,2.25361005937804,2.25361005937804,2.25361005937804,2.25361005937804,1.011469472483273,1.011469472483273,1.011469472483273,1.011469472483273,1.5386781870816284,0.330845537019025,-0.9454738161948352,-2.370918729222739,0.1869476178802419,-2.8922000584060542e-05,0.0015730358492858,-0.0051001471587339,8.3249309718723,-11570.436140109368,-607.9441244441634,470.20445522653534,1.9994552082322707,8.789526530688896,16.287588809465742,15.563685790154668,155.63260142089734,33.464016080207834,-95.63179021133368,-239.81119163476356
2022-01-13,0.3240272311819003,103.89816114670091,2.584939600836977,2.584939600836977,2.584939600836977,2.584939600836977,0.9666537683574716,0.9666537683574716,0.9666537683574716,0.9666537683574716,1.9527731825588344,0.6772821770922941,-0.6664174518593918,-2.167610909060211,0.2406125208430894,0.0123796862823427,0.0047352220793151,-0.0040937326174805,7.845209173045932,52.88481095530034,-136.0432373284256,511.83832686791214,2.6537247509012434,9.622972844538683,16.372626335276127,16.24751457873041,188.76555556679105,65.46973687276186,-64.41949411390651,-209.53292535758177
2022-01-14,0.3313470740542668,104.24242466365668,2.92485179662467,2.92485179662467,2.92485179662467,2.92485179662467,0.9552683568694212,0.9552683568694212,0.9552683568694212,0.9552683568694212,2.3318764150795555,1.029381929360297,-0.3386408622330598,-1.867508444783405,0.3185205213515265,0.0274337528419394,0.0127653690335252,-0.0021403766949109,6.993482686778631,35.84401995296134,-25.341445216714224,833.484931755097,2.578680799045808,10.705758263317396,12.059314695418925,17.252601036117404,222.75677514556037,98.33359842510856,-32.349290003421906,-178.39717234880115
2022-01-17,-2.105565762212025,102.04753186023908,0.7577013563874895,0.7577013563874895,0.7577013563874895,0.7577013563874895,1.0061474642940915,1.0061474642940915,1.0061474642940915,1.0061474642940915,0.0600481672543015,-1.1877874024730766,-2.494522084372947,-3.955369128076701,0.2277553002772084,0.020840521478829,0.0031428167339337,-0.0051335832256054,0.2652729097627458,-57.34449996046366,-798.601153773289,775.2254991623677,0.7389096599445961,7.199498676263625,6.808485885398308,9.551959205311658,6.0417311218422975,-119.50892831187517,-250.98570698174524,-397.9684618561504
2022-01-18,1.7162803605307309,103.7989536079627,2.486985996489376,2.486985996489376,2.486985996489376,2.486985996489376,0.9528233537642028,0.9528233537642028,0.9528233537642028,0.9528233537642028,1.878314531492068,0.5488103128226608,-0.8393893071895039,-2.391807689803646,0.3287344175047815,0.0760322715464773,0.0065644436550669,-0.0039926252188902,5.444218359929648,6.877596475917687,-121.83663640296152,570.7949280526732,0.3851957655965256,4.054797132131099,7.738023348284007,12.0345934888802,178.97019513203097,52.29192828440689,-79.97897347901137,-227.897022455772
