,BRADESCO H FUNDO DE INVESTIMENTO ACOES PETROBRAS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.09794688540085,97.10943371467636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.1039364591634672,97.00850160775964,-4.197624083673217,-4.197624083673217,-4.197624083673217,-4.197624083673217,2.500192300124465,2.500192300124465,2.500192300124465,2.500192300124465,-1.9578126564899043,-2.4284200508745752,-2.9320790450976566,-3.493825803671068,0.3369431137575115,0.0657121608220184,0.018172364192994,0.0052493655455229,-14.527402190403604,-92.3956393567577,-403.4016363559172,-1664.055645689357,0.615602452786693,1.2076321722144698,6.567494378160357,3.0623081048081766,-489.4908128842283,-607.1517112664475,-733.0761451909456,-873.5236372314574
2022-01-07,0.808876282707871,97.79318036947508,-3.4227013866154223,-3.4227013866154223,-3.4227013866154223,-3.4227013866154223,2.053430516160561,2.053430516160561,2.053430516160561,2.053430516160561,-2.006391450482535,-2.584875271806471,-3.2019739618393523,-3.890479548370701,0.0904959161515945,0.0313013612216658,0.0067939342019879,0.0014832942681183,-45.52675531659222,-169.5728733970298,-967.7796177756048,-5385.869546477481,-0.0197909307837628,1.3467132949302816,6.174720914282651,3.8851639103750304,-114.4697963910617,-530.7861763596233,-657.5031045192458,-798.8829427122955
2022-01-10,-0.361959732184447,97.43920843571507,-3.772272318027406,-3.772272318027406,-3.772272318027406,-3.772272318027406,1.8272479215046056,1.8272479215046056,1.8272479215046056,1.8272479215046056,-2.4460590763819936,-3.10231645222458,-3.800139957344432,-4.578975732003369,0.1152741936363617,0.0867276136364965,0.0111132299870531,0.0019924890642515,-38.77326071172457,-65.36212691076994,-624.8226525118017,-4199.232025429616,0.6191271039377773,2.6118303170796087,8.391548501119834,4.587980676338368,-143.39335184211382,-566.8701289176906,-694.3797838484213,-836.6923888923185
2022-01-11,4.116447720261052,101.45024251000748,0.1888917843961715,0.1888917843961715,0.1888917843961715,0.1888917843961715,2.063486569643484,2.063486569643484,2.063486569643484,2.063486569643484,-0.2463753669405911,-0.832962546267531,-1.454738409401145,-2.148931407049349,0.2383242026312002,0.096751977354021,0.0107804542710882,-0.0038297022792106,-2.133196104969739,-17.76508423130079,-278.45145433196814,1157.868360055766,1.5223517141938456,3.5295470655423005,9.282050579883142,5.898236827345094,-18.23553609801125,-171.88070272390894,-300.1833170143787,-443.42910975314066
2022-01-12,3.297443049572246,104.79550648042792,3.492563432984205,3.492563432984205,3.492563432984205,3.492563432984205,2.8628315516753307,2.8628315516753307,2.8628315516753307,2.8628315516753307,0.9764037238514224,0.5496633336625676,0.098725847606168,-0.4048993179717927,0.9164476350386168,0.1717556119213117,0.0281517277133795,-0.0160112294844933,3.050124503510069,9.161817286815474,10.03972027473475,72.39659789175484,2.025272240965805,3.908245407294863,8.468337738868401,5.334293096057628,109.8336584753479,157.35935344082435,28.26354714928283,-115.91585427414705
2022-01-13,2.406769897646255,107.31769318448478,5.983391295991719,5.983391295991719,5.983391295991719,5.983391295991719,3.639516850896989,3.639516850896989,3.639516850896989,3.639516850896989,1.45242005117241,1.1136503085247234,0.7567643912232108,0.3580481956712906,1.389048033177456,0.2662629315170767,0.051725059245955,-0.0111982218859772,3.80556116459893,15.222355739827846,53.248015452608016,-116.36869271279036,2.8417918664476853,3.827531744241071,7.546690840922622,4.897873955345251,224.34665209155526,405.3149063882361,275.42567540156773,130.31224415789245
2022-01-14,2.084684621529509,109.55492863048195,8.192810755714698,8.192810755714698,8.192810755714698,8.192810755714698,4.321574659195135,4.321574659195135,4.321574659195135,4.321574659195135,1.7344434151096266,1.4465317474129618,1.144135286089604,0.8061846688657893,1.9955141425163407,0.383794347144085,0.11107604376065,0.0017147057497072,3.75618821778621,16.288137097012108,44.51424350069843,2031.8280475801373,2.900949439264463,3.695600817220466,7.044117288647781,4.703208408078072,340.08051702457476,625.1294943341113,494.44660590558084,348.3987235602016
2022-01-17,-0.3233360750283021,109.2006980242481,7.842984367954374,7.842984367954374,7.842984367954374,7.842984367954374,4.652853952992069,4.652853952992069,4.652853952992069,4.652853952992069,1.535767164621659,1.265931359109258,0.98335902823839,0.6674609657602281,2.8120738686848257,0.4752076498903667,0.1534498150137189,0.0211763421644202,2.5410784554273707,12.39498928480431,29.817083463674265,146.65414682538074,2.554152491888568,3.4283532456303,6.8214678764664045,4.386690660733471,343.8750417090618,589.0193728448132,457.54259417494325,310.55983930053804
2022-01-18,0.3409900712165958,109.57306156221,8.210718237152763,8.210718237152763,8.210718237152763,8.210718237152763,4.8337490457162815,4.8337490457162815,4.8337490457162815,4.8337490457162815,1.5543699354111442,1.2922995100548929,1.0186591110345131,0.7126480881663583,3.8052438608364834,1.075455706556225,0.1798085011940564,0.0261522571241594,1.974494793700834,5.808376379823394,27.38436988893624,131.71949173455485,2.055342264365411,2.831897045943093,7.021667845234635,4.550313033199671,381.1299601841332,624.6651523507456,492.39425058732735,344.4762016105667
