,ABSOLUTE PACE LONG BIASED FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.3816552274517733,96.86482246623753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.3559591982403187,97.20962171166524,-2.0341737500639545,-2.0341737500639545,-2.0341737500639545,-2.0341737500639545,1.3132391087621167,1.3132391087621167,1.3132391087621167,1.3132391087621167,-2.079939423832529,-2.9758988694290625,-3.934783150930522,-5.004257027419781,0.1632830438381154,0.0318441932721046,0.0088063498496137,0.0025438489451034,-16.72836156791078,-122.72462818138544,-586.7710466359523,-2583.402623554045,2.7261247439530245,3.5207230142085426,20.398512098577097,6.762262536163581,-273.1457795233021,-390.80667790552127,-516.7311118300192,-657.1786038705312
2022-01-07,0.3807352849683143,97.57973304190578,-1.6611832823196786,-1.6611832823196786,-1.6611832823196786,-1.6611832823196786,1.0725130243897285,1.0725130243897285,1.0725130243897285,1.0725130243897285,-2.199010430508048,-3.306573979666491,-4.488069451311004,-5.806280372558291,0.0436401073850701,0.015144022849848,0.0032831457311291,0.0007156779334418,-54.04357296095037,-234.17447889918387,-1466.1283217669748,-8701.276135312934,0.7733221748261024,3.3299501429114167,11.6653840409079,7.780193061487353,-235.8467327488745,-354.6343659300489,-481.35129408967146,-622.7311322827212
2022-01-10,-0.5933598049644884,97.00073412824348,-2.244686293400075,-2.244686293400075,-2.244686293400075,-2.244686293400075,0.9915557160200532,0.9915557160200532,0.9915557160200532,0.9915557160200532,-2.967024738032616,-4.176381818634814,-5.462337341563311,-6.89758301404168,0.0670693021120113,0.0558055078893435,0.0066528983127913,0.0011501210588749,-43.86463323646647,-74.20621048304004,-814.1131217116783,-5946.624324039768,1.715298662480679,5.358609136780184,15.51227120869568,8.6032067454894,-294.1970338569142,-414.1115264549575,-541.6211813856883,-683.9337864295854
2022-01-11,1.726119824552197,98.67508302999224,-0.5573124439572844,-0.5573124439572844,-0.5573124439572844,-0.5573124439572844,0.9831720697931609,0.9831720697931609,0.9831720697931609,0.9831720697931609,-1.276070107840118,-2.507202280584652,-3.81218864291553,-5.269164457626154,0.0963372045030855,0.055840640177333,0.0061178465663534,-0.0004310235671402,-13.02296963668038,-44.143678291731874,-612.639980072481,12019.053529385768,1.7018331719125042,5.791247653265289,17.931190743348257,10.29576632146276,-125.45964891263507,-246.50112555925455,-374.80373984972425,-518.0495325884864
2022-01-12,1.8023017162575703,100.45350574496038,1.2349448205579383,1.2349448205579383,1.2349448205579383,1.2349448205579383,1.3433481512354466,1.3433481512354466,1.3433481512354466,1.3433481512354466,0.4002393384726048,-0.5091941931724409,-1.4701945576186572,-2.5434785107832285,0.3898287680197024,0.0876128094200251,0.0135063843631768,-0.0058405123253107,1.3792229293906235,-7.807363815246861,-146.22589494179834,585.0132599430775,1.4318644048122886,6.872306701876951,19.01888614326033,8.905143993897287,53.76607753888718,-68.40250780180233,-197.49831409334385,-341.6777155167737
2022-01-13,-0.6621944984731676,99.78830815639382,0.5645725854238554,0.5645725854238554,0.5645725854238554,0.5645725854238554,1.3808220339649884,1.3808220339649884,1.3808220339649884,1.3808220339649884,-0.0961104736749704,-0.9890265458496662,-1.9296925244602148,-2.980613118673116,0.4598269199326784,0.1038450758174415,0.0170641797896594,-0.0045740687079567,-0.2886117667157046,-13.151029415071497,-156.14943052621055,899.7889038766709,1.57993137091909,6.800987327892145,19.31714812346724,8.49392316812752,-13.271145974521115,-136.5669646685503,-266.45619565521866,-411.56962689889394
2022-01-14,0.7696814671944052,100.55636027070044,1.338599463177135,1.338599463177135,1.338599463177135,1.338599463177135,1.475763016584928,1.475763016584928,1.475763016584928,1.475763016584928,0.4345653135366817,-0.4085455065757521,-1.2940731079581511,-2.2837163006934555,0.5913969456620839,0.1318792175433825,0.0303555916757207,-0.0014364888339785,1.0844077276897324,-4.571731319213479,-62.91246943505387,2346.1540230712217,1.9022878958087668,7.669200145872936,15.907298574151058,9.04323795836985,64.13154180080684,-60.291634919644956,-190.9745233481754,-337.0224056935546
2022-01-17,-0.2446244471779546,100.31037483028597,1.0907004744624575,1.0907004744624575,1.0907004744624575,1.0907004744624575,1.4959216457508095,1.4959216457508095,1.4959216457508095,1.4959216457508095,0.2629926710472416,-0.5762936631691674,-1.455195168761603,-2.437751676931079,0.7713829493121898,0.1556036677563075,0.0384180041379551,0.0027616389489075,0.5100144223361227,-5.540294631061729,-56.662442534120494,-1320.4787330831782,1.3696820976505286,7.907407021593906,12.575895324695091,8.841711846259377,39.3416429293391,-86.20901650437835,-217.6857951742484,-364.6685500486535
2022-01-18,-0.6774093336714748,99.63086298854476,0.4059026339745712,0.4059026339745712,0.4059026339745712,0.4059026339745712,1.4525728594567933,1.4525728594567933,1.4525728594567933,1.4525728594567933,-0.2005967613242208,-1.0726925465573065,-1.983289911104532,-3.0016074985064907,0.8434399830833311,0.2307910870165471,0.0392934665585448,0.0031560174042497,-0.3454678661655373,-6.751404916945599,-73.31684754799117,-1381.5049249099654,-0.634682741299832,2.818627091349845,11.158853310888675,9.489711053436588,-0.7921423461685737,-155.8164079670736,-288.0873097304918,-436.0053587072525
