,ITAU INDEX ITAU UNIBANCO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.8765447641935216,100.83788132374195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,1.9860719549050776,102.84059420463328,0.0722576614286538,0.0722576614286538,0.0722576614286538,0.0722576614286538,1.104075691291451,1.104075691291451,1.104075691291451,1.104075691291451,-0.5661082737989745,-1.6318042157555424,-2.772345891636502,-4.044427988437572,-0.0058001195317379,-0.0011311653863648,-0.0003128180401677,-9.036227893273332e-05,107.76094877360828,1592.7249801662322,9784.85673385929,49416.135581715054,336.4761692395078,33.58179386568038,33.157077338926115,40.460794187523845,-62.502638374041275,-180.1635367562604,-306.0879706807585,-446.53546272127033
2022-01-07,2.171193609856404,105.07346261434265,2.245020125012644,2.245020125012644,2.245020125012644,2.245020125012644,1.6480523641871136,1.6480523641871136,1.6480523641871136,1.6480523641871136,0.9391304023322,0.2183545595102079,-0.5505344085422391,-1.4083945182407804,0.1830485846900646,0.020697560783599,0.0078100460008695,0.0026689860757655,8.455329400465912,17.38657766460052,-116.17211133754908,-869.6590576363967,19.43261170505941,15.909224572113544,35.37287053967151,20.15030557018776,154.77360798435774,35.985974803183396,-90.73095335643914,-232.1107915494889
2022-01-10,0.9021221984155224,106.02135364523043,3.16739514833477,3.16739514833477,3.16739514833477,3.16739514833477,1.9383201602698872,1.9383201602698872,1.9383201602698872,1.9383201602698872,1.2743566072293089,0.6557049775555674,-0.0021309029368308,-0.7363367785238751,0.0593663954632421,-0.0694330874601625,-0.001732168125906,0.000911709242515,41.60790096638296,-18.304906546385283,2.3845099446551874,-1565.4732408150703,6.4235372957700045,6.075854390955567,13.331343825325815,13.47699894937093,247.01111031657035,127.09661771852703,-0.41303721220375955,-142.725642256101
2022-01-11,2.197165115595734,108.35081784260584,5.434153165202799,5.434153165202799,5.434153165202799,5.434153165202799,2.4914718920626626,2.4914718920626626,2.4914718920626626,2.4914718920626626,1.901233216848427,1.415410049297415,0.9004429140099713,0.3254984677366064,0.2839880880097996,-0.035141844239248,0.0001932032845222,-0.0089468447384678,16.67981623183532,-100.34915440291648,11611.749853067638,-90.64316046397649,5.799578574869255,5.577082337197112,10.89049944473603,8.569790148034766,473.68691200337327,352.6454353567538,224.34282106628407,81.09702832752204
2022-01-12,-0.4094925451715303,107.90712932090798,5.002408167926565,5.002408167926565,5.002408167926565,5.002408167926565,2.6073954562881365,2.6073954562881365,2.6073954562881365,2.6073954562881365,1.651120512761126,1.182574074797291,0.6874600483453117,0.1344967413190644,0.681548497026957,0.0137772773814257,0.0110349674709285,-0.01540852759729,6.316680531961059,223.8060673371972,162.4363833565851,-22.759227965595297,4.235008498870877,5.490148384648076,10.972161290391249,7.813144940227347,430.51241227574985,308.34382693506035,179.24802064351883,35.06861922008895
2022-01-13,1.807285743631404,109.85731948548666,6.900101721215157,6.900101721215157,6.900101721215157,6.900101721215157,2.8708567322146097,2.8708567322146097,2.8708567322146097,2.8708567322146097,2.160615542546134,1.7311415903614236,1.27870093204104,0.7732301099853073,0.9833498350217832,0.077821686369949,0.0271549993291027,-0.0116226139359431,6.307844324709411,63.86214075958292,135.18568477020168,-190.9925666495295,5.920922269627863,5.988019696821826,11.49181737389552,7.599132771957098,620.2817676046091,496.9859489105799,367.0967179239115,221.98328668023626
2022-01-14,-0.7383340759763213,109.04620546077112,6.110821842954064,6.110821842954064,6.110821842954064,6.110821842954064,2.919436060477296,2.919436060477296,2.919436060477296,2.919436060477296,1.8543094233411448,1.4281203438649188,0.9804897545271778,0.480229158576664,1.1953220868134562,0.1227014819105195,0.049740736455826,-0.0059661034481038,4.528936474533531,33.97926386594876,57.5479446074808,-234.9939680122339,5.445148200172854,5.82416140326399,10.805929686767312,7.425250038828493,541.3537797784998,416.930603058048,286.24771462951753,140.19983228413827
2022-01-17,-0.0062021189674243,109.039442285379,6.104240723546067,6.104240723546067,6.104240723546067,6.104240723546067,2.903372956006539,2.903372956006539,2.903372956006539,2.903372956006539,1.8623017987375727,1.429871445020953,0.9770299373604612,0.4707816630203522,1.5524650772951014,0.1567048861104077,0.0665249731947157,0.0026688568782376,3.4828201661049123,26.49215469334433,42.64086343993375,512.1498869956964,5.392511668931214,6.10005984418892,10.889900180661314,7.506652648677633,540.6956678377001,415.1450084039826,283.6682297341126,136.6854748597074
2022-01-18,0.5823373635330142,109.67441969879478,6.722125361572291,6.722125361572291,6.722125361572291,6.722125361572291,2.902593656221652,2.902593656221652,2.902593656221652,2.902593656221652,2.075675078903689,1.6392437976043184,1.1835448006748026,0.6739383366087723,2.015111741597382,0.4297808551921082,0.0794531985165892,0.0056892805280292,2.989829889843888,11.070894830343653,43.237398801201536,343.83418621876666,3.805293288449307,5.0117782458307385,12.147809699347142,8.282631706847122,602.4841316403225,475.8058647926984,343.53496302928016,195.6169140525195
