,XP INVESTOR DIVIDENDOS FUNDO DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-2.085518342757797,96.67442281555118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0360250327568922,96.63959582306434,-2.1207920668485607,-2.1207920668485607,-2.1207920668485607,-2.1207920668485607,1.2406979261602582,1.2406979261602582,1.2406979261602582,1.2406979261602582,-2.2713636031770257,-3.2197080462628533,-4.234656417412405,-5.366660341003799,0.1702358925887592,0.0332001690930032,0.0091813380731938,0.0026521700330991,-16.553947990423417,-120.32122742054597,-572.2400583880449,-2510.549577286896,2.560654906103715,3.35235701479954,18.98337065226165,6.500356316045007,-281.8076112017627,-399.46850958398187,-525.3929435084799,-665.8404355489918
2022-01-07,-0.6348824229554406,96.02604801556852,-2.742209953744151,-2.742209953744151,-2.742209953744151,-2.742209953744151,1.2304562760482027,1.2304562760482027,1.2304562760482027,1.2304562760482027,-2.795299650922725,-3.760694647018636,-4.790531550826329,-5.9395348997881685,-0.0398161024086265,0.0059746425938346,-0.000240455636406,-0.000499099635793,86.38449749837949,-774.5016137869189,24514.04217603153,14643.044134143178,0.2242588318776157,2.07253598088558,7.762925517392728,5.584044826116721,-343.9493998913218,-462.7370330724961,-589.4539612321187,-730.8337994251684
2022-01-10,-0.5496118707352893,95.498277456677,-3.2767503130531623,-3.2767503130531623,-3.2767503130531623,-3.2767503130531623,1.286411479714023,1.286411479714023,1.286411479714023,1.286411479714023,-3.089240434254894,-4.02140323355377,-5.0126075017174605,-6.118883427329802,0.0279930815019745,0.0730870284192234,0.0061244741426383,0.0005383733932075,-141.96487649785607,-70.78108654971679,-1052.8701213084366,-14620.711170462962,0.8970264933138825,3.7005149031790063,10.184119719729498,5.951825893980202,-397.4034358222229,-517.3179284202662,-644.827583350997,-787.1401883948943
2022-01-11,1.7726770519489676,97.19115350615806,-1.5621594619533643,-1.5621594619533643,-1.5621594619533643,-1.5621594619533643,1.1481612584060563,1.1481612584060563,1.1481612584060563,1.1481612584060563,-1.9678799389722663,-3.022100117195804,-4.139561739865314,-5.387172140320945,0.0298261487252276,0.0680369206555792,0.0054276552909017,0.0003127604713979,-75.75377994448692,-50.999637258040536,-875.6791214174036,-19776.611527138382,0.8394483447688701,3.945438628019386,12.198712691662823,8.019802909705609,-225.94435071224308,-346.9858273588625,-475.2884416493323,-618.5342343880943
2022-01-12,2.4506462939658524,99.57296490761938,0.850203829052286,0.850203829052286,0.850203829052286,0.850203829052286,1.4695179136466603,1.4695179136466603,1.4695179136466603,1.4695179136466603,0.1040611907232513,-0.7272902627443956,-1.6057811276239242,-2.586915145008194,0.3448320740988725,0.1014493464450654,0.0133843230175009,-0.0055345037476258,0.4434616016588216,-10.534972446593434,-176.30507940921578,686.8760633334417,0.9473601500893802,5.243658791108181,13.555844355200398,7.6844246597871555,15.291978388321947,-106.87660695236755,-235.97241324390907,-380.15181466733895
2022-01-13,-0.1114155969669017,99.46202509434993,0.7378409724138244,0.7378409724138244,0.7378409724138244,0.7378409724138244,1.5833151519979334,1.5833151519979334,1.5833151519979334,1.5833151519979334,0.0256151955557176,-0.7531041802959328,-1.5734666382864688,-2.4899830441363173,0.4714382000536156,0.1268991202158778,0.019507539883204,-0.0040431386607867,0.0860280886023776,-9.396450169765158,-127.70926444226944,975.0909411629892,1.400406946097056,5.382663389463961,14.275471403077267,7.343702809306154,4.05569272447579,-119.2401259695534,-249.12935695622176,-394.242788199897
2022-01-14,0.9048160359512948,100.36197344708548,1.6493331118033083,1.6493331118033083,1.6493331118033083,1.6493331118033083,1.7532603675713152,1.7532603675713152,1.7532603675713152,1.7532603675713152,0.5430163621122956,-0.1666510610600404,-0.9120217478426176,-1.745029126819024,0.6619167535059647,0.1652368042113868,0.038127101301154,9.163825707584173e-05,1.4383214529493893,-1.7682664704437636,-41.938975959003294,-33386.60627053694,1.7711046510014183,5.859559381605121,13.931298150166713,7.653274691376103,95.20490666342418,-29.218270057027617,-159.90115848555808,-305.9490408309373
2022-01-17,-0.3747251999105749,99.9858918414517,1.268427445092355,1.268427445092355,1.268427445092355,1.268427445092355,1.79801605010877,1.79801605010877,1.79801605010877,1.79801605010877,0.31765200310016,-0.3806212933263226,-1.1118538018565798,-1.929325675177808,0.8967102854020869,0.1961529322132176,0.0493310086856047,0.0055615643279521,0.6369319157158841,-3.488926658868324,-40.52483487320124,-623.7379135258499,1.29910453898095,5.836678723240178,12.421779463273404,7.439688417862626,57.114339992328844,-68.43631944138862,-199.91309811125868,-346.89585298566385
2022-01-18,0.2053883758396768,100.19125124077368,1.476421023460216,1.476421023460216,1.476421023460216,1.476421023460216,1.8239332139894748,1.8239332139894748,1.8239332139894748,1.8239332139894748,0.4271740721179967,-0.2673594002482511,-0.9925553709609242,-1.803539281129546,1.1863128403071233,0.3825592705953248,0.0568178934100357,0.007086479498333,0.6567719338597393,-1.274693172188024,-31.862404590655103,-464.1987884619858,-0.054006984604808,3.4595017606806526,13.354267023307706,8.282539412712438,26.58075447909,-48.764569018509114,-181.0354707819274,-328.953519758688
2022-01-19,1.6186685193676276,101.8130154837686,3.1189879051479017,3.1189879051479017,3.1189879051479017,3.1189879051479017,1.992716387514572,1.992716387514572,1.992716387514572,1.992716387514572,1.215277736035142,0.5739120114557029,-0.0938461230970211,-0.840835337071737,1.382744131209666,0.7145315772733641,0.0757558684477176,0.0260566019211621,1.7513752583135218,1.6005504957294514,-2.4685705705981924,-64.30410075933113,0.4326981191361272,3.894835967827174,14.867319015200142,7.693347176335637,86.6504582564807,114.36438702192298,-18.700870740014384,-167.5546355384189
2022-01-20,1.384914426157513,103.2230386229093,4.547097644753928,4.547097644753928,4.547097644753928,4.547097644753928,2.267855444685502,2.267855444685502,2.267855444685502,2.267855444685502,1.6975568740972995,1.1290292100669788,0.5387806250796884,-0.121710778093238,1.5470355359247068,1.473835407194731,0.1042944337715126,0.0483299104832938,2.488510128038992,1.73728696485378,11.71564512018836,-5.711213780771878,0.5279464680493635,1.93246064992622,15.87644896857696,8.730644275862536,143.87449511928955,256.04750412593694,122.18765740780294,-27.60224507756588
2022-01-21,0.0986201808890419,103.32483737031838,4.650202181565426,4.650202181565426,4.650202181565426,4.650202181565426,2.462331052058051,2.462331052058051,2.462331052058051,2.462331052058051,1.6053560844681931,1.0771499469448158,0.5302914383283397,-0.0818377148891896,1.576049789479503,2.020885070994016,0.1304295992738131,0.0657484927147034,2.5081175498280595,1.31244463139129,10.011171409759587,-3.064884657896667,0.4809901258560125,1.075584446487504,16.07289406607726,8.963602938794105,153.75986314117654,265.2299762084902,130.57530752363976,-20.151154660112525
2022-01-24,-0.7171281583980837,102.5838658669168,3.899726113900891,3.899726113900891,3.899726113900891,3.899726113900891,2.5377447197661684,2.5377447197661684,2.5377447197661684,2.5377447197661684,1.2619244338441191,0.7449695850614814,0.2112290450465025,-0.3864017680859252,1.4917573933880088,2.070806548538625,0.1361521359810676,0.0733140716730036,2.146757966762001,0.9129498997433294,3.937106016482554,-13.37518193017576,1.0404078092210685,2.341333067639522,16.945722945492072,8.889502649166479,129.2703091227208,189.05426308761676,53.604539372801206,-98.05890466683684
2022-01-25,2.319705175079645,104.96350911222842,6.309893437458625,6.309893437458625,6.309893437458625,6.309893437458625,2.735948312438512,2.735948312438512,2.735948312438512,2.735948312438512,2.0514310766664736,1.5678028797884644,1.0698219375265328,0.5120597623220833,1.5445518730451162,2.682630669019055,0.1832926050911991,0.1096083631998633,3.633810874363308,1.598963171759303,15.968879503507898,12.78158893804662,0.7939029467642063,1.3269622432986194,17.108948028062684,8.798993092457222,234.51138710838288,428.94276431934884,292.6977524585417,140.09690425927693
2022-01-26,0.9926527952974108,106.0054323194732,7.365181566343246,7.365181566343246,7.365181566343246,7.365181566343246,2.986409993963562,2.986409993963562,2.986409993963562,2.986409993963562,2.232746854802929,1.7878032376638249,1.327020365340785,0.8128957973170412,1.5683915253411755,3.057786119212624,0.2264924132387258,0.1550652176601171,4.25142409496487,1.746071585142284,17.497393509025922,15.655607168331349,0.3055390004439633,1.274777795000549,17.380222198158013,8.4484147609768,287.74142836667363,533.9113456199659,396.3026881246898,242.76401331585902
2022-01-27,1.7695151367878026,107.88121449018364,9.265024705799409,9.265024705799409,9.265024705799409,9.265024705799409,3.3122277115754986,3.3122277115754986,3.3122277115754986,3.3122277115754986,2.586700374098072,2.1838335410499403,1.7642590356541468,1.297875267790827,1.5811046267454505,3.4562635021741857,0.30097423139359,0.2219488468286405,5.418832198515667,2.0928247998404843,19.415707588100133,19.368690081387346,1.2404774497467626,1.247678602484507,16.52897748443295,8.54904997333164,381.1046608863908,723.3353972133662,584.3627668291131,429.88584281452484
