,SICREDI - FUNDO DE INVESTIMENTO EM ACOES PETROBRAS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-3.863927391615285,96.49716880650946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0717450329782654,96.42793688092614,-3.9329002486121976,-3.9329002486121976,-3.9329002486121976,-3.9329002486121976,2.34316895442956,2.34316895442956,2.34316895442956,2.34316895442956,-1.976035183049134,-2.478179504139559,-3.0155903198916567,-3.614981549341876,0.3156937423289876,0.0615680128763718,0.0170263211349683,0.0049183134667403,-14.666696462282433,-94.31509977857272,-415.0067158275522,-1722.2392583422582,0.7506314493615418,1.367152245841107,7.238862704427698,3.3247030003373466,-463.01842937812637,-580.6793277603456,-706.6037616848436,-847.0512537253554
2022-01-07,0.4625165056273861,96.87393200503638,-3.488574055784505,-3.488574055784505,-3.488574055784505,-3.488574055784505,1.95936010367166,1.95936010367166,1.95936010367166,1.95936010367166,-2.136339355440412,-2.7425966379000126,-3.3893227191454494,-4.110883997892103,0.0609983061345814,0.0265905750930509,0.0053439110273929,0.0010425037567822,-68.62253013580829,-202.09169654889,-1242.704768159547,-7726.305103354009,-0.0406999643391163,1.3445302380075312,6.169901035513979,3.944930942875405,-56.54769001627858,-537.3734432765315,-664.090371436154,-805.4702096292039
2022-01-10,-0.6015283014540129,96.29120788729476,-4.069117596975801,-4.069117596975801,-4.069117596975801,-4.069117596975801,1.803506271780763,1.803506271780763,1.803506271780763,1.803506271780763,-2.642852823261088,-3.3077492778746937,-4.014759045047996,-4.803847540445239,0.1037823963571496,0.0944884758234659,0.0110243856943557,0.0018055673650385,-45.92687979319827,-63.13517618032925,-656.7842706319406,-4798.363847081853,0.4980606383529375,2.534510969976891,8.18175527766713,4.428676442763971,-74.35160888181449,-596.55465681253,-724.0643117432608,-866.3769167871582
2022-01-11,2.950553967179625,99.13233194165852,-1.2386251404829445,-1.2386251404829445,-1.2386251404829445,-1.2386251404829445,1.7403323921588356,1.7403323921588356,1.7403323921588356,1.7403323921588356,-1.112378988275089,-1.8078867958179383,-2.545117309187363,-3.368211755881362,0.153465239532753,0.0944917474547334,0.0101434673490158,-0.0008322195482863,-12.61464284385288,-33.29734116331654,-436.6702176502469,7043.583672699245,0.9179897409476814,3.227354413108066,9.928151075839413,6.143252233384602,-33.76289841751088,-314.63239521182055,-442.93500950229026,-586.1808022410523
2022-01-12,3.038831709831636,102.1447966793972,1.7625668358137565,1.7625668358137565,1.7625668358137565,1.7625668358137565,2.2816189364528694,2.2816189364528694,2.2816189364528694,2.2816189364528694,0.4668977687837906,-0.0685491605383315,-0.6343570797706333,-1.2662741765299157,0.6455674054000162,0.1476903675467444,0.0225339755404288,-0.0098844287001751,1.6501495920237848,-1.0589929821435584,-64.23017203870091,292.29358899222353,1.3361382541610436,4.07366115056604,10.007505332539148,5.895683514077985,20.35214910744961,-15.640306276220505,-144.736112567762,-288.9155139911919
2022-01-13,2.010873798559709,104.19879963241527,3.808883629056932,3.808883629056932,3.808883629056932,3.808883629056932,2.891971641695001,2.891971641695001,2.891971641695001,2.891971641695001,1.0759440165409573,0.6496057464265076,0.2004684550575661,-0.3013118153693715,1.0081769973568102,0.2189815434230647,0.0403029709905575,-0.0065267029595664,3.0863624066465585,8.578994227463745,14.384772954249907,133.51078343141768,2.485273258778886,4.136520050246138,9.197330463953062,5.472210080034365,64.20996958058707,187.86413969475737,57.97490870808901,-87.13852253558625
2022-01-14,3.7130755384369385,108.06777977291142,7.66338589381193,7.66338589381193,7.66338589381193,7.66338589381193,3.826080844346112,3.826080844346112,3.826080844346112,3.826080844346112,1.820688618991633,1.495491160332821,1.15393306539177,0.7722163994692568,1.6463812410783156,0.3372455424590581,0.1014210351907788,0.0061788063423804,4.231159633524698,16.966480979160714,43.53180963740012,478.1768856282031,2.985551105356594,4.013483443459184,8.24696052927538,5.20972375474691,153.67547095520192,572.1870081438345,441.5041197153041,295.45623736992485
2022-01-17,0.1573156149962784,108.237787265274,7.83275721145659,7.83275721145659,7.83275721145659,7.83275721145659,4.331567377162047,4.331567377162047,4.331567377162047,4.331567377162047,1.6473189829411212,1.3574685696803777,1.053936921152701,0.7146076620734962,2.5018855314414754,0.4294123826460497,0.1493678085146909,0.0269415859535736,2.8520382234179915,13.693053133954477,30.56347167872282,114.89194592484704,2.63642879388882,3.6138673567592288,7.70326898402621,4.762545634610139,166.96051336362632,587.9966571950349,456.5198785251648,309.53712365075967
2022-01-18,0.4416915584177117,108.71586443464284,8.309045397268669,8.309045397268669,8.309045397268669,8.309045397268669,4.639789529296371,4.639789529296371,4.639789529296371,4.639789529296371,1.6405402236540532,1.3675143330446682,1.082434803190483,0.7636314435924179,3.621174775710828,1.074931109789146,0.1797328499520968,0.0321073992860666,2.102014352677973,5.902684019320983,27.94297017672472,110.35117309420758,2.117282243202872,2.9621747995264127,7.573238610484891,4.788370219012228,187.73917411510217,634.4978683623361,502.2269665989179,354.30891762215725
