,BB ACOES BB SEGURIDADE FUNDO DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.2140585714773169,98.5420101329995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.6767680121026576,99.2089109360626,-0.5455069194346038,-0.5455069194346038,-0.5455069194346038,-0.5455069194346038,0.6114028570273821,0.6114028570273821,0.6114028570273821,0.6114028570273821,-2.0326875321552693,-3.9571289545307233,-6.016727343336722,-8.313862373476463,0.0437878181434773,0.0085396971488791,0.0023616098564712,0.0006821871541242,-28.382116700390984,-283.3121486917632,-1557.6850162573426,-7451.209213403806,13.136648103457484,11.1449962657191,114.80713319308327,17.544859193058986,-124.27909646036703,-241.93999484258617,-367.8644287670842,-508.3119208075961
2022-01-07,-3.1039000442286024,96.12956550563943,-3.632474974149604,-3.632474974149604,-3.632474974149604,-3.632474974149604,1.6622403588065815,1.6622403588065815,1.6622403588065815,1.6622403588065815,-2.604773128254,-3.319396814003387,-4.081722957080553,-4.932260831726761,-0.2574240883149069,-0.026898116966779,-0.0106758707881023,-0.0037362619847942,16.819556583306518,205.130915221503,635.5270466825011,2194.3330119846323,-0.0773996898334613,1.290904210811557,5.106192474802964,4.100425006061236,-27.559697457521644,-551.7635351130414,-678.4804632726639,-819.8603014657137
2022-01-10,-2.4556038765212507,93.76900416859992,-5.998879654391969,-5.998879654391969,-5.998879654391969,-5.998879654391969,2.659666985239121,2.659666985239121,2.659666985239121,2.659666985239121,-2.517669970234641,-2.9685327784867885,-3.447952403719557,-3.983029185262952,-0.0475873642322569,0.1429983373012174,0.0067086251556334,-0.0006778361162778,140.7130612840723,-55.21259040173646,-1366.957455828063,15628.454977377103,-0.1674000315945664,1.3859422631289269,4.790695632727333,2.676704613036349,-20.20830348613334,-789.5308625541468,-917.0405174848776,-1059.3531225287747
2022-01-11,0.098987852335064,93.8618240919824,-5.905829964190948,-5.905829964190948,-5.905829964190948,-5.905829964190948,2.850463902133098,2.850463902133098,2.850463902133098,2.850463902133098,-2.31650504481698,-2.7411428609845165,-3.1912542067007577,-3.69378922435724,-0.2483490100780848,0.1063089665761828,0.004381040696688,0.0081000767899249,26.58804239760768,-73.498304305563,-2076.3456786894862,-1299.8658061136907,-0.6530443464654055,0.5339434496036027,4.314513762317918,3.1309169121953486,-5.605455409168223,-781.3528775826209,-909.6554918730906,-1052.9012846118526
2022-01-12,-0.9252663585678,92.9933522101212,-6.776451664905869,-6.776451664905869,-6.776451664905869,-6.776451664905869,3.0643303544154223,3.0643303544154223,3.0643303544154223,3.0643303544154223,-2.4389458203505896,-2.837625372523075,-3.258910910831718,-3.729419585641145,-0.7642014474778013,0.0404587812024976,-0.0099652501383252,0.0168110443768929,9.779797898501146,-214.92050192913484,1002.1203168790296,-679.8015271638797,-1.249497229800128,0.0217466796524442,3.1703306500838635,3.0337115289196444,-2.886152351781209,-869.542156348183,-998.6379626397245,-1142.8173640631544
2022-01-13,0.1494961641397285,93.13237370458027,-6.637086036069964,-6.637086036069964,-6.637086036069964,-6.637086036069964,3.0808015103686763,3.0808015103686763,3.0808015103686763,3.0808015103686763,-2.3806694642789026,-2.780876417823516,-3.2024849847809005,-3.673509913700484,-0.962483972938414,-0.0074240583339846,-0.0215237579731221,0.0133268115643976,7.620251648292466,1153.9952789650445,458.3874521524772,-849.216996563298,-1.0439767510109097,0.037425068127577,2.935127361882392,2.6731275546892617,-2.427118635659682,-856.7328268179322,-986.6220578046006,-1131.7354890482757
2022-01-14,1.3862630504849929,94.42343338928649,-5.342830456931894,-5.342830456931894,-5.342830456931894,-5.342830456931894,2.8913475606135908,2.8913475606135908,2.8913475606135908,2.8913475606135908,-2.0890309364326822,-2.51936030400981,-2.9713394787334373,-3.4764599434429297,-1.046282774416722,-0.0293953762178002,-0.0325555822666667,0.0097867854420611,5.772927405278351,247.8058527073549,263.8925356401072,-1027.0638951422332,-0.8984282542425809,0.4298440614594488,2.6103941283640517,3.027317594571508,-1.9060332346798323,-728.4346269305479,-859.1175153590782,-1005.1653977044576
2022-01-17,1.105266887652534,95.4670643327229,-4.296616105183261,-4.296616105183261,-4.296616105183261,-4.296616105183261,2.6978991868939284,2.6978991868939284,2.6978991868939284,2.6978991868939284,-1.85103289797191,-2.316397430655813,-2.803727644136615,-3.348532118627099,-1.1574340855232097,-0.0354590254536905,-0.0328692529724103,0.0075228767007137,4.314630278142251,176.24304855335717,230.1291890551148,-1200.8706827901608,-0.8171700648236115,0.904127858395097,2.739909659253331,3.169266553642877,-1.5554836926493425,-624.9406744689502,-756.4174531388203,-903.4002080132253
2022-01-18,3.197283300020781,98.51941683765314,-1.2367077943595124,-1.2367077943595124,-1.2367077943595124,-1.2367077943595124,2.6231563246452474,2.6231563246452474,2.6231563246452474,2.6231563246452474,-0.7372766241028847,-1.2201996800315318,-1.7244429861612434,-2.2883363675317376,-0.6733701112143968,0.1630983521152278,-0.0163169311101537,0.0095621924444496,2.8721082318915223,-19.6248120627454,277.22636659439775,-627.7497603482004,-0.6839434472485119,0.8293237191419139,3.90735347264366,4.720005655055093,-0.609636739733786,-320.0774508004819,-452.3483525639002,-600.2664015406608
