,ITAU UNIBANCO ACOES HOLDING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.8688043978798088,100.84711936888996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,1.9874323194129409,102.85138761242422,0.0814866989430634,0.0814866989430634,0.0814866989430634,0.0814866989430634,1.102332253781708,1.102332253781708,1.102332253781708,1.102332253781708,-0.5586313419691954,-1.6260127778163882,-2.7683583228414594,-4.042452331781928,-0.0065409339960881,-0.0012756423536421,-0.0003527724113833,-0.0001019037106047,94.1451704900691,1405.100986911164,8650.479943505123,43728.78635385793,247.9739444503807,34.54141282460602,32.81924348563702,41.23085082669875,-61.57973462260031,-179.24063300481947,-305.1650669293175,-445.61255896982937
2022-01-07,2.1726544476830645,105.0859928598893,2.255911571014985,2.255911571014985,2.255911571014985,2.255911571014985,1.6493383547042575,1.6493383547042575,1.6493383547042575,1.6493383547042575,0.9450016859187124,0.2247878326340468,-0.5435016320364339,-1.4006928674782395,0.1831338758974685,0.0206614405294175,0.0078073146895561,0.0026698739005363,8.510864078028634,17.944111568905562,-114.81772199616796,-865.2904802090065,19.70086323965701,15.870194511087774,35.03518890570853,20.11411131941261,155.86275258459185,37.075119403417474,-89.64180875620507,-231.02164694925483
2022-01-10,0.9037474141319056,106.0357048029754,3.1800467276350526,3.1800467276350526,3.1800467276350526,3.1800467276350526,1.940683212143527,1.940683212143527,1.940683212143527,1.940683212143527,1.2793240374990005,0.6614257022751121,0.004390828510766,-0.7289210492516529,0.0592188720697768,-0.0697144732102192,-0.0017576893767416,0.0009089737047887,41.92519370413845,-18.412500265402443,-4.847959651460928,-1556.2659687604128,6.421261620459856,6.072378248781013,13.306926461726968,13.451773856763364,248.2762682465986,128.36177564855527,0.8521207178244783,-141.46048432607276
2022-01-11,2.1978915063186832,108.36625455250514,5.4478322108773805,5.4478322108773805,5.4478322108773805,5.4478322108773805,2.494279713430929,2.494279713430929,2.494279713430929,2.494279713430929,1.9045771571360155,1.4193008828078062,0.9049134482326074,0.3306162193876326,0.2842237828266418,-0.0353543289334625,0.0001735214129665,-0.0089651607657422,16.71411209316654,-100.13295418234966,13007.658350345377,-91.98377480312048,5.796361767822924,5.573949960084722,10.876080818688342,8.562875570016995,475.0548165708314,354.01333992421195,225.7107256337422,82.46493289498015
2022-01-12,-0.4060070965894669,107.92627986871376,5.019706528901465,5.019706528901465,5.019706528901465,5.019706528901465,2.6109155121194507,2.6109155121194507,2.6109155121194507,2.6109155121194507,1.6555198602438137,1.1876051200938451,0.6931586100773414,0.1409408123195347,0.6830000470882822,0.0137167470344155,0.0110495603592377,-0.0154472348005641,6.328582995212733,226.0548089532973,163.78738235472596,-23.822034035654813,4.241886687378336,5.487635573844332,10.956904848533805,7.806445644959659,432.2422483732399,310.0736630325503,180.97785674100882,36.79845531757895
2022-01-13,1.8078826870935087,109.87746039728432,6.918339621273884,6.918339621273884,6.918339621273884,6.918339621273884,2.874829546075804,2.874829546075804,2.874829546075804,2.874829546075804,2.163973716144901,1.7350932669985153,1.2832778501019917,0.778505553456586,0.9853885154964618,0.0778896665018848,0.0272021266270463,-0.0116527709623687,6.31330229475072,64.04055394233615,135.62193610369312,-192.06339625902584,5.922139111761822,5.983647837620504,11.4736163272402,7.592145861621844,622.1055576104818,498.8097389164526,368.9205079297842,223.80707668610896
2022-01-14,-0.7347869984179578,109.07009510409324,6.1327175628124095,6.1327175628124095,6.1327175628124095,6.1327175628124095,2.9239916826446497,2.9239916826446497,2.9239916826446497,2.9239916826446497,1.8589086794963727,1.4333836088918104,0.9864504346143368,0.4869692520506299,1.198194876486579,0.1229244238565737,0.0498714897167,-0.0059770610015686,4.536351827493585,34.09576078492793,57.83610801559146,-238.22645315583125,5.449897165693146,5.820323750012611,10.795207379836734,7.418569650951737,543.5433517643343,419.1201750438825,288.43728661535204,142.3894042699728
2022-01-17,-0.0040307005887529,109.06569881512772,6.128439670740738,6.128439670740738,6.128439670740738,6.128439670740738,2.908439957364683,2.908439957364683,2.908439957364683,2.908439957364683,1.867377599396208,1.4357006135406083,0.9836480334729072,0.4782817304752505,1.556743205565251,0.1570474544666849,0.0667366952439108,0.0026940309375812,3.488793531364492,26.58845407851099,42.868188694087735,516.3465929016701,5.401430487845824,6.095021982360909,10.886948405576996,7.500417418223488,543.1155625571671,417.56490312344965,286.0881244535796,139.10536957917446
2022-01-18,0.5843882429512615,109.70306593609595,6.748641794604164,6.748641794604164,6.748641794604164,6.748641794604164,2.908182141039589,2.908182141039589,2.908182141039589,2.908182141039589,2.080804246762865,1.6452116301245536,1.1903883235068486,0.681761140603221,2.021455015350882,0.4312305425981543,0.0797246943795128,0.0057260882533155,2.9935653791359336,11.095167452963558,43.42275740619565,346.254805347972,3.8242924856486775,5.013301690187119,12.145674083954878,8.273695884081244,605.1357749435098,478.45750809588566,346.1866063324674,198.26855735570675
