,CAIXA FUNDO DE INVESTIMENTO EM ACOES BANCO DO BRASIL PLUS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.6661341462533508,98.43001165557678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,0.8018124162411544,99.2192357103388,-0.8776810004681027,-0.8776810004681027,-0.8776810004681027,-0.8776810004681027,0.8408451236283541,0.8408451236283541,0.8408451236283541,0.8408451236283541,-1.873073888852437,-3.272391017249369,-4.76998469277808,-6.440298144017032,0.0704514180614161,0.0137397522749871,0.0037996586802076,0.0010975895678075,-22.35533490985507,-200.2637292426689,-1055.5733307301182,-4933.805356702532,7.906961767618457,7.925330537183041,294.5747085853726,13.234412247119923,-157.49650456371694,-275.1574029459361,-401.08183687043413,-541.529328910946
2022-01-07,0.098686983447882,99.3171521810614,-0.7798601739238459,-0.7798601739238459,-0.7798601739238459,-0.7798601739238459,0.6867277624800652,0.6867277624800652,0.6867277624800652,0.6867277624800652,-2.150989518405835,-3.880752601700762,-5.725980581155008,-7.784727087666805,0.0134997361784217,0.0059210689710259,0.0011877205528422,0.0002310015367375,-109.42022863039465,-450.0911176589297,-3310.7028611159435,-23142.652165584183,1.4178563165864886,5.669616383160825,15.89689241883473,12.931208477933689,-147.71442190929122,-266.5020550904656,-393.2189832500881,-534.5988214431379
2022-01-10,0.5152526205413954,99.8288864103214,-0.2686258033651563,-0.2686258033651563,-0.2686258033651563,-0.2686258033651563,0.6431603043788912,0.6431603043788912,0.6431603043788912,0.6431603043788912,-1.501818196735595,-3.366275498929431,-5.348824080715252,-7.561532235664749,0.0056100211098417,-0.0001423981822556,0.0004959619088227,0.0001140766240693,-172.1757957095242,15204.230420782023,-6936.321646128219,-42631.67335059426,3.399231773205297,6.936595674279164,18.234104243897445,16.93224099322471,-96.59098485342227,-216.50547745146565,-344.0151323821964,-486.3277374260937
2022-01-11,0.4095746962740954,100.23776026863028,0.1398486695906865,0.1398486695906865,0.1398486695906865,0.1398486695906865,0.6713192994304366,0.6713192994304366,0.6713192994304366,0.6713192994304366,-0.8303580368556684,-2.633396870229205,-4.544597909724492,-6.678393152320603,0.0328953138033727,0.0033881983875402,0.0006457598932925,-0.0010799784601923,-16.945738195731305,-521.7670100268293,-4724.474710552151,4151.318176789002,2.4627651888512982,6.483453327390316,20.179752619232872,16.46530823840657,-55.743537557837996,-176.78501420445744,-305.0876284949272,-448.3334212336892
2022-01-12,0.9595590669992048,101.19960078584484,1.1007496671790125,1.1007496671790125,1.1007496671790125,1.1007496671790125,0.8724213745028107,0.8724213745028107,0.8724213745028107,0.8724213745028107,0.462466456922699,-0.9378727474017352,-2.4176141896046235,-4.070249093301213,0.2108768374809135,0.0239924260183332,0.0053621383157409,-0.0042489958539059,1.9132761417975253,-34.103272039756504,-393.3464916637336,835.7203514996191,1.3166702537167594,7.54530431863955,22.06149750745543,13.184796954660762,40.3465622009946,-81.8220231396949,-210.9178294312364,-355.0972308546663
2022-01-13,1.5998446801433142,102.81863721534344,2.7182046323143823,2.7182046323143823,2.7182046323143823,2.7182046323143823,1.3179902111085608,1.3179902111085608,1.3179902111085608,1.3179902111085608,1.533335050679565,0.5978514814175054,-0.3876583493225772,-1.4886789033494574,0.4111677945270197,0.0626117601281012,0.015310888161363,-0.0026106475570371,4.915075095971584,12.584894572407544,-33.37036390553688,751.5622768801531,3.056692960779705,8.301371401149218,23.02449929203375,11.63490154998836,202.09205871453156,78.79624002050238,-51.09299096616597,-196.20642220984124
2022-01-14,2.549305609710117,105.43979850170167,5.336805585199476,5.336805585199476,5.336805585199476,5.336805585199476,2.0612235712771607,2.0612235712771607,2.0612235712771607,2.0612235712771607,2.250857987790088,1.6472205248080518,1.0132141499073528,0.3046647019943053,0.7999018604015763,0.1310931144155029,0.0521077928574271,0.0048217644280954,5.800113451044133,25.89983301536673,40.07962675093253,130.2390596744369,4.098682348272464,6.850993728598631,21.796940153124076,9.633365109193951,463.9521540030409,339.5289772825891,208.84608885405865,62.7982065086794
2022-01-17,0.1909294631313951,105.6411141429078,5.537924582583057,5.537924582583057,5.537924582583057,5.537924582583057,2.433422135311569,2.433422135311569,2.433422135311569,2.433422135311569,1.9892317354934423,1.4732889501795317,0.9329931389349442,0.3289764632356172,1.3056511965665871,0.1801676869228324,0.08201104772453,0.0173019302023884,3.707453070271147,19.89887312374924,27.683662376856027,46.268745641082006,3.862771845723899,5.93640178246469,21.86980666819175,8.833996552258714,484.064053741399,358.51339430768155,227.0366156378115,80.05386076340635
2022-01-18,0.8788872805017611,106.56958045809016,6.465483977844919,6.465483977844919,6.465483977844919,6.465483977844919,2.743196735607832,2.743196735607832,2.743196735607832,2.743196735607832,2.102729220183964,1.6409385465392792,1.1587605822449687,0.6195427891617276,2.0977673099263607,0.6068571976113448,0.1044379070357365,0.0209982175149716,2.7496852989278096,7.417588984554642,30.436345736780616,80.9367631126818,3.1761258445739,4.979409439882366,19.73138030549177,8.476544624778143,576.8199932675852,450.1417264199611,317.8708246565429,169.95277567978223
