,BB ACOES PETROBRAS FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.019118538947087,96.92963236826816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0910442096216934,96.84138355058928,-4.106503573861218,-4.106503573861218,-4.106503573861218,-4.106503573861218,2.446539168723095,2.446539168723095,2.446539168723095,2.446539168723095,-1.9635032540833963,-2.444431170081688,-2.959135514628197,-3.5332015007199487,0.329628874156437,0.0642857049327834,0.0177778850646233,0.0051354142113484,-14.5733216828283,-93.02840513463342,-407.2273454227588,-1683.2363479854332,0.660137884310583,1.2604337435021475,6.786505073223685,3.149283659187066,-480.3787619030285,-598.0396602852476,-723.9640942097457,-864.4115862502575
2022-01-07,0.7013892838780844,97.52061863717238,-3.4339168659922827,-3.4339168659922827,-3.4339168659922827,-3.4339168659922827,2.0189207637379254,2.0189207637379254,2.0189207637379254,2.0189207637379254,-2.046242222756998,-2.6346141654044417,-3.2622610272110086,-3.96253535561651,0.0813101738336762,0.0297911742294387,0.0063363718074776,0.0013456933221271,-50.80792127700914,-178.54540415251398,-1039.434983407514,-5944.924281748213,-0.0233958728832277,1.3525898766419282,6.193995610189385,3.916077453904372,-97.27989664311646,-531.9077242973092,-658.6246524569318,-800.0044906499817
2022-01-10,-0.4376017763426554,97.09386667771577,-3.856491761131223,-3.856491761131223,-3.856491761131223,-3.856491761131223,1.8127659048205544,1.8127659048205544,1.8127659048205544,1.8127659048205544,-2.5120594965906906,-3.173559651018593,-3.876958002629542,-4.662015823197856,0.1115938681056497,0.088986621570615,0.0110693757698409,0.0019323450321702,-40.80668484391163,-64.6492768321979,-634.906378437006,-4373.516732948876,0.5855553422758489,2.5994513143056133,8.360842212694887,4.555050656934154,-123.81914416235706,-575.2920732280722,-702.8017281588031,-845.1143332027003
2022-01-11,3.7690110502187615,100.75334524188357,-0.2328323115402534,-0.2328323115402534,-0.2328323115402534,-0.2328323115402534,1.949827687427133,1.949827687427133,1.949827687427133,1.949827687427133,-0.4770248995369645,-1.097805276321633,-1.7558255471270476,-2.4904842744722315,0.2127268779411635,0.0960200111591972,0.0105747884422424,-0.0029373307879387,-4.37234996212643,-22.292552326687428,-323.7471165290037,1653.206786722032,1.3584558442590062,3.486741179995114,9.565712737639448,6.006547354197019,-28.27537938190676,-214.05311231755144,-342.3557266080212,-485.6015193467832
2022-01-12,3.2197229935469807,103.99732386540424,2.9793941265356363,2.9793941265356363,2.9793941265356363,2.9793941265356363,2.679432978582109,2.679432978582109,2.679432978582109,2.679432978582109,0.8517138139332028,0.3957644159925305,-0.0860382912349363,-0.6241349802580226,0.8351207398103655,0.1644930156409751,0.0264549813914376,-0.0141805881203688,2.732670825400383,6.446621601698715,-8.714193805116599,117.93078220697566,1.8611164675921408,3.9843801952424704,8.928334000400497,5.499869833096144,75.99733645790644,106.04242279596747,-23.053383495574042,-167.23278491900393
2022-01-13,2.2890569828435847,106.37788186931574,5.336651138679126,5.336651138679126,5.336651138679126,5.336651138679126,3.411025594384636,3.411025594384636,3.411025594384636,3.411025594384636,1.3601091417043505,0.9986465396734434,0.6178542313410255,0.192429598108819,1.2747492891259755,0.2520401758473317,0.0482891250175105,-0.0098031026326707,3.6394349328808135,13.51534093768103,43.64371058574493,-66.95658597705716,2.784966754268136,3.9234114137583327,7.986737584552404,5.056720401199857,166.87601280681818,340.64089065697675,210.75165967030838,65.63822842663312
2022-01-14,2.5653436235049565,109.10684007866988,8.038898201878899,8.038898201878899,8.038898201878899,8.038898201878899,4.160797662567551,4.160797662567551,4.160797662567551,4.160797662567551,1.7644727651042418,1.4654359293556067,1.1513545944129977,0.8003452587288973,1.8907010902185035,0.3697842234581726,0.1081673078195127,0.0030475060724863,3.883011542486275,16.489027932244948,44.28836773134354,1092.7212620939536,2.9509721628108663,3.8023326351758095,7.407553388781928,4.857565495866551,282.3076887080962,609.7382389505315,479.055350522001,333.0074681766217
2022-01-17,-0.1809967211273466,108.90936027560184,7.8433513385914,7.8433513385914,7.8433513385914,7.8433513385914,4.541888230865015,4.541888230865015,4.541888230865015,4.541888230865015,1.5733692530917578,1.2969409196499064,1.007464886804356,0.6838489204854051,2.7187577788707333,0.4614045478937845,0.1522002277986664,0.0228949742052729,2.6284310242564284,12.766585691394548,30.064297396712256,135.66144848187153,2.5996240631872176,3.498884074395418,7.116686857782397,4.509731606205914,291.4570152445765,589.056069908516,457.57929123864585,310.5965363642407
2022-01-18,0.3678787058667865,109.3100146207515,8.240084063859165,8.240084063859165,8.240084063859165,8.240084063859165,4.760467751886656,4.760467751886656,4.760467751886656,4.760467751886656,1.584466151608895,1.3183614882647956,1.040508746355144,0.7297870763718988,3.7489129779333017,1.074819529303075,0.1797341156993316,0.0279234958209486,2.011996560893309,5.839135947114115,27.55908811917389,124.41593506375118,2.091010250777344,2.88431149133543,7.234912315936893,4.636748300133528,324.27894411848627,627.6017350213857,495.33083325796747,347.4127842812068
