,BB ACOES PETROBRAS I FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.031006978565454,96.91768285515664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.0971983990851854,96.82348041899095,-4.124287303400464,-4.124287303400464,-4.124287303400464,-4.124287303400464,2.4559844845194228,2.4559844845194228,2.4559844845194228,2.4559844845194228,-1.96319291875046,-2.442271264415346,-2.954996139992637,-3.526854361922708,0.331056373400231,0.0645641022528396,0.017854874428953,0.0051576537676434,-14.564200347656458,-92.90271409493523,-406.4674159717556,-1679.4263403996497,0.6512932004327531,1.2499622339281031,6.742822463608444,3.1320444516404957,-482.157134856953,-599.8180332391721,-725.7424671636702,-866.189959204182
2022-01-07,0.7015730474781323,97.50276786124086,-3.451649144043558,-3.451649144043558,-3.451649144043558,-3.451649144043558,2.027211871591524,2.027211871591524,2.027211871591524,2.027211871591524,-2.0466204087268784,-2.6325859648969723,-3.257665809462699,-3.955076081049434,0.0814206765258605,0.0298923935097787,0.0063534370477564,0.0013479943064141,-50.95675160467203,-178.5340313842228,-1039.4340501024824,-5947.93104570284,-0.0289466404720956,1.341027511974052,6.16082347202476,3.894612056319874,-78.7200727575187,-533.6809521024368,-660.3978802620594,-801.7777184551092
2022-01-10,-0.437781973555118,97.07591831982704,-3.874320419855695,-3.874320419855695,-3.874320419855695,-3.874320419855695,1.8204662292744576,1.8204662292744576,1.8204662292744576,1.8204662292744576,-2.511227284258255,-3.169929383037835,-3.870352455327122,-4.652089588130819,0.1119167512000173,0.0893636396926025,0.0111103425541195,0.0019381567549448,-40.84825922845457,-64.57603350597297,-634.1700002490057,-4369.601152819385,0.5769273095177601,2.5820925566610566,8.316074465985833,4.529960865505659,-100.15832706624886,-577.0749391005195,-704.5845940312503,-846.8971990751476
2022-01-11,3.767549213330512,100.73330131681908,-0.252738135025332,-0.252738135025332,-0.252738135025332,-0.252738135025332,1.9536334000182003,1.9536334000182003,1.9536334000182003,1.9536334000182003,-0.4862847759387958,-1.1058558615144816,-1.7625942971353843,-2.4958218962203893,0.2125452812775252,0.0963067836633018,0.010607254585704,-0.0029116478849577,-4.469740163056986,-22.432863651782803,-324.6328314025989,1674.6259196186245,1.345845205852732,3.4681855138764104,9.532973016934482,5.987849446827122,-23.270577711133697,-216.04369466605928,-344.34630895652907,-487.5921016952911
2022-01-12,3.2201298120386967,103.97704438317272,2.959253180981008,2.959253180981008,2.959253180981008,2.959253180981008,2.6802322478124743,2.6802322478124743,2.6802322478124743,2.6802322478124743,0.843945198278281,0.3881317685264381,-0.0935272608241178,-0.6314634846013849,0.8339294006719997,0.1646484302578234,0.0264576282145003,-0.0141391908752437,2.712422818993064,6.318209537595129,-9.474574911933514,119.7005408356153,1.847242136210427,3.972711094914984,8.913059952633887,5.492289745805816,60.69469285556755,104.02832824050464,-25.067478051036883,-169.24687947446677
2022-01-13,2.286945039138555,106.3549422415366,5.313874713937576,5.313874713937576,5.313874713937576,5.313874713937576,3.4101145316883303,3.4101145316883303,3.4101145316883303,3.4101145316883303,1.353793435929807,0.9922342638013976,0.611340221153625,0.185801929418214,1.2729262499357876,0.2520605901806817,0.0482563938623247,-0.0097707222290835,3.6267542357629847,13.42388542136939,43.201325360309546,-64.84739251299072,2.7740009519995383,3.916548331806528,7.980471453991448,5.052154545296935,133.80083000884227,338.3632481828218,208.4740171961534,63.36058595247813
2022-01-14,2.565582907130848,109.08356646057436,8.01578948243556,8.01578948243556,8.01578948243556,8.01578948243556,4.15910824529159,4.15910824529159,4.15910824529159,4.15910824529159,1.7596333169620118,1.4604750133489528,1.1462660995115386,0.7951141848896579,1.888279588863044,0.3696922191419089,0.1080728013986077,0.0030648206757614,3.875753082557575,16.4306235174788,44.11327109207414,1079.0079786646315,2.9438777365417863,3.798184324861913,7.404317833202468,4.854690075205235,226.75444616782255,607.4273670061975,476.74447857766705,330.6965962322878
2022-01-17,-0.1815930622111494,108.88547827186946,7.819640302642848,7.819640302642848,7.819640302642848,7.819640302642848,4.539762182815443,4.539762182815443,4.539762182815443,4.539762182815443,1.5688831200088724,1.2923253304643678,1.0027137310560226,0.6789462098612223,2.7153846404217683,0.4612396453049824,0.1520538388114252,0.0228876427915349,2.622964036641048,12.719742812345,29.93730320799942,134.66892837185668,2.5933604855855417,3.495415308377372,7.11432863247785,4.5071403619906425,234.06332272706996,586.6849663136607,455.20818764379067,308.2254327693855
2022-01-18,0.3684219184053594,109.28663623978352,8.216871489863589,8.216871489863589,8.216871489863589,8.216871489863589,4.758135975622467,4.758135975622467,4.758135975622467,4.758135975622467,1.5803641348670787,1.31412906403968,1.036140157373106,0.7252662148573925,3.744547550483812,1.0740976022959885,0.1795601838792265,0.0279098185615342,2.0081431316643203,5.821449338358359,27.45650874305251,123.64520612013597,2.084635025137392,2.880566107427934,7.233572177763409,4.6346995000234505,260.4848276175966,625.2804776218281,493.0095758584099,345.09152688164926
