,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PLUS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-4.094214845680522,97.10994948939666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,-0.1033949679450585,97.00954268825063,-4.193376601498285,-4.193376601498285,-4.193376601498285,-4.193376601498285,2.49767207835422,2.49767207835422,2.49767207835422,2.49767207835422,-1.958087568440903,-2.4291698189969844,-2.933337019390532,-3.4956505963315703,0.336602168536805,0.0656456681523071,0.0181539759830334,0.0052440538296237,-14.529498333082168,-92.42452398249084,-403.5762731305715,-1664.9312104346106,0.6176358877001246,1.2100470920469946,6.577443062498023,3.066288640609916,-489.0660646667351,-606.7269630489543,-732.6513969734523,-873.0988890139641
2022-01-07,0.8074321424493824,97.79282891715872,-3.419803129583359,-3.419803129583359,-3.419803129583359,-3.419803129583359,2.0514239528280034,2.0514239528280034,2.0514239528280034,2.0514239528280034,-2.0069411635156102,-2.585990818353748,-3.2036931123380614,-3.8928721481884994,0.0903566253813053,0.0312641985574501,0.0067850104763089,0.0014810968338051,-45.56486209371258,-169.68173666169426,-968.625297058596,-5391.903478433723,-0.0188813807110338,1.3487699534076585,6.180709523558428,3.889223206488029,-119.96667539697359,-530.4963506564169,-657.2132788160394,-798.5931170090893
2022-01-10,-0.3610087412558527,97.4397882564464,-3.768466082607661,-3.768466082607661,-3.768466082607661,-3.768466082607661,1.8254162151502704,1.8254162151502704,1.8254162151502704,1.8254162151502704,-2.44642843134222,-3.1033443259354527,-3.801868059166528,-4.581485353363632,0.1151200884950463,0.0866311803914279,0.0110999588888517,0.001989872763287,-38.79210124103485,-65.39094848022755,-625.2267844013985,-4202.840406583939,0.6209463827815006,2.61534805955886,8.400165830787634,4.593262607555866,-150.25687365259532,-566.4895053757161,-693.9991603064468,-836.311765350344
2022-01-11,4.118646078690857,101.4529882745552,0.1949702155450678,0.1949702155450678,0.1949702155450678,0.1949702155450678,2.0630434186855813,2.0630434186855813,2.0630434186855813,2.0630434186855813,-0.243481947628633,-0.8301951285065134,-1.45210455187781,-2.146446665288237,0.2383835027866249,0.0966888528121058,0.0107702923560316,-0.0038406581991265,-2.1071669127775827,-17.713816497735436,-278.1498068914724,1152.9827536825958,1.5255967475922123,3.5332416647804057,9.28596864598564,5.901169404323573,-18.896008289832594,-171.2728596090193,-299.57547389948905,-442.82126663825113
2022-01-12,3.305414358125192,104.80642991572942,3.5068291471689674,3.5068291471689674,3.5068291471689674,3.5068291471689674,2.865300937843065,2.865300937843065,2.865300937843065,2.865300937843065,0.980541019232299,0.5541684043101983,0.103619547167388,-0.3995715819709179,0.9179687747306312,0.1718651493841873,0.0281814151698216,-0.0160478339909739,3.060610752064344,9.23898332083316,10.535354022800488,71.34251446024759,2.031025762547757,3.909732541290031,8.464436547769052,5.333516637363889,115.77680668667848,158.7859248593006,29.69011856775907,-114.48928285567081
2022-01-13,2.4074722582616115,107.329615640825,5.998727344293293,5.998727344293293,5.998727344293293,5.998727344293293,3.6432544545092127,3.6432544545092127,3.6432544545092127,3.6432544545092127,1.4551394543860896,1.11671725458221,0.7601974654527243,0.3618903116274676,1.3912845430877836,0.2665210649771687,0.0517922368924218,-0.0112258802193325,3.8104666119256456,15.265154041510597,53.47505665897384,-117.44811668397573,2.8442267031801496,3.8270999351027126,7.540676053570071,4.89607034757156,235.96797969361066,406.84851121839347,276.95928023172513,131.84584898804985
2022-01-14,2.0882276954549583,109.57090240006208,8.212222125526633,8.212222125526633,8.212222125526633,8.212222125526633,4.32638415555671,4.32638415555671,4.32638415555671,4.32638415555671,1.7370020345293542,1.449410428590604,1.1473501312850949,0.8097752024434228,1.998730621933017,0.3842378457342997,0.1112400345882305,0.0017087633062551,3.759855379155448,16.31985600265217,44.623120149523366,2050.2538839577187,2.9024051743223844,3.6949092884062886,7.037494554346563,4.701212573044841,357.585856910557,627.0706313153049,496.3877428867744,350.3398605413952
2022-01-17,-0.3227931829031027,109.21721499666928,7.862920449437485,7.862920449437485,7.862920449437485,7.862920449437485,4.658340960481599,4.658340960481599,4.658340960481599,4.658340960481599,1.5382378544329665,1.2687198854847734,0.9864803933882624,0.6709544236893645,2.816713209923112,0.4757908733628129,0.1536915051904739,0.0212058115376425,2.543970887424503,12.421696465422723,29.89990902579418,147.39046741693173,2.5555747306025847,3.427568788632542,6.81410599232152,4.384635593463872,361.64790674460266,591.0129809931244,459.5362023232544,312.5534474488492
2022-01-18,0.3425656300380275,109.5913556373326,8.232421742452503,8.232421742452503,8.232421742452503,8.232421742452503,4.839710918229634,4.839710918229634,4.839710918229634,4.839710918229634,1.5569396239971685,1.2951920341349976,1.0218887232591427,0.7162546647875903,3.811835282756425,1.0771414306108102,0.1801047544904848,0.0261923670509786,1.976774214607355,5.819435452643043,27.459830392396995,132.34640132595015,2.058121642277661,2.8323052067151435,7.013242971317591,4.547868541406194,400.86775733892216,626.8355028807197,494.5646011173014,346.64655214054073
2022-01-19,-0.9316101238556972,108.5703914733445,7.224117544205616,7.224117544205616,7.224117544205616,7.224117544205616,4.8907989766113,4.8907989766113,4.8907989766113,4.8907989766113,1.3345127309973417,1.0731934668297642,0.8011208292131298,0.4967661307062997,3.632413472404545,1.582079531149443,0.2053287848113198,0.0535988859708758,1.7968311010354194,3.3176420059385405,19.08218049046557,45.3289884605754,1.576097831876519,2.449884574388329,6.764971873776322,3.827504706508508,364.17389392032607,524.8773509276944,391.81209316575706,242.95832836735255
2022-01-20,0.6345584933815207,109.25933411373616,7.904517289035742,7.904517289035742,7.904517289035742,7.904517289035742,4.882770222429497,4.882770222429497,4.882770222429497,4.882770222429497,1.4760541486796828,1.2119953255954454,0.9378479858266492,0.6310756093644232,3.285642561473192,2.4783539568561226,0.2359899317347281,0.0784708386204335,2.193553653211489,2.387832726302032,19.404625378286667,39.26805483003684,1.443073962141319,1.712955038314813,7.020223326930483,4.102204862603839,420.01919045069695,591.7894685541183,457.92962183598434,308.1397193506155
2022-01-21,0.3411017215648071,109.63201958336838,8.272581455154857,8.272581455154857,8.272581455154857,8.272581455154857,4.881204326267411,4.881204326267411,4.881204326267411,4.881204326267411,1.5519320445613296,1.28547764368481,1.00961402543751,0.7008245298356923,3.0111942728457253,3.087199029399037,0.2640673944526658,0.0985667697434811,2.515711948012828,2.0324828350622344,18.66240381187689,34.70609553190264,1.5665323663301425,1.509679809007005,7.208633051397293,4.283066371135279,459.4955371542752,627.4679035674333,492.81323488258283,342.08677269883054
2022-01-24,0.1673901806118038,109.81553281895737,8.453819124805724,8.453819124805724,8.453819124805724,8.453819124805724,4.872289146822918,4.872289146822918,4.872289146822918,4.872289146822918,1.5919693692018413,1.3227120656382567,1.0447118902932886,0.7334342968061831,2.79670353095426,3.1752180494391453,0.2699242069054579,0.1108770367597506,2.773456318764706,2.029667109923159,18.857658092205448,32.22943242954415,2.27174294107835,2.490759713004981,7.850098600092336,4.507166338335157,488.2493931679918,644.4635641781,509.0138404632845,357.35039642364643
2022-01-25,3.310553798155613,113.45103511166016,12.044241153086778,12.044241153086778,12.044241153086778,12.044241153086778,4.951230260445729,4.951230260445729,4.951230260445729,4.951230260445729,2.291744982770447,2.0245019584121025,1.7493279012707128,1.44111996067389,2.774937556956091,4.115320705135798,0.3434517510045239,0.1666648004613218,4.089085564997188,2.435721557814988,25.21846289873621,42.81237992947904,2.5971496333337885,2.3912907354806983,8.088100491552588,4.809445259710323,739.324292101016,1002.3775358821641,866.1325240213571,713.5316758220923
2022-01-26,2.9206479054093792,116.76454039231412,15.316658935456234,15.316658935456234,15.316658935456234,15.316658935456234,5.2402537213350895,5.2402537213350895,5.2402537213350895,5.2402537213350895,2.7898219566671107,2.5362494894477225,2.273650262744217,1.9806517115791928,2.820117776178829,4.897888115497548,0.421265741892938,0.2498843704205524,5.183958987023571,2.713534999556137,28.282632707854702,41.53568102240107,3.101178172505387,3.09148747771391,8.326287267195815,5.266997074657121,983.7816729183684,1329.0590825312647,1191.4504250359887,1037.9117502271579
2022-01-27,0.3732500657739779,117.20036411612912,15.747078440781188,15.747078440781188,15.747078440781188,15.747078440781188,5.552506587632707,5.552506587632707,5.552506587632707,5.552506587632707,2.710450525017486,2.470129029232356,2.2198409328727915,1.9416297834098444,2.7008261087686765,5.364768182395289,0.5280337741101874,0.3435162187308135,5.572292990929881,2.556570431528267,23.342600431276296,31.383997538629103,3.050081934560055,2.752831022328845,7.693546156296767,5.023119764721238,1043.9145742481032,1371.5407707115442,1232.5681403272908,1078.0912163127027
2022-01-28,-2.978000746345355,113.71013639803132,12.30012958094178,12.30012958094178,12.30012958094178,12.30012958094178,5.748021874296841,5.748021874296841,5.748021874296841,5.748021874296841,2.018580615995324,1.7854587439872864,1.541310524544618,1.2709295145874435,2.477770502275234,5.25928378447394,0.6017447010105573,0.3771125756071801,4.682776522328562,1.9513789969635624,14.722998964989586,19.37175030234924,1.738542182549611,1.21153839965666,6.182076580627139,4.249104962510104,828.1532234486563,1026.2855916093486,885.9486610166402,730.5330650538092
