,ITAU UNIBANCO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-01-05,-1.8757050437889444,100.83535941012826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-06,1.9752242680025625,102.82708389992472,0.0624698429925437,0.0624698429925437,0.0624698429925437,0.0624698429925437,1.1007276624706714,1.1007276624706714,1.1007276624706714,1.1007276624706714,-0.5767223118129252,-1.6456597283408232,-2.789670533355485,-4.065621859274435,-0.0050144517456244,-0.0009779409226326,-0.0002704445932533,-7.812206021848635e-05,126.59693110626908,1852.2828363930155,11354.146475273365,57283.978854795256,542.4312232784703,32.618501644388544,33.523399116841574,39.673929772297065,-63.481420217652285,-181.14231859987143,-307.06675252436946,-447.5142445648814
2022-01-07,2.1626397678311537,105.0508633084456,2.2264606084911613,2.2264606084911613,2.2264606084911613,2.2264606084911613,1.6404388006595854,1.6404388006595854,1.6404388006595854,1.6404388006595854,0.9321753196201196,0.208054229985978,-0.5644032863119319,-1.4262448748930114,0.1823662818529401,0.0206677841886984,0.0077875287509353,0.0026594058741102,8.385193511568222,16.513634378714954,-118.89125288618358,-879.7707242784788,18.86403860960092,16.042972864863586,35.89595867272105,20.275850509122726,152.91765633220948,34.130023151035125,-92.58690500858741,-233.9667432016372
2022-01-10,0.8930135634324321,105.98898176629288,3.139356767141898,3.139356767141898,3.139356767141898,3.139356767141898,1.9276182075143289,1.9276182075143289,1.9276182075143289,1.9276182075143289,1.2668861045475874,0.644799779929013,-0.0166883427379489,-0.7549704594409754,0.0594537991296672,-0.0687618254545764,-0.00168583862209,0.0009136785783584,41.07513325846064,-18.07584059578912,19.08175129777791,-1592.7863892448922,6.441223409705608,6.091948190475324,13.398966369198384,13.564243884416744,244.20727219728312,124.2927795992398,-3.216875331490998,-145.52948037538823
2022-01-11,2.1874074869228988,108.30739268876212,5.395434779030484,5.395434779030484,5.395434779030484,5.395434779030484,2.4778626657947167,2.4778626657947167,2.4778626657947167,2.4778626657947167,1.896049687787921,1.4075582216646432,0.8897627196717203,0.3116604918276307,0.2826274247026309,-0.034704968077323,0.0002231760702386,-0.0088836232128136,16.623124025577564,-100.4967346353558,9878.79131545531,-86.92983466352123,5.821722229711887,5.593489283407799,10.943898676947969,8.603617617277294,469.81507338614176,348.7735967395223,220.47098244905257,77.22518971029055
2022-01-12,-0.4174470173884392,107.8552667083717,4.955464680081844,4.955464680081844,4.955464680081844,4.955464680081844,2.591474655444983,2.591474655444983,2.591474655444983,2.591474655444983,1.6431496352726644,1.1717246684723934,0.6735688944219063,0.1172084410387617,0.6762532154414292,0.0137318041699553,0.0109563161297669,-0.015279381485674,6.296725158095136,221.1286109184127,159.3178489846664,-19.87925392405176,4.223291426767933,5.506549423236232,11.031019561697772,7.845376471894092,425.81806349127777,303.64947815058827,174.55367185904674,30.374270435616868
2022-01-13,1.7980427579796343,109.7945505205212,6.84260881186593,6.84260881186593,6.84260881186593,6.84260881186593,2.852604485151172,2.852604485151172,2.852604485151172,2.852604485151172,2.1542856006451228,1.7220636808668006,1.2667281036327735,0.7580230518141893,0.9756123253296854,0.0772595983136026,0.0269457046218365,-0.0115245939261086,6.298941297835895,63.58260574714486,134.10205153668792,-187.6282992109964,5.929183373743192,6.010845943876892,11.56433651992634,7.632321263201151,614.5324766696864,491.2366579756572,361.34742698898884,216.23399574531356
2022-01-14,-0.7464212604633369,108.97502065260586,6.045112864460482,6.045112864460482,6.045112864460482,6.045112864460482,2.899130935892236,2.899130935892236,2.899130935892236,2.899130935892236,1.8446316974109245,1.415457646732322,0.964691912730344,0.4609275586018141,1.1846962575159543,0.1215885733739517,0.0492413071138604,-0.0059346076413863,4.514092777252989,33.749857722781904,56.79719592606756,-225.1689454630313,5.443833935650033,5.847204887196369,10.85319304112973,7.459036990540794,534.7828819291416,410.3597052086898,279.6768167801593,133.62893443478006
2022-01-17,-0.0150725162282205,108.9585953749333,6.029129197614755,6.029129197614755,6.029129197614755,6.029129197614755,2.881329005130147,2.881329005130147,2.881329005130147,2.881329005130147,1.8504811991107049,1.4147424854470547,0.9584364598742084,0.4483150727896188,1.536753621008386,0.1551318053355262,0.0657359569879434,0.0025709536806809,3.4695510585145337,26.276613936723173,42.01004895868955,502.4373765939074,5.375093456045409,6.127390932168801,10.90719327512412,7.53875023433721,533.1845152445688,407.6338558108514,276.1570771409813,129.17432226657616
2022-01-18,0.5739891653864015,109.58400590714264,6.63772491136263,6.63772491136263,6.63772491136263,6.63772491136263,2.878720361324027,2.878720361324027,2.878720361324027,2.878720361324027,2.063569961849765,1.623519345785896,1.164041226478114,0.6502085841553016,1.9918126304043804,0.4240860136417283,0.0784453047792427,0.0055491175925529,2.9824295596456416,11.020543114788198,42.71701396932848,337.3092494611233,3.746683042747661,5.013722725370693,12.161367711262482,8.32504723451108,594.0440866193563,467.3658197717323,335.09491800831404,187.1768690315534
2022-01-19,-0.6652473299824768,108.85500123375752,5.928320293635719,5.928320293635719,5.928320293635719,5.928320293635719,2.835840157519452,2.835840157519452,2.835840157519452,2.835840157519452,1.844616042479034,1.3939347915027651,0.92470785919805,0.3998060434038589,1.8258419648739308,0.635715784697377,0.0889516854832602,0.0173935328538246,2.864999462769956,6.218150239243787,29.48031469939001,65.18434424058502,2.173685036653512,3.961568748253938,11.524331647177409,6.717251153207783,523.1036248466652,395.2976258707046,262.23236810876733,113.3786033103628
2022-01-20,-0.7975936739389677,107.98678063015088,5.083442712063864,5.083442712063864,5.083442712063864,5.083442712063864,2.7584039190187264,2.7584039190187264,2.7584039190187264,2.7584039190187264,1.5901074663695836,1.1226855092603576,0.6374054319113039,0.0943743643704231,1.467112698582231,0.8257896352957188,0.0942678561462881,0.0222866979241003,2.9896535359099783,3.750131966067024,18.65133793495309,11.680627494518594,0.6579186249778258,1.3084981821280235,9.90159916577166,6.110456715279248,438.61586668947973,309.68201085693045,175.82216413879647,26.032261653427646
2022-01-21,0.0297066830776904,108.0188599208385,5.114659517357481,5.114659517357481,5.114659517357481,5.114659517357481,2.667866147126091,2.667866147126091,2.667866147126091,2.667866147126091,1.6557710276982789,1.1682584230226187,0.6635304447096714,0.0985603379967856,1.2306908573762338,0.916362466075396,0.0981386276351691,0.025878308990828,3.5893461349067137,3.401227367185201,18.03785577284838,10.160856696012289,0.5073950030034661,0.7423262652448187,8.898166444240198,5.86590164922476,441.7375472188414,311.67570978769567,177.02104110284526,26.29457891909297
2022-01-24,-0.1438605544848203,107.8634633900082,4.963440985330991,4.963440985330991,4.963440985330991,4.963440985330991,2.586088605622161,2.586088605622161,2.586088605622161,2.586088605622161,1.6496561374143532,1.1423651517135596,0.6186022635420266,0.0321434557891852,1.0828155119346892,0.8884738535791838,0.0962256474405068,0.0271075764866261,3.939874238169615,3.3250922246109456,16.625092246297353,3.066516285686512,1.0778602790751048,1.5873232233344383,9.647546370741578,5.774794149995427,426.6156940161925,295.42575023062676,159.9760265158112,8.31258247617317
2022-01-25,3.5426627370813035,111.68470211445134,8.681941696676617,8.681941696676617,8.681941696676617,8.681941696676617,2.638945538404763,2.638945538404763,2.638945538404763,2.638945538404763,3.0257000515191605,2.524294573520577,2.008008769671942,1.4297442849432742,1.1565962349766463,1.4486004979793656,0.134835811156556,0.057860064552552,6.9035826073467845,4.598559721402477,39.29983984485237,65.20935175217234,1.4523043332819108,1.411172163221165,10.453603228136778,6.184863298219932,798.465765150755,666.1475902411481,529.9025783803409,377.30173018107615
2022-01-26,1.053657587787682,112.86147645267832,9.827077221918628,9.827077221918628,9.827077221918628,9.827077221918628,2.8051166860040806,2.8051166860040806,2.8051166860040806,2.8051166860040806,3.2546928340991945,2.780992730426364,2.290429688318832,1.7430775030250774,1.2204132994288432,1.905201225825678,0.1725283733183368,0.0989311086436461,7.48090272452974,4.094585393936136,37.2398024350898,49.42364293466356,1.1864391950486028,1.4220432082039536,11.534678409531972,6.004877529101514,912.9793176749562,780.1009111775043,642.492253682228,488.95357887339725
2022-01-27,0.3591948944415168,113.26686911388768,10.221570476014126,10.221570476014126,10.221570476014126,10.221570476014126,2.961796256043545,2.961796256043545,2.961796256043545,2.961796256043545,3.2157129010514325,2.76517999022954,2.295962601961594,1.7743976101111996,1.2038474968448505,2.230429938099725,0.2253445886663336,0.1465654501443027,7.911539007895225,3.67189285009597,30.1767771693636,35.85704675409994,1.1324557524041872,0.9792419440855444,11.3053839698414,5.235817400444437,952.4286430845059,818.9899742348379,680.0173438505848,525.5404198359965
2022-01-28,1.3081311461583534,114.74854830704484,11.663413169195728,11.663413169195728,11.663413169195728,11.663413169195728,3.157394719200928,3.157394719200928,3.157394719200928,3.157394719200928,3.4731574919470205,3.0487602471139925,2.6042895899000453,2.112062263941371,1.2407499709983525,2.596374163343603,0.3016465580250025,0.1907435865891207,8.838306975903384,3.707531695643944,27.259618847495,34.961145263336434,1.6527275710606413,0.9189896768636496,11.053112823867604,5.922248695218291,1096.612912402666,962.6139504347435,822.2770198420352,666.861423879204
2022-01-31,2.1274588710429088,117.18977647739602,14.039006358373078,14.039006358373078,14.039006358373078,14.039006358373078,3.4616075532161847,3.4616075532161847,3.4616075532161847,3.4616075532161847,3.854198405826853,3.465479338788496,3.0561274523972246,2.6044451389162084,1.3822024301662696,2.9101649668713705,0.3891829938196536,0.2273691086664451,9.652509662856758,4.1221475728097845,27.18287808257085,39.65167923508701,2.43386620448157,2.081163292845632,12.648139995727556,7.706044906260624,1334.1722313204011,1199.6129454664886,1057.911387280957,901.5566964809523
2022-02-01,0.6842722857129058,117.99167363951976,17.014184636969972,14.819343673785816,14.819343673785816,14.819343673785816,3.653349371986885,3.7684224733066576,3.7684224733066576,3.7684224733066576,4.4662852988864055,3.3889149409294714,3.0092693087288898,2.59186863301756,1.7217294688889124,3.1219354852193035,0.4836933270673315,0.2978633946326133,9.477040897912218,4.090687742903894,23.44501661828249,32.79105852053079,2.154283026201256,2.086409980964844,12.867192428144609,6.584060911016314,1631.6900591800904,1277.0863223523324,1134.0198091245938,976.7256004521979
2022-02-02,-1.5586235411993776,116.15262763751905,12.959176932959863,13.029742353435552,13.029742353435552,13.029742353435552,3.4919995746322785,3.952883485205404,3.952883485205404,3.952883485205404,3.511424507857228,2.776620684618372,2.412230127299232,2.010936731009358,1.946925848937828,3.136816222933743,0.5371456380360395,0.3107204207843673,6.298079043164607,3.4989802617899537,17.751730550358293,25.58247885264113,1.221983850960876,1.3269345020558074,12.045228744940456,7.312115527352561,1226.1892887790796,1097.5658048907683,953.5264632716061,794.8998593799831
2022-02-03,1.1194561605258446,117.4529053832199,11.805749790327743,14.295060767437578,14.295060767437578,14.295060767437578,3.3841805403273537,4.07590459941853,4.07590459941853,4.07590459941853,3.280856749547345,3.0005227137830914,2.6447238540807003,2.2522509347969253,2.047415649890828,3.1995477959040213,0.6008727453470718,0.3258972665207014,5.422939679108057,3.822366506112084,17.93997515199823,28.16826309158488,1.3333518405457183,2.1792537525520426,12.910224366915385,8.095514149359028,1110.301156741978,1222.9844329768273,1077.9642121039428,917.9959944183473
2022-02-04,0.3004100086008598,117.8057456663836,11.149049366420789,14.638414569319409,14.638414569319409,14.638414569319409,3.3997612551989174,4.210462234763167,4.210462234763167,4.210462234763167,3.0710558438146704,2.983535793407752,2.636777185274916,2.253658843146001,2.0294851912839595,3.23631114649065,0.6643931457497714,0.3387545387076318,5.144583816227748,3.881599826342221,16.710062153871903,28.011271776039266,0.4318744682366012,2.1642712534043462,13.237423972266482,8.311179917222251,1044.0856670353335,1256.20647842075,1110.205076008515,948.8945449106285
2022-02-07,-0.5525418909118063,117.1548195716758,8.168811623356234,14.004989305746763,14.004989305746763,14.004989305746763,3.3841142032347067,4.315316734638924,4.315316734638924,4.315316734638924,2.202988348196599,2.7616756061258214,2.421068194554238,2.0441467437960106,2.276174021522783,3.157115874208575,0.7112445869346107,0.3434879816921831,3.275305002253341,3.774807588190385,14.689287324758892,25.681075093525862,0.0969102584986023,2.3208435032049537,13.098130591929134,7.973339906700178,745.5164158692676,1191.750495875885,1044.767609566195,882.114065156059
2022-02-08,1.0739032901352807,118.41294903360809,9.788749912216296,15.229292636819562,15.229292636819562,15.229292636819562,3.4576363674091746,4.3887242646397535,4.3887242646397535,4.3887242646397535,2.623077275850117,2.991911025074933,2.654763681757238,2.2810850270617866,2.328897599168895,3.1035751852591065,0.7823572610717384,0.3493596380705118,3.894395093515749,4.230821465436264,14.892206370081889,28.65543731171357,1.494730330843542,2.7943866729334257,13.240067520297906,8.352375525664952,906.9647383503951,1313.0672513389554,1165.102578701236,1001.1053207972491
2022-02-09,-3.913358286790225,113.7790260799687,3.6290285269693614,10.719957564606826,10.719957564606826,10.719957564606826,3.464683868200303,4.508806621640393,4.508806621640393,4.508806621640393,0.8383075481712919,1.9096406593955009,1.57929435278303,1.212586073329273,2.244315173939865,2.900365221652512,0.8121757871096366,0.3454883420180652,1.294145613978479,2.9686607692566427,8.767477371725894,15.824893207105871,-1.1235225732286538,1.8841490258481124,10.232398237854744,6.5144041199692415,4.527740386726754,861.020045003616,712.0732835347405,546.731611673595
2022-02-10,1.8672103150197072,115.90351979126284,6.357878252433529,12.787332033038606,12.787332033038606,12.787332033038606,3.3849132674373603,4.421774754926944,4.421774754926944,4.421774754926944,1.6626318799188873,2.4122523881640894,2.073182306159973,1.696214242877806,2.3203589971223835,2.786414254763551,0.8824885554332275,0.3537575559472696,2.425428442831999,3.828015412374975,10.38783463796774,21.201744505557865,0.1267393680082666,1.901755847112809,10.250090097030148,7.090378150622964,8.77320293585222,1066.6436712496202,916.7145183739393,750.0277318104603
2022-02-11,5.777528695355172,122.5998789061297,12.519694737488038,19.30365250597292,19.30365250597292,19.30365250597292,3.5147157966995386,4.464987369184461,4.464987369184461,4.464987369184461,3.3528245028572337,3.84583792621832,3.507848511125621,3.1315146306476453,2.360840405332245,2.856250371294769,1.0004513548790286,0.3828339960296081,4.991538274733646,6.011944168854946,15.655433139057791,36.522809931374816,2.3772934625452327,3.267289857321704,12.87038131901996,8.647027390965823,18.37027093707566,1717.1617764495359,1566.249929518841,1398.2173272258076
2022-02-14,-0.2319696696630679,122.31548437202385,11.61800790132584,19.02690421735885,19.02690421735885,19.02690421735885,3.7035920172168058,4.689535158214244,4.689535158214244,4.689535158214244,2.936900746898697,3.600299021167635,3.2763973153867902,2.915212008917577,2.500829867327207,2.953841290679631,1.146598880739794,0.4046352085495114,4.349389098266451,5.715855111486128,13.40030996094436,33.785960590215325,2.1416680831636654,2.652712539558388,11.778072703778497,8.227402492596868,16.95613773326564,1688.372883984995,1536.4780402785116,1367.0989209467352
2022-02-15,0.921425762514283,123.44253075657178,13.400881316870962,20.123648777140776,20.123648777140776,20.123648777140776,3.871049795526387,4.874265384482994,4.874265384482994,4.874265384482994,3.269009623743274,3.6865722587811134,3.3729288044005954,3.0226681507534745,2.563760929977229,3.115929486201172,1.328345663494586,0.4361953830621067,4.935912271538356,5.766924966674911,12.37671079707066,33.77680578040212,3.104472591506388,2.57909140292871,11.529414212034704,7.951587501479362,19.726929097822328,1796.9331548372068,1644.0550115615433,1473.3286735996885
2022-02-16,-1.0349129841553673,122.16500797780203,13.12959536798384,18.88047353890495,18.88047353890495,18.88047353890495,3.8998639563692734,5.057535202754174,5.057535202754174,5.057535202754174,3.173894368638692,3.3049721995830383,3.00074941211342,2.660515975138235,2.380562378330688,3.1698512843594067,1.4767120584651436,0.453528224018404,5.199509310172771,5.273122220588035,10.27715301666966,29.66883313794699,3.0803564742389056,2.316978641822152,10.308240018622964,7.489398465263019,19.2955184744408,1671.501324351511,1517.6395786407513,1345.565320175147
2022-02-17,-1.3935200349608934,120.4626141159198,11.51998290317145,17.223850322483944,17.223850322483944,17.223850322483944,3.715832804777304,5.179125309173474,5.179125309173474,5.179125309173474,2.8964399685213422,2.9053642935279265,2.606383979593112,2.271534230315474,2.1740068918967417,3.105138168695541,1.5077528472065034,0.4460813778345404,4.950622140259037,4.8459182578985525,8.952919080302129,26.37312608742087,2.794396750908684,1.9966746509998536,10.526531525095994,7.067266687292856,16.77780810535008,1504.7245744979396,1349.8789234134963,1176.4560422880763
2022-02-18,0.360413474052268,120.89677760838916,12.08315940241566,17.646340873849027,17.646340873849027,17.646340873849027,3.384788167957768,5.213107478074242,5.213107478074242,5.213107478074242,3.344494592087925,2.965331304528117,2.666411974503321,2.331156645587172,2.169024699762103,3.110782884278098,1.5522079102439708,0.4460005678673087,5.219122550489888,4.969357031225457,8.955174182642303,27.247880422628768,2.7507727904182837,2.927492988008579,11.569777561378276,7.12808110631193,17.64722889705142,1545.8590798603173,1390.0292203909967,1215.2570141672952
2022-02-21,-2.4162757041175653,117.9755781439766,5.63271057756733,14.803680922530878,14.803680922530878,14.803680922530878,2.925488684207618,5.312268056330314,5.312268056330314,5.312268056330314,1.662798834487564,2.3727688437643226,2.0775759632935937,1.7460372830622748,4.18406585382452,3.011046832869664,1.5555881167151422,0.4445035708340866,1.1626249070531485,4.186180034194984,7.094834619661253,20.86691467195343,1.5891162664146468,2.6867497485484044,10.3788731875902,5.001253073540292,7.583202625425453,1260.4784133785026,1103.664042440424,927.5418083973493
2022-02-22,0.8943382234390951,119.03067883364145,5.466171961297895,15.830414122936128,15.830414122936128,15.830414122936128,2.649845018545125,5.255802143712227,5.255802143712227,5.255802143712227,1.7708592411410364,2.59149203725131,2.291253974157348,1.9535834150048148,5.664542896438669,2.997719362629093,1.6137402543402617,0.4606432373711921,0.8283991532012899,4.543577218933901,7.462401409877812,22.289804923868143,1.510670872440368,3.146644998332756,11.709012165893215,5.792218289917432,7.315079373096662,1362.0369404798603,1204.2377549165349,1026.764790050296
2022-02-23,-1.3889910472348,117.37735336117936,3.629026103969261,14.221540040793554,14.221540040793554,14.221540040793554,2.4819966582050967,5.2870029269515095,5.2870029269515095,5.2870029269515095,1.1482281238567038,2.2697823971434152,1.969452880380053,1.6312189103091788,8.755422322564531,2.893938573189625,1.6270817691078885,0.4510235439624622,0.3255009594368361,4.146717656143536,6.399495920092256,19.12152762034316,1.5627035934088207,1.5936395577490223,11.659334483855716,5.710770870323215,4.442668401917192,1200.0346177240249,1041.2503143062422,862.4259153303279
2022-02-24,-1.6721722528245997,115.41460182717384,0.5804461406751461,12.31155914148247,12.31155914148247,12.31155914148247,2.3852623967199027,5.311608711603097,5.311608711603097,5.311608711603097,-0.0855839626005906,1.897582345314452,1.5967888696484214,1.2575761255668565,11.498862026780971,2.8817141516780875,1.660320497656523,0.4426939975367384,-0.0177530791549656,3.497645632370276,5.108361718467457,15.088870283384953,0.3158066206666588,1.2753103359236255,9.705684089985311,4.111172025046698,-0.31823143634919787,1007.9214916356477,848.1517670615417,667.9752304064983
2022-02-25,1.998356459666084,117.72099697818506,0.4532993549070352,14.555944438537974,14.555944438537974,14.555944438537974,2.2271084185858725,5.171848263758687,5.171848263758687,5.171848263758687,-0.1512031911427564,2.380667028038745,2.0698391751964174,1.718844001075257,14.84105731446492,2.970025888815261,1.7383573419832294,0.4655651004940115,-0.0226901556119502,4.14556946520798,6.158051561646396,19.0942155097114,-0.1516295401398925,1.179432619995026,11.162251266521409,3.581779089927524,-0.5192422637466118,1231.2448635549736,1070.4894144499303,888.9600362633101
2022-03-02,-1.6186371792015877,115.81552115336936,-1.8443271622698008,12.701699330870271,12.701699330870271,12.701699330870271,2.311488864629034,5.198519387784291,5.198519387784291,5.198519387784291,-1.1420481662488635,2.009620423489578,1.6984905324221546,1.3466924333645105,14.309341605212696,3.0373589827659546,1.8461745751554823,0.4844094053355935,-0.1844830944697414,3.439517947293901,4.782665779058848,14.45225184960587,-1.0874652686766428,-0.4782653971736383,8.296202577587271,2.312797624748291,-2.607566056266963,41.11877281249826,882.9635962764634,700.080672422781
2022-03-03,0.0675127809272257,115.89371143244536,-0.2229103295723075,12.77778738224078,12.77778738224078,12.77778738224078,2.36265443383418,5.139112530781738,5.139112530781738,5.139112530781738,-0.4333576123336081,2.045486396953875,1.7288406578170488,1.3703406778381362,12.22851999680879,3.051144811984618,1.8822698769161663,0.4847477520995845,-0.0837283894112278,3.4452592131448925,4.720208721009166,14.527834153774805,-0.8977177366550013,0.7530176425645283,7.398767448586117,2.514889895575326,-0.8370190903743615,41.901431114654855,888.4706688312536,704.2334948917905
2022-03-04,-1.4981305380787124,114.15747234976308,-2.805748416954549,11.08822890929796,11.08822890929796,11.08822890929796,2.5032567412724105,5.153733423230402,5.153733423230402,5.153733423230402,-1.4429890891774153,1.7096870074697794,1.3920251685106475,1.031913161376674,10.311160558151087,2.905640588998564,1.868786085316552,0.4701482575353112,-0.3503167412334044,3.0324710864176745,3.838923402362576,11.311762331180992,-1.3615902543723917,0.6242743117123072,6.617930396390659,2.018301008385901,-2.1471158347759345,35.55859789475539,717.4126636931256,531.8205349658313
