datetime,symbol,Open,High,Low,Close,Volume
2004-01-13 09:00:00,BMFBOVESPA:VALE3,2.30216265,2.30216265,2.19408897,2.19984425,4673166.74356232
2004-01-14 09:00:00,BMFBOVESPA:VALE3,2.2575268,2.25995627,2.12566343,2.17426489,6974005.65624714
2004-01-15 09:00:00,BMFBOVESPA:VALE3,2.13615189,2.20624033,2.0976536,2.1167111,8875493.0611138
2004-01-16 09:00:00,BMFBOVESPA:VALE3,2.09113175,2.13973322,2.09113175,2.12054796,2223296.73977324
2004-01-19 09:00:00,BMFBOVESPA:VALE3,2.12438481,2.18065998,2.12054796,2.12310619,1430516.73669866
2004-01-20 09:00:00,BMFBOVESPA:VALE3,2.13589537,2.18577545,2.12310619,2.16160348,5090426.54798757
2004-01-21 09:00:00,BMFBOVESPA:VALE3,2.14024427,2.15763886,2.12310619,2.12950128,6103739.58457483
2004-01-22 09:00:00,BMFBOVESPA:VALE3,2.07194649,2.12438481,2.07194649,2.09752684,2396160.14190907
2004-01-23 09:00:00,BMFBOVESPA:VALE3,2.09113175,2.09113175,2.06580792,2.06619121,4363199.42632822
2004-01-26 09:00:00,BMFBOVESPA:VALE3,2.07194649,2.09381775,2.02718287,2.05276222,7945609.14294095
2004-01-27 09:00:00,BMFBOVESPA:VALE3,2.05915631,2.12182657,2.05915631,2.12118776,6568680.04086714
2004-01-28 09:00:00,BMFBOVESPA:VALE3,2.07962019,2.16761428,2.07962019,2.13589537,6675973.52992102
2004-01-29 09:00:00,BMFBOVESPA:VALE3,2.12310619,2.12950128,2.02232193,2.03997205,7283980.98838322
2004-01-30 09:00:00,BMFBOVESPA:VALE3,2.00799761,2.04700694,1.97602317,1.99520843,4279748.26693338
2004-02-02 09:00:00,BMFBOVESPA:VALE3,1.97986002,2.06695878,1.97730179,2.02462464,8565545.78113464
2004-02-03 09:00:00,BMFBOVESPA:VALE3,2.04700694,2.1488133,2.04700694,2.1488133,8499970.85873896
2004-02-04 09:00:00,BMFBOVESPA:VALE3,2.17426489,2.23041231,2.14651059,2.2036811,10544497.21361859
2004-02-05 09:00:00,BMFBOVESPA:VALE3,2.18705507,2.21902951,2.12451257,2.12451257,7009775.16191218
2004-02-06 09:00:00,BMFBOVESPA:VALE3,2.12950128,2.14868554,2.05340203,2.09189932,6151429.25320663
2004-02-09 09:00:00,BMFBOVESPA:VALE3,2.1090364,2.16786981,2.1090364,2.15009292,5728220.38778823
2004-02-10 09:00:00,BMFBOVESPA:VALE3,2.1106993,2.21902951,2.1106993,2.20304229,8738395.15719201
2004-02-11 09:00:00,BMFBOVESPA:VALE3,2.20253024,2.23565654,2.17682313,2.23565654,8833776.4981811
2004-02-12 09:00:00,BMFBOVESPA:VALE3,2.26251451,2.28297839,2.2254246,2.26379313,4387048.76902649
2004-02-13 09:00:00,BMFBOVESPA:VALE3,2.25100395,2.26340984,2.18232288,2.20624033,4238025.69282419
2004-02-16 10:00:00,BMFBOVESPA:VALE3,2.18705507,2.18705507,2.1167111,2.14229045,2104073.06912512
2004-02-17 10:00:00,BMFBOVESPA:VALE3,2.20483295,2.26379313,2.15507963,2.24333024,11998921.40105484
2004-02-18 10:00:00,BMFBOVESPA:VALE3,2.25100395,2.25100395,2.17426489,2.19984425,9817290.1292142
2004-02-19 10:00:00,BMFBOVESPA:VALE3,2.20687914,2.21263442,2.12451257,2.12451257,4756612.89364344
2004-02-20 10:00:00,BMFBOVESPA:VALE3,2.11031601,2.17426489,2.08473666,2.15763886,5716294.21364498
2004-02-25 10:00:00,BMFBOVESPA:VALE3,2.14612731,2.15341773,2.12591995,2.14868554,4691044.98428699
2004-02-26 10:00:00,BMFBOVESPA:VALE3,2.13589537,2.15507963,2.10392193,2.1384536,2193488.31745434
2004-02-27 10:00:00,BMFBOVESPA:VALE3,2.1384536,2.17413813,2.1384536,2.15507963,4226098.5168182
2004-03-01 10:00:00,BMFBOVESPA:VALE3,2.16786981,2.24102853,2.16786981,2.23693516,6097778.5012287
2004-03-02 10:00:00,BMFBOVESPA:VALE3,2.20483295,2.24141182,2.20483295,2.21263442,4792375.38626924
2004-03-03 10:00:00,BMFBOVESPA:VALE3,2.23181869,2.24972533,2.16147572,2.16531257,1710658.59994716
2004-03-04 10:00:00,BMFBOVESPA:VALE3,2.17426489,2.19217054,2.17017252,2.17426489,9775565.55137951
2004-03-05 10:00:00,BMFBOVESPA:VALE3,2.18705507,2.18705507,2.12937252,2.12950128,6729628.28934994
2004-03-08 10:00:00,BMFBOVESPA:VALE3,2.14868554,2.17362608,2.08486442,2.08486442,5698415.97292032
2004-03-09 10:00:00,BMFBOVESPA:VALE3,2.0949686,2.09752684,2.04636714,2.04636714,5609000.7245911
2004-03-10 10:00:00,BMFBOVESPA:VALE3,2.04636714,2.06427278,1.91846938,1.91846938,5018889.540383
2004-03-11 10:00:00,BMFBOVESPA:VALE3,1.94404873,1.95044382,1.88483203,1.88649494,5239435.5981114
2004-03-12 10:00:00,BMFBOVESPA:VALE3,1.8942964,2.01247427,1.8942964,1.94673473,6258715.72922128
2004-03-15 10:00:00,BMFBOVESPA:VALE3,1.94737453,1.97602317,1.90926053,1.91335291,2634582.43663663
2004-03-16 10:00:00,BMFBOVESPA:VALE3,1.91335291,1.93893326,1.9056792,1.90619125,4226098.5168182
2004-03-17 10:00:00,BMFBOVESPA:VALE3,1.91846938,2.0143927,1.91232981,2.00160252,4464533.83576147
2004-03-18 10:00:00,BMFBOVESPA:VALE3,2.0143927,2.02078778,1.98625511,1.99776567,9286776.7542517
2004-03-19 10:00:00,BMFBOVESPA:VALE3,2.00160252,2.03357696,1.99520843,1.99520843,3504854.51948543
2004-03-22 10:00:00,BMFBOVESPA:VALE3,1.99520843,1.99520843,1.9377814,1.9377814,8607264.34779284
2004-03-23 10:00:00,BMFBOVESPA:VALE3,1.95044382,1.97602317,1.92537551,1.93125855,3922108.31273418
2004-03-24 10:00:00,BMFBOVESPA:VALE3,1.93125855,1.94404873,1.89416864,1.8980055,2884925.89619371
2004-03-25 10:00:00,BMFBOVESPA:VALE3,1.86730967,1.89058731,1.8545205,1.85579912,4595674.66378812
2004-03-26 10:00:00,BMFBOVESPA:VALE3,1.86730967,1.98216173,1.86091459,1.95811752,3421400.35450234
2004-03-29 10:00:00,BMFBOVESPA:VALE3,1.9568389,2.00966051,1.9568389,1.99648705,1949094.92075318
2004-03-30 10:00:00,BMFBOVESPA:VALE3,1.99546396,2.05787769,1.99546396,2.02718287,2092146.89498187
2004-03-31 10:00:00,BMFBOVESPA:VALE3,2.02718287,2.0438089,1.99533619,2.04009981,4512220.49880502
2004-04-01 10:00:00,BMFBOVESPA:VALE3,2.04636714,2.05455289,2.02091555,2.04585509,7617778.61292339
2004-04-02 10:00:00,BMFBOVESPA:VALE3,2.04892537,2.10942068,2.04892537,2.10942068,6670013.44843764
2004-04-05 10:00:00,BMFBOVESPA:VALE3,2.09471308,2.10711897,2.07821381,2.07834157,5000991.26240339
2004-04-06 10:00:00,BMFBOVESPA:VALE3,2.08537647,2.10136369,2.07821381,2.09368899,5388453.66499995
2004-04-07 10:00:00,BMFBOVESPA:VALE3,2.08026,2.08026,2.03370472,2.03370472,5400369.82051574
2004-04-08 10:00:00,BMFBOVESPA:VALE3,2.03114749,2.0655514,2.00812537,2.03370472,3105489.98745155
2004-04-12 10:00:00,BMFBOVESPA:VALE3,2.06030817,2.07130768,2.02219416,2.02219416,1901417.27447435
2004-04-13 10:00:00,BMFBOVESPA:VALE3,2.03613519,2.03613519,1.94404873,1.96975584,7850237.82057933
2004-04-14 10:00:00,BMFBOVESPA:VALE3,1.93266593,1.96029147,1.91859714,1.93125855,4118806.02962706
2004-04-15 10:00:00,BMFBOVESPA:VALE3,2.45947362,2.51363673,2.41257598,2.49349026,4254399.13570248
2004-04-16 10:00:00,BMFBOVESPA:VALE3,2.48870218,2.56779884,2.48870218,2.5100035,4174825.18513949
2004-04-19 10:00:00,BMFBOVESPA:VALE3,2.53295674,2.55954322,2.51182011,2.51826112,3936121.36697995
2004-04-20 10:00:00,BMFBOVESPA:VALE3,2.51826112,2.52172866,2.43734584,2.43734584,2283960.53098191
2004-04-22 10:00:00,BMFBOVESPA:VALE3,2.40927313,2.41092506,2.32835886,2.34817494,5578933.82168341
2004-04-23 10:00:00,BMFBOVESPA:VALE3,2.36402741,2.41059467,2.36138434,2.36633911,3393197.91816728
2004-04-26 10:00:00,BMFBOVESPA:VALE3,2.41059467,2.41092506,2.31184562,2.32835886,2915808.31537766
2004-04-27 10:00:00,BMFBOVESPA:VALE3,2.33678017,2.37459573,2.31267108,2.3448721,3037492.56093302
2004-04-28 10:00:00,BMFBOVESPA:VALE3,2.34668771,2.34668771,2.19625294,2.19641863,7699154.91456869
2004-04-29 10:00:00,BMFBOVESPA:VALE3,2.20450956,2.2903786,2.18139162,2.19658332,5026651.97294869
2004-04-30 10:00:00,BMFBOVESPA:VALE3,2.22927942,2.25404928,2.15183268,2.15183268,2639669.89566716
2004-05-03 10:00:00,BMFBOVESPA:VALE3,2.16322745,2.17148308,2.1318519,2.16322745,3032817.86935436
2004-05-04 10:00:00,BMFBOVESPA:VALE3,2.16322745,2.27881914,2.16322745,2.24248981,4123345.46973485
2004-05-05 10:00:00,BMFBOVESPA:VALE3,2.2623059,2.2796456,2.25735113,2.2623059,2246514.90894073
2004-05-06 10:00:00,BMFBOVESPA:VALE3,2.26197551,2.26197551,2.1883267,2.1883267,3865919.84241747
2004-05-07 10:00:00,BMFBOVESPA:VALE3,2.14671322,2.2210228,2.14671322,2.14687891,4413537.018201
2004-05-10 10:00:00,BMFBOVESPA:VALE3,2.10708204,2.19460201,2.10064203,2.14671322,6622664.4131399
2004-05-11 10:00:00,BMFBOVESPA:VALE3,2.19460201,2.2623059,2.19295009,2.23439888,4970494.56037714
2004-05-12 10:00:00,BMFBOVESPA:VALE3,2.22927942,2.26197551,2.21342695,2.2210228,3968893.29930521
2004-05-13 10:00:00,BMFBOVESPA:VALE3,2.22201395,2.37789758,2.22201395,2.36138434,4170141.4767961
2004-05-14 10:00:00,BMFBOVESPA:VALE3,2.37789758,2.43404299,2.29252461,2.30193807,5616380.44558733
2004-05-17 10:00:00,BMFBOVESPA:VALE3,2.2623059,2.28856199,2.20830748,2.2623059,3177905.62868546
2004-05-18 10:00:00,BMFBOVESPA:VALE3,2.27881914,2.44428192,2.27881914,2.41257598,4099938.95037087
2004-05-19 10:00:00,BMFBOVESPA:VALE3,2.44395054,2.53708505,2.44395054,2.47697702,7380888.16633637
2004-05-20 10:00:00,BMFBOVESPA:VALE3,2.47697702,2.51264558,2.44411623,2.47681232,3074944.19415068
2004-05-21 10:00:00,BMFBOVESPA:VALE3,2.47697702,2.51182011,2.47697702,2.49514218,3042178.2730019
2004-05-24 10:00:00,BMFBOVESPA:VALE3,2.52651674,2.55954322,2.49349026,2.53477336,2447770.09947085
2004-05-25 10:00:00,BMFBOVESPA:VALE3,2.55871676,2.55954322,2.51016819,2.51826112,3884646.66088905
2004-05-26 10:00:00,BMFBOVESPA:VALE3,2.51826112,2.62526579,2.51826112,2.60908294,4600742.0855637
2004-05-27 10:00:00,BMFBOVESPA:VALE3,2.63715565,2.71311515,2.61172502,2.65862166,9192189.89042118
2004-05-28 10:00:00,BMFBOVESPA:VALE3,2.65449435,2.65465904,2.57275361,2.5925697,6023570.52753997
2004-05-31 10:00:00,BMFBOVESPA:VALE3,2.5925697,2.60908294,2.54633283,2.59438631,837707.53611222
2004-06-01 10:00:00,BMFBOVESPA:VALE3,2.60082632,2.62559618,2.58546892,2.5925697,5265366.81159844
2004-06-02 10:00:00,BMFBOVESPA:VALE3,2.61733956,2.63698995,2.54137905,2.54137905,3697432.57676162
2004-06-03 10:00:00,BMFBOVESPA:VALE3,2.54798375,2.54798375,2.4687214,2.4687214,3056217.3756791
2004-06-04 10:00:00,BMFBOVESPA:VALE3,2.5100035,2.55954322,2.50587519,2.53493905,2003130.38802605
2004-06-07 10:00:00,BMFBOVESPA:VALE3,2.58431308,2.67348398,2.55756191,2.65053073,3346403.91483152
2004-06-08 10:00:00,BMFBOVESPA:VALE3,2.62559618,2.63550372,2.61321025,2.62245802,2129507.35868953
2004-06-09 10:00:00,BMFBOVESPA:VALE3,2.60924763,2.60941332,2.50174688,2.50174688,1287030.95590041
2004-06-11 10:00:00,BMFBOVESPA:VALE3,2.5100035,2.5512866,2.5100035,2.51165542,407118.94969758
2004-06-14 10:00:00,BMFBOVESPA:VALE3,2.4621157,2.51826112,2.44395054,2.44395054,1745717.78492439
2004-06-15 10:00:00,BMFBOVESPA:VALE3,2.46839001,2.48490325,2.32835886,2.35164248,7717876.72372653
2004-06-16 10:00:00,BMFBOVESPA:VALE3,2.22927942,2.37624665,2.22927942,2.2796456,8719478.9866612
2004-06-17 10:00:00,BMFBOVESPA:VALE3,2.31184562,2.36138434,2.31184562,2.33843209,4184186.59064978
2004-06-18 10:00:00,BMFBOVESPA:VALE3,2.32010224,2.38450327,2.31514846,2.35477964,2639669.89566716
2004-06-21 10:00:00,BMFBOVESPA:VALE3,2.37773288,2.39441182,2.30375369,2.30375369,2494567.10839485
2004-06-22 10:00:00,BMFBOVESPA:VALE3,2.31250539,2.3448721,2.31184562,2.32835886,2007814.09636944
2004-06-23 10:00:00,BMFBOVESPA:VALE3,2.33661548,2.40266744,2.32010224,2.40266744,5920609.0930052
2004-06-24 10:00:00,BMFBOVESPA:VALE3,2.40266744,2.47367517,2.40200667,2.46046478,5092183.81524624
2004-06-25 10:00:00,BMFBOVESPA:VALE3,2.46046478,2.51826112,2.43585961,2.51330635,4413537.018201
2004-06-28 10:00:00,BMFBOVESPA:VALE3,2.46376663,2.50240765,2.37459573,2.3861552,7596172.44091621
2004-06-29 10:00:00,BMFBOVESPA:VALE3,2.39441182,2.43486846,2.37806327,2.3861552,5017304.59351685
