datetime,symbol,Open,High,Low,Close,Volume
2020-02-06 10:00:00,BMFBOVESPA:LWSA3,4.89710583,5.3843434,4.86742665,5.09496895,87896025.29548322
2020-02-07 10:00:00,BMFBOVESPA:LWSA3,5.07023609,5.44122898,5.00345738,5.02077013,12606306.45418356
2020-02-10 10:00:00,BMFBOVESPA:LWSA3,5.09496895,5.09496895,4.79817465,4.99603776,12277998.27108606
2020-02-11 10:00:00,BMFBOVESPA:LWSA3,5.03313681,5.06776281,4.8229075,4.99603776,13338530.7393924
2020-02-12 10:00:00,BMFBOVESPA:LWSA3,5.03808362,5.42144269,5.02077013,5.42144269,9659214.89433417
2020-02-13 10:00:00,BMFBOVESPA:LWSA3,5.27304554,5.60199256,5.17906092,5.44122898,4444290.08449231
2020-02-14 10:00:00,BMFBOVESPA:LWSA3,5.44370227,5.70587057,5.44122898,5.54016042,4914919.05632173
2020-02-17 10:00:00,BMFBOVESPA:LWSA3,5.59209967,5.84190154,5.59209967,5.7627559,2929301.46125789
2020-02-18 10:00:00,BMFBOVESPA:LWSA3,5.7627559,5.98535212,5.71329043,5.83695472,3321896.59153828
2020-02-19 10:00:00,BMFBOVESPA:LWSA3,5.8765273,5.94577955,5.61435924,5.93588616,6304568.34857065
2020-02-20 10:00:00,BMFBOVESPA:LWSA3,6.02245117,6.34397833,5.78501547,6.30687904,1852191.85562766
2020-02-21 10:00:00,BMFBOVESPA:LWSA3,6.15848189,6.26483318,5.98040531,6.08428331,6803499.74997744
2020-02-26 10:00:00,BMFBOVESPA:LWSA3,5.68855757,5.85921454,5.20626657,5.41649612,7942066.05983282
2020-02-27 10:00:00,BMFBOVESPA:LWSA3,5.32498479,5.32498479,4.96141127,5.14938124,6394327.48237317
2020-02-28 10:00:00,BMFBOVESPA:LWSA3,5.09249567,5.31014458,4.89710583,5.26809872,5085946.59505356
2020-03-02 10:00:00,BMFBOVESPA:LWSA3,5.1914271,5.93588616,5.1568011,5.93588616,2828221.35562443
2020-03-03 10:00:00,BMFBOVESPA:LWSA3,5.95319916,6.18321475,5.60446585,6.05707717,3314618.82393267
2020-03-04 10:00:00,BMFBOVESPA:LWSA3,6.21536722,6.29451286,5.60199256,5.98287884,7564835.10560872
2020-03-05 10:00:00,BMFBOVESPA:LWSA3,5.88642019,5.88642019,5.40907651,5.44122898,3682146.08801596
2020-03-06 10:00:00,BMFBOVESPA:LWSA3,5.1568011,5.1568011,4.85753326,4.92183894,8689654.52109795
2020-03-09 10:00:00,BMFBOVESPA:LWSA3,4.10565459,4.66956353,4.10565459,4.32825032,4256685.40843659
2020-03-10 10:00:00,BMFBOVESPA:LWSA3,4.69924321,4.89710583,4.4815943,4.69924321,2374978.16196396
2020-03-11 10:00:00,BMFBOVESPA:LWSA3,4.67451035,4.76107536,4.3331969,4.76107536,2049500.22182419
2020-03-12 10:00:00,BMFBOVESPA:LWSA3,4.10318131,4.57557891,3.63573027,3.97951701,1175763.7887285
2020-03-13 10:00:00,BMFBOVESPA:LWSA3,4.86000679,4.86000679,3.87069243,4.33814372,6616299.39434426
2020-03-16 10:00:00,BMFBOVESPA:LWSA3,3.74950142,3.79649386,3.40076811,3.73466171,22172931.97175747
2020-03-17 10:00:00,BMFBOVESPA:LWSA3,3.94241772,3.94241772,3.6134707,3.70992885,1947611.47534566
2020-03-18 10:00:00,BMFBOVESPA:LWSA3,3.34388254,3.46260026,2.75771378,2.96794308,5007912.75350452
2020-03-19 10:00:00,BMFBOVESPA:LWSA3,2.96794308,3.16580595,2.68846177,2.99514922,8869172.78870299
2020-03-20 10:00:00,BMFBOVESPA:LWSA3,3.14107309,3.32656954,2.84427878,2.87148493,2865823.15492008
2020-03-23 10:00:00,BMFBOVESPA:LWSA3,2.87395822,2.87395822,2.40403389,2.52275162,5436088.08096789
2020-03-24 10:00:00,BMFBOVESPA:LWSA3,2.79975964,3.26473739,2.62168305,3.26473739,3515566.07393201
