,SANTANDER FI PETROBRAS ACOES,Close
2022-01-04,1.0968380728863414,101.09683807288634
2022-01-05,-4.065144362422057,96.98710565937945
2022-01-06,-0.0990728061810886,96.89101781216888
2022-01-07,0.7459948016596663,97.6138197683228
2022-01-10,-0.4081132896076145,97.21544479735465
2022-01-11,3.91232473854235,101.01882869384553
2022-01-12,3.259715252417794,104.31175486059261
2022-01-13,2.3414396337992915,106.75415163161009
2022-01-14,2.3926064077555376,109.30835830409305
2022-01-17,-0.2363761115589557,109.0499794571249
2022-01-18,0.3605427404652861,109.44315124153646
2022-01-19,-0.8483767801990338,108.51466095888514
2022-01-20,0.6537630331711508,109.22408969780534
2022-01-21,0.3065031982724786,109.55886502601311
2022-01-24,0.241679341723433,109.82364616980765
2022-01-25,3.3019198796387927,113.4499349752327
2022-01-26,2.877976486433198,116.71499742769365
2022-01-27,0.3072843412255777,117.07364433865078
2022-01-28,-3.168613179290458,113.36403341466065
2022-01-31,-1.518795919473559,111.64226510100815
2022-02-01,2.7654820344609643,114.72971188524181
2022-02-02,-1.731544087529202,112.74311634245362
2022-02-03,-1.1319234414587598,111.46695057994226
2022-02-04,1.7715962357973236,113.44169488057459
2022-02-07,-1.2553475131110936,112.01760738506022
2022-02-08,-1.359295196286492,110.49495742888003
2022-02-09,0.1353583363436383,110.64452156499937
2022-02-10,1.6738036679512458,112.49649362534143
2022-02-11,4.407218736809848,117.45446017065157
2022-02-14,-2.5240304882848896,114.4898737860939
2022-02-15,-1.9811435940267352,112.2216649857714
2022-02-16,2.0354718831040675,114.50590542330802
2022-02-17,-0.4608316681523949,113.97822594921278
2022-02-18,-0.4036143906903655,113.51819342702818
2022-02-21,2.674116864373599,116.55380258159258
2022-02-22,-1.3164388642930125,115.01944302659714
2022-02-23,0.2957081366538716,115.35956487836076
2022-02-24,-1.7481768274370868,113.342875696925
2022-02-25,1.838847390966225,115.427078209524
2022-03-02,2.922336475834997,118.8002458190315
2022-03-03,-0.8918128647950052,117.74076994340929
2022-03-04,-0.551787214394095,117.0910914287324
2022-03-07,-7.546453425896415,108.25486674818931
2022-03-08,1.6965578840154594,110.09147322483615
2022-03-09,0.0324753558044399,110.12722582247626
2022-03-10,2.9322021464686765,113.35637870188931
2022-03-11,-2.612313301713798,110.39515494271879
2022-03-14,-1.3993112398321572,108.8503831313752
2022-03-15,-1.9786828446563096,106.69657927401201
2022-03-16,-0.1078026981017332,106.58155748277237
2022-03-17,-2.647690151833859,103.75960808162986
2022-03-18,1.0974721174892732,104.8983408495419
2022-03-21,3.42379052397479,108.4898403033553
2022-03-22,-0.6078985374407542,107.83033215087939
2022-03-23,1.0419203307170832,108.95383830423916
2022-03-24,1.597456847274925,110.69432885459908
2022-03-25,-0.0120797631219415,110.68095724188402
2022-03-28,-2.543723880533555,107.86553930131907
2022-03-29,1.4255806308417718,109.4032495369517
2022-03-30,1.838746894663812,111.41489839047371
2022-03-31,0.5737947359480078,112.05419121250007
2022-04-01,-0.3003323979440586,111.71765617303475
2022-04-04,-1.010480015137627,110.58877158402608
2022-04-05,-0.2913696431635082,110.2665494748828
2022-04-06,0.2265460185172152,110.51635395247446
2022-04-07,5.038604406072644,116.08483583215468
2022-04-08,0.9639457754139658,117.20383070305498
2022-04-11,-1.2133844893379986,115.78169760039414
2022-04-12,0.0210308010256454,115.80604741884059
2022-04-13,2.3836617790352177,118.56647190897489
2022-04-14,0.1075672061092491,118.69401055018969
2022-04-18,-1.6649589501610218,116.71780399822924
2022-04-19,1.8210656314896931,118.84331181267049
2022-04-20,0.9499876011650032,119.97230853970473
2022-04-22,-4.396894395352858,114.69725282954701
2022-04-25,-0.7843484728661254,113.79762667855906
