,ITAU ACOES PETROBRAS - FUNDO DE INVESTIMENTO,Close
2022-01-04,1.2656666251663171,101.26566662516632
2022-01-05,-4.100855752464849,97.11290771009631
2022-01-06,-0.0996791495201487,97.0161063896166
2022-01-07,0.814650658252436,97.80644873893048
2022-01-10,-0.3581352655839365,97.4561693539811
2022-01-11,4.1269473721905925,101.47813417417284
2022-01-12,3.305672339102084,104.83266878580537
2022-01-13,2.415306981805565,107.36469955420203
2022-01-14,2.092584823448962,109.61139696281484
2022-01-17,-0.3212354510411352,109.25928629738885
2022-01-18,0.3447988635244314,109.63601107483716
2022-01-19,-0.9278329760460612,108.6187720104633
2022-01-20,0.6385583417364282,109.3123662398278
2022-01-21,0.3446400881065958,109.68910047514814
2022-01-24,0.1701314325403879,109.87571611312717
2022-01-25,3.312196220966679,113.51501542998625
2022-01-26,2.926838778765717,116.83741692131298
2022-01-27,0.3764007073445041,117.27719378504784
2022-01-28,-2.9847989879399184,113.7767052918674
2022-01-31,-1.729315124518227,111.8091475190766
2022-02-01,2.941941071957888,115.0985067521463
2022-02-02,-1.7916223592789329,113.03637616997868
2022-02-03,-1.067753436440555,111.82942637899586
2022-02-04,1.7807624538229705,113.82084281627863
2022-02-07,-1.1994320208483231,112.45563918114074
2022-02-08,-1.439233859107247,110.83713954557028
2022-02-09,0.0824939893464993,110.92857352365897
2022-02-10,1.7094174680971186,112.82480593658335
2022-02-11,4.486875241431032,117.88711422034451
2022-02-14,-2.581446925780373,114.84392093441224
2022-02-15,-2.0708339054372416,112.4656940813689
2022-02-16,2.190122153930973,114.9288301630172
2022-02-17,-0.4711774577023431,114.38731142288805
2022-02-18,-0.639624404760808,113.6556622630775
2022-02-21,2.6983872385419216,116.7225321494647
2022-02-22,-1.548954268742997,114.91455350515065
2022-02-23,0.0243618414099477,114.94254880643253
2022-02-24,-1.5727971498156967,113.13473567487944
2022-02-25,1.8432642353987785,115.22010779538743
2022-03-02,3.1557327840078475,118.85614651085565
2022-03-03,-0.8024810252551196,117.90234848775661
2022-03-04,-0.6742460094330438,117.10739660805007
2022-03-07,-7.650574819677047,108.14800761117526
2022-03-08,1.606131927327481,109.8850072901869
2022-03-09,-0.0320785246477939,109.84975780103909
2022-03-10,2.791228895623532,112.91591598255415
2022-03-11,-2.3572737154254564,110.25417877456552
2022-03-14,-1.266009361608844,108.85835054971457
2022-03-15,-1.8634129999100413,106.82986989408354
2022-03-16,0.0855994681257188,106.92131569451227
2022-03-17,-2.6367507646860244,104.10206708532486
2022-03-18,0.8782563682478983,105.01635011897943
2022-03-21,3.3409718526439924,108.5249168171286
2022-03-22,-0.6444789814754825,107.82549653857845
2022-03-23,0.9651294051541192,108.8661521119257
2022-03-24,1.711315704200711,110.72919566957611
2022-03-25,0.0825327687154375,110.82058354053855
2022-03-28,-2.629155318092502,107.90693827484134
2022-03-29,1.228059465417397,109.23209964416763
2022-03-30,1.7632384177387328,111.15812198959625
2022-03-31,0.3667848317963074,111.56583312036373
2022-04-01,-0.0314882097238955,111.53070303685058
2022-04-04,-1.0240235898346772,110.38860232784477
2022-04-05,-0.1177354621154869,110.25863579677124
2022-04-06,0.3125678391014963,110.603268832104
2022-04-07,5.000336488486523,116.13380444097454
2022-04-08,1.0860611083692184,117.39508852467753
2022-04-11,-1.3230446876866808,115.84189904234671
2022-04-12,0.1059502707295934,115.96463384800037
2022-04-13,2.450631570740014,118.80649977597253
2022-04-14,0.4020768844321454,119.28419324877464
2022-04-18,-1.6730104453362982,117.2885562360875
2022-04-19,1.5837584751164702,119.14612368581828
2022-04-20,1.0843289104435885,120.43805955061649
2022-04-22,-4.594538295187767,114.90448678258237
2022-04-25,-0.6356055059127952,114.17414753805143
2022-04-26,-0.1415274364106711,114.01255979399708
