,MB FUNDO DE INVESTIMENTO EM ACOES INSTITUICOES FINANCEIRAS,Close
2022-01-04,1.280130934398116,101.28013093439812
2022-01-05,1.136873798905591,102.43155820648856
2022-01-06,0.9009309473447358,103.35439581421825
2022-01-07,0.5897139242847738,103.9638910776951
2022-01-10,-0.8556633737101804,103.0743101398593
2022-01-11,1.3352226929644218,104.45058171946323
2022-01-12,-0.8501547349551997,103.56259015328696
2022-01-13,0.3240272311819003,103.89816114670091
2022-01-14,0.3313470740542668,104.24242466365669
2022-01-17,-2.105565762212025,102.04753186023908
2022-01-18,1.7162803605307309,103.7989536079627
2022-01-19,0.2646642535401922,104.07367233371174
2022-01-20,1.2257421742959629,105.34934722784463
2022-01-21,-1.5574017266455686,103.70863467510834
2022-01-24,0.2724211699103529,103.99115895098832
2022-01-25,-0.6126943321781986,103.3540110141292
2022-01-26,2.107693259919352,105.5323965381303
2022-01-27,2.9379019559697905,108.63283488020582
2022-01-28,1.0470143784406138,109.77023628110922
2022-01-31,-0.8420176378970301,108.84595153046104
2022-02-01,-0.7437638027331772,108.03639474223696
2022-02-02,1.8637792466691168,110.0499546462923
2022-02-03,-1.9738528077423376,107.8777305265873
2022-02-04,-1.389149332426809,106.37914775314002
2022-02-07,-1.5657790600250188,104.71348533338828
2022-02-08,-0.9306379790507302,103.73898186968805
2022-02-09,-0.444075008167244,103.27830297747761
2022-02-10,0.8636520931827985,104.17026820294626
2022-02-11,-1.4015657969208228,102.71025335325308
2022-02-14,2.064184194441099,104.83038216904134
2022-02-15,2.0413743588769018,106.97036271095281
2022-02-16,-1.0442451011282716,105.85332993868454
2022-02-17,2.293887424505181,108.281486162568
2022-02-18,1.682500440546364,110.10332264428335
2022-02-21,0.4553837820625794,110.60471531911746
2022-02-22,1.8804518505777468,112.68458373516205
2022-02-23,1.281954285194975,114.12914858510908
2022-02-24,-2.912129665332097,110.80555979237117
2022-02-25,-1.2821030154285262,109.38491836901072
2022-03-02,1.4579481841594966,110.97969380011605
2022-03-03,-2.474158710031671,108.233880039594
2022-03-04,-3.74238385614234e-05,108.23383953432146
2022-03-07,-1.5966321084321944,106.5057433001275
2022-03-08,0.2483943077464356,106.77029750390805
2022-03-09,3.18698865510132,110.17305477237554
2022-03-10,-1.0803397374229973,108.98281148173676
2022-03-11,-0.6043991795053993,108.32412026333922
2022-03-14,-0.487274830841744,107.79628408956523
2022-03-15,0.1104701711323041,107.91536682907324
2022-03-16,-0.0904819638114062,107.817722885912
2022-03-17,0.2727052133893126,108.11174743717953
2022-03-18,0.1524939034752925,108.27661126096183
2022-03-21,0.4078145437228286,108.71817902913426
2022-03-22,0.1821666168034807,108.91622725772199
2022-03-23,-0.3196080901715303,108.56812218389669
2022-03-24,-0.0632788180566668,108.4994215593924
2022-03-25,-0.0776633773478141,108.41515724420654
2022-03-28,0.1879543270272066,108.61892822340037
2022-03-29,0.6691218751263106,109.3457212326709
2022-03-30,-0.4565145742518428,108.84654207892297
2022-03-31,-0.5737360768798383,108.22205019857999
2022-04-01,0.0074234895396374,108.23008405115607
2022-04-04,-0.003117770260852,108.22670968578223
2022-04-05,-0.4338097278315689,107.75721169105327
2022-04-06,0.0759207320016441,107.83902175495368
2022-04-07,-0.3639925539676625,107.44649574549408
2022-04-08,-0.2339286193850265,107.19514764141906
2022-04-11,-0.0537723073394502,107.13750633717633
2022-04-12,0.3996493349713859,107.56568066875778
2022-04-13,0.4500293477493144,108.0497577998735
2022-04-14,-0.430969926066993,107.58409583856782
