,BB ACOES BB SEGURIDADE FUNDO DE INVESTIMENTO EM ACOES,Close
2022-01-04,-0.2469291601575607,99.75307083984244
2022-01-05,-1.2140585714773169,98.5420101329995
2022-01-06,0.6767680121026576,99.2089109360626
2022-01-07,-3.1039000442286024,96.12956550563943
2022-01-10,-2.4556038765212507,93.76900416859992
2022-01-11,0.098987852335064,93.8618240919824
2022-01-12,-0.9252663585678,92.9933522101212
2022-01-13,0.1494961641397285,93.13237370458027
2022-01-14,1.3862630504849929,94.42343338928647
2022-01-17,1.105266887652534,95.4670643327229
2022-01-18,3.197283300020781,98.51941683765314
2022-01-19,1.7974646382264758,100.29026851709689
2022-01-20,-0.6271771043977803,99.6612709150186
2022-01-21,0.3309983214391465,99.99114804887223
2022-01-24,1.466843753510272,101.45786195809032
2022-01-25,0.9401640131486256,102.41173226473029
2022-01-26,0.0411327291730767,102.4538570052042
2022-01-27,5.85320381943224,108.45069007658846
2022-01-28,1.2798347353074837,109.8386796788693
2022-01-31,2.006490974963282,112.04258287364463
2022-02-01,-0.2223478104427134,111.79345864386163
2022-02-02,-1.2500589653930527,110.39597449136106
2022-02-03,0.5596986687664396,111.01385929096095
2022-02-04,-0.4404861480874267,110.524858618327
2022-02-07,5.685364820318384,116.80860004792
2022-02-08,-0.1703014789683377,116.60967327447618
2022-02-09,0.693110956262788,117.41790769600381
2022-02-10,0.3510150029250924,117.83006216813752
2022-02-11,-2.7444519273573165,114.59627275595774
2022-02-14,2.551582475791059,117.52029116950848
2022-02-15,-0.9414302749105152,116.41391956927573
2022-02-16,-0.2541655447155455,116.11803549647777
2022-02-17,0.3803131806833004,116.55964769062139
2022-02-18,0.0355945228776688,116.60113654108476
2022-02-21,-0.2529613589660751,116.30618072152053
2022-02-22,0.1594357320843453,116.49161433221323
2022-02-23,-0.6243933397492962,115.76424845095646
2022-02-24,-0.4820797602502313,115.2061724395686
2022-02-25,0.5978480408813658,115.89493028447298
2022-03-02,0.2102974419841308,116.13865435825052
2022-03-03,-0.096654035249899,116.02640166232834
2022-03-04,-2.2778244436057915,113.38352392422759
