,BRADESCO H FUNDO DE INVESTIMENTO ACOES PETROBRAS,Close
2022-01-04,1.2589726297459247,101.25897262974593
2022-01-05,-4.09794688540085,97.10943371467636
2022-01-06,-0.1039364591634672,97.00850160775963
2022-01-07,0.808876282707871,97.79318036947508
2022-01-10,-0.361959732184447,97.43920843571507
2022-01-11,4.116447720261052,101.45024251000748
2022-01-12,3.297443049572246,104.79550648042792
2022-01-13,2.406769897646255,107.31769318448478
2022-01-14,2.084684621529509,109.55492863048195
2022-01-17,-0.3233360750283021,109.2006980242481
2022-01-18,0.3409900712165958,109.57306156221
2022-01-19,-0.9293839348199272,108.55470713116047
2022-01-20,0.6340006270394216,109.24294465505284
2022-01-21,0.3406940636657474,109.61512888246627
2022-01-24,0.1666570481291929,109.7978102205648
2022-01-25,3.3032402117900483,113.42469563943541
2022-01-26,2.91804292373945,116.73447694431496
2022-01-27,0.3721956221616862,117.16895755705505
2022-01-28,-2.971048407380905,113.68781110961136
2022-01-31,-1.7288266088385185,111.72234598014232
2022-02-01,2.933676452294365,114.9999181361126
2022-02-02,-1.7910017432028136,112.94026759761302
2022-02-03,-1.0692259561607576,111.73268094150193
2022-02-04,1.7737958207934668,113.71459056650278
2022-02-07,-1.2001433818386031,112.34985243363403
2022-02-08,-1.4394208992467017,110.73266517743147
2022-02-09,0.0790127817767549,110.8201581365237
2022-02-10,1.7028571184881658,112.70726708807133
2022-02-11,4.47470494615243,117.7505847431345
2022-02-14,-2.579611322853648,114.71307732637422
2022-02-15,-2.0697734443766658,112.33877651464566
2022-02-16,2.184992821809173,114.79337071759892
2022-02-17,-0.473716910929467,114.2495751078837
2022-02-18,-0.641555371978686,113.51660082131625
2022-02-21,2.689890645067328,116.57007324740725
2022-02-22,-1.5491171633955192,114.76426623534894
2022-02-23,0.0212573479660749,114.78866207476331
2022-02-24,-1.5721170637395976,112.98404993104756
2022-02-25,1.836402836387108,115.05889222864634
2022-03-02,3.147840747542663,118.68076292189087
2022-03-03,-0.8033459701596524,117.72734579560313
2022-03-04,-0.6763335204003518,116.93111629330983
2022-03-07,-7.63725909302595,108.00078398162228
