,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PRE-SAL,Close
2022-01-04,0.3747525070671775,100.37475250706717
2022-01-05,-3.859407694707817,96.50088158526549
2022-01-06,-0.0729404604717376,96.43049339787791
2022-01-07,0.4584161346795845,96.87254633836491
2022-01-10,-0.60307659482568,96.28833068458657
2022-01-11,2.9519382361275603,99.13070273499383
2022-01-12,3.0390580750725205,102.1433423613378
2022-01-13,2.0063210742988336,104.19266576512653
2022-01-14,3.714903643779533,108.06332290218624
2022-01-17,0.1589623015595398,108.23510284741327
2022-01-18,0.4388104783540569,108.71004981996501
2022-01-19,-0.4737020580997786,108.19508807660654
2022-01-20,0.7254670019097631,108.98000773828953
2022-01-21,0.1551966296195139,109.14914103725845
2022-01-24,0.5628418171436778,109.76347804606927
2022-01-25,3.242468361261474,113.32252409393325
2022-01-26,2.657908916656604,116.33453356640624
2022-01-27,0.0277878739784798,116.36686045998712
2022-01-28,-3.94700218017352,111.77385794063196
2022-01-31,-0.5854810839151958,111.11944314562732
2022-02-01,2.0021889903990564,113.3442644024818
2022-02-02,-1.4515677086923915,111.69899566076045
2022-02-03,-1.380201707467188,110.15732421542693
2022-02-04,1.7365691475669245,112.07028232153729
2022-02-07,-1.4667754499822716,110.42646293371916
2022-02-08,-0.99271102670494,109.33024725977589
2022-02-09,0.3738378088009364,109.73896506048848
2022-02-10,1.5261880384481286,111.41378801875842
2022-02-11,4.0571457336114,115.93400776601634
2022-02-14,-2.246907634800599,113.3290776941914
2022-02-15,-1.5744800340295797,111.54473399314648
2022-02-16,1.3790598259212803,113.08300260757672
2022-02-17,-0.3960368453020946,112.63515225147678
2022-02-18,0.6066834767147977,113.31849110915904
2022-02-21,2.5688065231692425,116.22942390072808
2022-02-22,-0.3266536944939502,115.84975619346731
2022-02-23,1.4164757435124242,117.49073988886606
2022-02-24,-2.420464291058566,114.64691848455556
2022-02-25,1.819992656709979,116.73348398211874
2022-03-02,1.963605152068082,119.0256686877802
2022-03-03,-1.2380647330232808,117.55205386051166
2022-03-04,-0.0308236618510204,117.51582001293077
2022-03-07,-7.085997721026882,109.18865168496845
2022-03-08,2.06616149082659,111.44466555843604
2022-03-09,0.3047161740450166,111.78425547950297
2022-03-10,3.487417696401196,115.68263938688548
2022-03-11,-3.5829923346101578,111.53773928517866
2022-03-14,-1.9071100243614916,109.41059187832484
2022-03-15,-2.4108827520428977,106.77283078982225
2022-03-16,-0.8672722325930304,105.84681967642858
2022-03-17,-2.658870820826132,103.03248947327957
2022-03-18,1.9906583153775916,105.08351429251995
2022-03-21,3.744396837342623,109.01825807825755
2022-03-22,-0.4410916367731055,108.53738765931863
2022-03-23,1.352244984454809,110.00507904020003
2022-03-24,1.1471707970390763,111.26702518220895
2022-03-25,-0.3707286352474082,110.85452645827056
2022-03-28,-2.161365101417368,108.45855541006001
2022-03-29,2.208356767359376,110.85370725823829
2022-03-30,2.1306276372777155,113.21558698202925
2022-03-31,1.3902108053170714,114.78952230555657
2022-04-01,-1.3131782801048095,113.28213123080394
2022-04-04,-0.9378146398989816,112.21975481973189
2022-04-05,-0.9467490177338612,111.15731539327273
2022-04-06,-0.0943893068536816,111.05239477375585
2022-04-07,5.181052552734888,116.80607770805476
2022-04-08,0.4971914294900958,117.38682751554275
2022-04-11,-0.7567526363142618,116.4984996036332
2022-04-12,-0.2935527126444848,116.15651509785661
2022-04-13,2.117447800254313,118.61606867164825
2022-04-14,-1.039294280773595,117.38329865386532
2022-04-18,-1.5939148752504462,115.51230879556171
2022-04-19,2.7280845745496274,118.66358227351957
2022-04-20,0.4259490656044251,119.16902869342636
2022-04-22,-3.5311536610773357,114.96098717384812
2022-04-25,-1.330240329062904,113.43172975977276
2022-04-26,-0.1512723992035836,113.26013886070703
2022-04-27,-0.0019473210704168,113.2579333221586
2022-04-28,0.596559517411066,113.93358430261502
2022-04-29,0.0575765419562168,113.99918332058323
2022-05-02,-0.8947696301246588,112.97915324964052
2022-05-03,0.8085863988817943,113.89268731638893
2022-05-04,5.412257196747339,120.05685248223914
2022-05-05,-0.1714256620961807,119.85104422797963
2022-05-06,2.9669289086418527,123.40693950648868
2022-05-09,-2.4729850763035577,120.35510430937026
