,ITAU UNIBANCO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close
2022-01-04,2.7628880850833597,102.76288808508336
2022-01-05,-1.8757050437889444,100.83535941012826
2022-01-06,1.9752242680025625,102.82708389992472
2022-01-07,2.1626397678311537,105.0508633084456
2022-01-10,0.8930135634324321,105.98898176629288
2022-01-11,2.1874074869228988,108.30739268876212
2022-01-12,-0.4174470173884392,107.8552667083717
2022-01-13,1.7980427579796343,109.7945505205212
2022-01-14,-0.7464212604633369,108.97502065260586
2022-01-17,-0.0150725162282205,108.9585953749333
2022-01-18,0.5739891653864015,109.58400590714263
2022-01-19,-0.6652473299824768,108.85500123375752
2022-01-20,-0.7975936739389677,107.98678063015089
2022-01-21,0.0297066830776904,108.0188599208385
2022-01-24,-0.1438605544848203,107.86346339000819
2022-01-25,3.5426627370813035,111.68470211445134
2022-01-26,1.053657587787682,112.86147645267833
2022-01-27,0.3591948944415168,113.26686911388767
2022-01-28,1.3081311461583534,114.74854830704484
2022-01-31,2.1274588710429088,117.18977647739602
2022-02-01,0.6842722857129058,117.99167363951975
2022-02-02,-1.5586235411993776,116.15262763751905
2022-02-03,1.1194561605258446,117.4529053832199
2022-02-04,0.3004100086008598,117.80574566638359
2022-02-07,-0.5525418909118063,117.1548195716758
2022-02-08,1.0739032901352807,118.41294903360809
2022-02-09,-3.913358286790225,113.7790260799687
2022-02-10,1.8672103150197072,115.90351979126284
2022-02-11,5.777528695355172,122.5998789061297
2022-02-14,-0.2319696696630679,122.31548437202383
2022-02-15,0.921425762514283,123.44253075657178
2022-02-16,-1.0349129841553673,122.16500797780203
2022-02-17,-1.3935200349608934,120.46261411591979
2022-02-18,0.360413474052268,120.89677760838916
2022-02-21,-2.4162757041175653,117.9755781439766
2022-02-22,0.8943382234390951,119.03067883364145
2022-02-23,-1.3889910472348,117.37735336117936
2022-02-24,-1.6721722528245997,115.41460182717384
2022-02-25,1.998356459666084,117.72099697818506
2022-03-02,-1.6186371792015877,115.81552115336937
2022-03-03,0.0675127809272257,115.89371143244537
2022-03-04,-1.4981305380787124,114.15747234976308
2022-03-07,-2.1327245532404504,111.72280790760101
2022-03-08,-0.9423252373226498,110.67001569284218
2022-03-09,4.8702783798260985,116.05995354008083
2022-03-10,0.0670956111083365,116.1378246751606
2022-03-11,-1.114368531750276,114.8436213035213
2022-03-14,1.3569907926636704,116.40203867057161
2022-03-15,-0.3723144324860872,115.96865708089304
2022-03-16,1.9401906529290749,118.2186701259039
2022-03-17,2.1715506913829508,120.78584847436669
2022-03-18,0.72352625326364,121.65976579830597
2022-03-21,2.443679912768193,124.63274105704
2022-03-22,1.3565476769168638,126.32344361052708
2022-03-23,-0.4460786532584859,125.7599416945195
2022-03-24,0.6547581157992921,126.58336511918883
2022-03-25,0.1700181960355484,126.79857987304557
2022-03-28,-0.0834532304085033,126.6927623620294
2022-03-29,1.1523343429640898,128.15268657277696
2022-03-30,0.2056109227720925,128.41618249419648
2022-03-31,-1.2603108130452625,126.79773946052218
2022-04-01,0.2794279669762201,127.15204780606852
2022-04-04,-0.9118653433984768,125.99259234870352
2022-04-05,-2.022985291409529,123.44378073722369
2022-04-06,-0.0523488018462914,123.379159397054
2022-04-07,-0.081592916531159,123.27849074251031
2022-04-08,-0.1997392641709838,123.03225519222013
2022-04-11,-0.3921675099572086,122.54976266058861
2022-04-12,-1.7702348015461222,120.38034411275869
2022-04-13,0.2584719635221777,120.69149355188169
2022-04-14,0.627601546243084,121.44895523159717
2022-04-18,0.5509058761497654,122.11802466249054
2022-04-19,-1.7857186413911763,119.93734033159377
2022-04-20,0.6315522727850187,120.69480733037585
2022-04-22,-1.9652306699028956,118.3228759597391
2022-04-25,-0.4018647748296411,117.84737800069153
2022-04-26,-3.4052803686644206,113.83434437264823
