,XP INVESTOR IBOVESPA ATIVO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM ACOES,Close
2022-01-04,-0.3708259388656931,99.62917406113431
2022-01-05,-2.414871173877209,97.22325785596003
2022-01-06,0.5185632335516388,97.72742192566214
2022-01-07,0.8695420428342704,98.57720294668381
2022-01-10,-0.2096767291723034,98.37050949183566
2022-01-11,2.059423543106087,100.39637492378394
2022-01-12,1.822169234266946,102.22576677996443
2022-01-13,0.3107353878400998,102.54341841284067
2022-01-14,1.0679380403768368,103.63851858597418
2022-01-17,-0.4071888125291134,103.21651413282119
2022-01-18,0.4684512300879406,103.70003316293028
2022-01-19,1.1049847480005814,104.84590271305221
2022-01-20,0.8474811622036338,105.73445198788768
2022-01-21,-0.5084765769381216,105.19681706577539
2022-01-24,-0.5677872603262357,104.59952294020722
2022-01-25,2.1200415852709265,106.81707632453463
2022-01-26,1.043411853042131,107.93161835997788
2022-01-27,1.3808646172775774,109.42200788876588
2022-01-28,-0.1689665387600625,109.23712130939447
2022-01-31,0.243587722482963,109.50320952529798
2022-02-01,0.9079668283104024,110.49746234372292
2022-02-02,-0.9175059967693188,109.48364150044134
2022-02-03,-0.2025647138075847,109.26186627536984
2022-02-04,0.5861575752951653,109.9023129814518
2022-02-07,-0.0879467198908301,109.80565750210046
2022-02-08,0.0187021181779822,109.8261934859326
2022-02-09,-0.2202687315908447,109.58428072258664
2022-02-10,0.7456646965716907,110.40141201692698
2022-02-11,0.2059283087630037,110.62875977754392
2022-02-14,0.0243178712443503,110.65566233690585
2022-02-15,0.4067407568515424,111.10574401539407
2022-02-16,0.2257851989915904,111.35660434061032
2022-02-17,-1.4167206790809517,109.77899229939453
2022-02-18,0.0915646607379194,109.87951106125497
2022-02-21,-0.8136184042830452,108.98551113672438
2022-02-22,0.8579408894133334,109.92054240030247
2022-02-23,-0.2274934266833783,109.67048039176706
2022-02-24,-0.3895551572690059,109.24325337939923
2022-02-25,1.7152628243196189,111.11706229269336
2022-03-02,1.8459149389967957,113.16818874532856
2022-03-03,0.370101849322646,113.58702630471997
2022-03-04,-0.5509661857151071,112.96120019842164
2022-03-07,-2.745800419012878,109.8595110900514
2022-03-08,-0.3152977970730108,109.51312647170928
2022-03-09,2.0293278264589487,111.73550682082487
2022-03-10,0.3132612873262941,112.08553090789235
2022-03-11,-1.6148705599396629,110.27549466730872
2022-03-14,-1.4204870767362654,108.70904551675261
2022-03-15,-0.8364271836129977,107.79977350900427
2022-03-16,1.0523499035393955,108.93420432154196
2022-03-17,1.187905117404631,110.22823930928156
2022-03-18,1.6742708495243177,112.07375858798076
2022-03-21,1.0894468404965665,113.29474260994327
2022-03-22,0.7057392583373456,114.09430808617388
2022-03-23,0.2960876083065056,114.43212719420009
2022-03-24,1.1197750252045058,115.713509575331
2022-03-25,-0.0574859624371537,115.64699055068182
2022-03-28,-0.4075534650744283,115.17566723343822
2022-03-29,0.9235853355677336,116.23941280614855
2022-03-30,0.3595039509820097,116.65729808778494
2022-03-31,0.2185781271491826,116.91228542512806
2022-04-01,0.7564354333297496,117.79665137799934
2022-04-04,-0.0737950800254294,117.70972324484767
2022-04-05,-1.6690527676896716,115.74508585118969
2022-04-06,-0.077992520506942,115.65481334137142
2022-04-07,0.8395097358250503,116.62574675932252
2022-04-08,0.1666235516079695,116.82007272066222
2022-04-11,-0.8939889955124625,115.77571412598985
2022-04-12,-0.5901669327829095,115.09244414502498
2022-04-13,0.8684270435093566,116.09193805501629
2022-04-14,-0.2344217311694096,115.8197933240796
2022-04-18,-0.1736301753639035,115.61869521382489
2022-04-19,-0.9203619842887312,114.5545846963462
2022-04-20,-0.0583033577300828,114.48779552703448
2022-04-22,-2.631578717995353,111.474959065243
2022-04-25,-0.2234094386947216,111.22591348491017
2022-04-26,-1.3950746908160006,109.67422891625328
2022-04-27,0.8274343200116219,110.58171112651448
2022-04-28,0.4980622928837608,111.13247693246129
2022-04-29,-0.9394213393907224,110.08847472916428
2022-05-02,-1.0917187287794006,108.88661823231841
2022-05-03,-0.0007023965882924,108.88585341642684
2022-05-04,1.542600082790413,110.56552668137569
2022-05-05,-1.795524493465217,108.58029556848277
2022-05-06,0.5588331532617508,109.18707825802905
2022-05-09,-1.133886939486051,107.94902023805484
2022-05-10,0.0760317305368074,108.03109574623936
